"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261187711/0/60/45/6d913e076d7a3b44489e4a7024b8dfa1/13/75f3f7925c6b3b47a805a6d6b9263c69/261187711.JPG","N238952","Land Only","S","4529 JOHNS ROAD","Terrace - Northwest/Rosswood","$32,500","70",,,"0.00",,"Terrace (Zone 88)","010-923-632","V8G 0B3","0.00","Road Access","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261087443/0/60/45/2aea7bdfeab30e5fbeea351e97db3aac/13/64ac8749e8df05b33f8597ac49558023/261087443.JPG","N237524","Land Only","S","LOT 22 JOHNS ROAD","Terrace - Northwest/Rosswood","$32,600","127",,,"0.00",,"Terrace (Zone 88)","010-810-790","V8G 0B3","0.00","Road Access","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261150500/0/60/45/ae4ff771d478f42c6fd236d93e45eb86/13/eb5a3136df56141632c503033c6f088c/261150500.JPG","N238445","Residential Detached","S","2963 MEYER ROAD","Mount Alder","$42,000","93","4","9999","0.00","House/Single Family","PG City North (Zone 73)","013-308-025","V2K 1M2","75.00",,
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261300198/0/60/45/739bba51443a2955ce264202c64c0500/13/19293f2b235303be48de3cec9d15522a/261300198.JPG","N240285","Land Only","S","LOT 3 CAMPBELL ISLAND","Summit Lake","$49,900","15",,,"0.00",,"PG Rural North (Zone 76)","012-341-576","V0J 2S0","0.00","Water Access","Recreational"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261212054/0/60/45/cf287bb9ef6a836e5cbeec1d193b0ac5/13/ca1a705fab6eaecf6f3e9696a9a0ec2d/261212054.JPG","N239299","Residential Detached","S","147 5130 N NORTH NECHAKO ROAD","Nechako Bench","$55,000","59","2","1983","0.00","Manufactured","PG City North (Zone 73)","800-088-441","V2N 6L2",,,
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261213731/0/60/45/03e971a551b62768e77728b732e435da/15/adbfba4fd68016c9f60b6888848b3b74/261213731.JPG","F1421165","Residential Detached","S","6 8670 156 STREET","Fleetwood Tynehead","$60,000","53","2","1986","0.00","Manufactured","Surrey","900-572-343","V3S 1S1","0.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261247022/0/60/45/d59942b8dc490a530cfb48c70b9eee30/13/989d5f911ea2080803129e40242dc678/261247022.JPG","N239717","Residential Detached","S","11 7100 ALDEEN ROAD","Lafreniere","$62,500","46","2","1997","0.00","Manufactured","PG City South (Zone 74)","800-088-775","V2N 5R5",,,
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260766438/0/60/45/12b3e116702f28b834cfec99cac04cf4/15/f55bc7accd427aa95b2bffead189091a/260766438.JPG","F1402969","Residential Detached","S","202 20071 24 AVENUE","Brookswood Langley","$63,500","258","2","1987","0.00","Manufactured","Langley","900-570-006","V2Z 2A1","0.00",,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260926692/0/60/45/a8d7bd850adba8f10457dbde56dbdafa/13/dcddd281f8e7747552a6f8859a509e90/260926692.JPG","N235119","Residential Detached","S","46 8420 ALASKA ROAD","Fort St. John - City SE","$64,500","185","3","1978","0.00","Manufactured","Fort St. John (Zone 60)","800-085-416","V1J 4J6","0.00",,
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260924986/0/60/45/8d4cbf73df8185014345ed74bfdde835/13/cd2ef03acf9b51dfdf57f944d1aa5288/260924986.JPG","N235103","Residential Detached","S","51 8420 ALASKA ROAD","Fort St. John - City SE","$65,000","189","2","1977","0.00","Manufactured","Fort St. John (Zone 60)","800-085-415","V1J 2N2","0.00",,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261330341/0/60/45/a0c4243fc67829e733b0d0aa1096bd87/13/f54e01a157ee6a1b5ef9d917f1561108/261330341.JPG","N240582","Residential Detached","S","1274 20TH AVENUE","Connaught","$69,000","15","3","9999","0.00","House/Single Family","PG City Central (Zone 72)","011-782-366","V2L 4A9","0.00",,
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260868520/0/60/45/1225cf79832020508864f3db447f20c9/14/d52ecabea64b85b9f81835d6ca56d4be/260868520.JPG","H1401135","Residential Attached","S","2 9299 WOODBINE STREET","Chilliwack E Young-Yale","$74,000","209","2","1981","0.00","Townhouse","Chilliwack","001-906-151","V2P 5S9",,,
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261270151/0/60/45/66c6e62b2df4aa33e78833d8ed5833ba/15/a96098a0d92e4391f988bae0824e5abc/261270151.JPG","F1423360","Residential Detached","S","66 8560 156TH STREET","Fleetwood Tynehead","$74,000","33","3","1977","0.00","Manufactured","Surrey","900-572-596","V3S 5K4","0.00",,
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261026563/0/60/45/95ea06a8336fe92b2c83a044b01d254f/16/959bb63525eca619830fdc11913bf43f/261026563.JPG","V1068018","Residential Detached","S","307 201 CAYER STREET","Maillardville","$74,900","147","3","1974","0.00","Manufactured","Coquitlam","800-086-514","V3K 2X8","0.00",,
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261247716/0/60/45/578be5d0797d61f01d1e435321663286/14/1d03996831c7014bb25acb5c70c3ffe5/261247716.JPG","H1403743","Residential Attached","S","305 45745 PRINCESS AVENUE","Chilliwack W Young-Well","$75,000","42","2","1994","0.00","Apartment/Condo","Chilliwack","019-149-051","V2P 2B5",,,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260990646/0/60/45/ecbd0804202b56e7297193d8cca09849/16/f6eacb45764cede3ba1108221d089ebc/260990646.JPG","F1412307","Residential Detached","S","50 3931 198TH STREET","Brookswood Langley","$77,000","162","2","9999","0.00","Manufactured with Land","Langley","900-571-137","V3A 1C9",,,
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260995828/0/60/45/f7d79426d1ad540e7b1482f0f88e2cf6/13/9d659fb2fb517b269f4430fed884a552/260995828.JPG","N236154","Residential Detached","S","12026 DAHLGREN ROAD","Fraser Lake","$80,000","166","1","9999","0.00","Recreational","Vanderhoof And Area (Zone 56)","017-743-656","V0J 1S0","0.00",,
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","F1425685","Residential Attached","S","215 15153 FRASER HIGHWAY","Fleetwood Tynehead","$82,000","0","0","1977","0.00","Apartment/Condo","Surrey","001-544-942","V3R 3P2",,,
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261329069/0/60/45/fcb9f76cf5d6f701a4fe7b75d6bb3f32/15/44e138cbba2653634268ccecf2789cf1/261329069.JPG","F1425501","Residential Attached","S","214 32175 OLD YALE ROAD","Abbotsford West","$84,000","6","2","1974","0.00","Apartment/Condo","Abbotsford","001-154-729","V2T 2C8","0.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261287362/0/60/45/815a216fd1fe3c5b0ad1af8b7b503581/14/371ecba7443f90eda81bdb2e20e00102/261287362.JPG","H1403973","Residential Attached","S","12 46260 HARFORD STREET","Chilliwack N Yale-Well","$84,000","23","2","1982","0.00","Apartment/Condo","Chilliwack","015-722-694","V2P 2W3","0.00",,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261057196/0/60/45/4365c3902f2efc048f47462cf627c61b/14/15e9c1ad3a3fc4cf69a5fd57633751a1/261057196.JPG","H1402528","Residential Detached","S","11 2216 LOUGHEED HIGHWAY","Mt Woodside","$85,000","140","2","1993","0.00","Manufactured with Land","Harrison Mills / Mt Woodside","002-130-599","V0M 1A1","38.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261322034/0/60/45/f1bfe35f66a57e73dc7abb2b1d974417/16/43412d31718347b084abb8656203882e/261322034.JPG","V1090506","Residential Detached","S","262 HIAWATHA DRIVE","Park Royal","$89,900","8","2","9999","0.00","Manufactured","West Vancouver","800-004-587","V7P 1E1","0.00",,
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261309985/0/60/45/3f6d53b1897a5944a6c8bbc178e14596/13/b3e566bab90acfc590f53d4166b86cba/261309985.JPG","N240387","Residential Detached","S","2 602 ELM STREET","Red Bluff/Dragon Lake","$90,200","18","2","2014","0.00","Manufactured","Quesnel (Zone 28)","800-089-619","V2J 3X1",,,
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261314407/0/60/45/3f24d77195a4b4b094888fbd449a3d75/15/ca9a9eb5af3eac9f77a383378ca514e4/261314407.JPG","H1404145","Residential Attached","S","103 8934 MARY STREET","Chilliwack W Young-Well","$95,000","15","2","1994","0.00","Apartment/Condo","Chilliwack","018-578-110","V2P 4J3",,,
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261134013/0/60/45/2c12e8cd7bd236f1ad6636643ab34590/16/fa9e3139c0f8a887ff5ed12d959dc8aa/261134013.JPG","F1418028","Residential Attached","S","106 20200 56TH AVENUE","Langley City","$95,100","103","1","1998","0.00","Apartment/Condo","Langley","023-974-192","V3A 8S1",,,
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261074797/0/60/45/4a5101f90d2994640c34ced57847481d/15/a465ff178dcb117dde858b55ae5e34aa/261074797.JPG","F1415609","Residential Attached","S","234 31955 OLD YALE ROAD","Abbotsford West","$97,000","128","2","1984","0.00","Apartment/Condo","Abbotsford","001-204-297","V2T 4N1",,,
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261147355/0/60/45/9bae3541f4e83bd9244c766a32398b62/15/6216972895a7d73b425fa2ed45006352/261147355.JPG","F1418479","Residential Attached","S","318 2277 MCCALLUM ROAD","Central Abbotsford","$97,000","89","2","1985","0.00","Apartment/Condo","Abbotsford","002-032-244","V2S 3N7","0.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261100696/0/60/45/1dd436b7099d13f18d9e20ddd0909ab9/16/b4c2bd544c916984d63dd38cdff93ccb/261100696.JPG","V1073649","Residential Attached","S","202 22230 NORTH AVENUE","West Central","$107,000","116","1","1999","0.00","Apartment/Condo","Maple Ridge","024-398-306","V2X 2L5",,,
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260941631/0/60/45/d67953c8908bf7e283265b66637dde0a/15/eeaadf938923ad5ce360a4a80ff4e9f1/260941631.JPG","F1410390","Residential Detached","S","35 2035 MARTENS STREET","Poplar","$109,000","180","2","2002","0.00","Manufactured","Abbotsford","900-570-924","V2T 6M4","0.00",,
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261280520/0/60/45/4c6007c3e487fd78d762c027b098bc74/13/f6723d3cb80e184b0d82dca8b0c7ce8a/261280520.JPG","N240106","Residential Detached","S","6868 OLD SUMMIT LAKE ROAD","Old Summit Lake Road","$110,000","27","3","1982","0.00","Manufactured with Land","PG City North (Zone 73)","004-764-714","V2K 5R2","0.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260996186/0/60/45/baace20b240d02b69d61275671666164/16/c503f8cac4a293c8d2d5de4111f98cd9/260996186.JPG","V1065806","Residential Attached","S","419 4369 MAIN STREET","Whistler Village","$110,000","156","0","1997","0.00","Apartment/Condo","Whistler","023-779-314","V0N 1B4",,,
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261072897/0/60/45/8f5d23347c5527a54305ec13bca72475/14/486dfa8a5b617f1f0598eb22793203f6/261072897.JPG","H1402622","Residential Detached","S","54 52324 YALE ROAD","Rosedale Popkum","$114,000","126","2","1993","0.00","Manufactured","Rosedale","700-005-393","V0X 1X1","0.00",,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261322410/0/60/45/1df520376d0a69be85ff89fa545736f2/13/7dca44ae794290ec9844ab7672078862/261322410.JPG","N240489","Residential Detached","S","3928 KERBY STREET","Thornhill","$115,000","10","3","9999","0.00","House/Single Family","Terrace (Zone 88)","009-451-013","V8G 4H7","0.00",,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261297066/0/60/45/f7a48304445431cf16851c767a391597/15/834e99fdfbb6128bdc30acf38bb38003/261297066.JPG","F1424292","Residential Attached","S","16 32959 GEORGE FERGUSON WAY","Central Abbotsford","$116,000","23","2","1982","0.00","Townhouse","Abbotsford","000-584-568","V2S 7W9",,,
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261184491/0/60/45/10c8b312dab53e9619417def9bd8a35e/16/3a87f95801bd7cfe52b35ff7c212d045/261184491.JPG","F1419949","Residential Attached","S","104 10438 148TH STREET","Guildford","$116,000","71","1","1985","0.00","Apartment/Condo","North Surrey","001-505-050","V3R 8S9",,,
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261325696/0/60/45/4744d0d9a2ad46fca8de6edaa88ebb3d/14/fb9bc52148ebd7566910acd265227f1a/261325696.JPG","F1425349","Residential Attached","S","229 31955 OLD YALE ROAD","Abbotsford West","$116,750","11","2","1985","0.00","Apartment/Condo","Abbotsford","001-204-254","V2T 4N1",,,
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261275111/0/60/45/13553efbada1ca27451aafcfc4eae5eb/14/dc83d60a82e50f8490f354a538212382/261275111.JPG","H1403912","Residential Detached","S","16 7610 EVANS ROAD","Sardis West Vedder Rd","$117,000","31","2","1989","0.00","Manufactured","Sardis","700-007-218","V2R 2T4","0.00",,
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261256664/0/60/45/5f57d0d838894c33b68170425fbabcea/16/2c6be0ee595ce3be555a31934a57bc30/261256664.JPG","V1085480","Residential Attached","S","105 8060 RYAN ROAD","South Arm","$118,000","45","2","1975","0.00","Apartment/Condo","Richmond","800-082-234","V7A 2E5",,,
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261107686/0/60/45/6586faff18939401e7bb2f8a866b1d8b/14/80a6bc88c37b202c61afb669443c91fb/261107686.JPG","H1402844","Residential Detached","S","523 CORBETT STREET","Hope Center","$118,500","113","2","9999","7,200.00","House/Single Family","Hope","010-094-865","V0X 1L4","60.00",,
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261215634/0/60/45/00f0576d50ce8c7ae114229ee969b7bc/14/4fbe4f16389c54db9650506e6d95ae5c/261215634.JPG","H1403541","Residential Detached","S","617 DOUGLAS STREET","Hope Center","$120,000","55","3","1980","1,200.00","Townhouse","Hope","002-319-781","V0X 1L0","40.00",,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260712850/0/60/45/b62681d2dc4f2b800b4064850f51e587/15/4fd736e2c8c8615bf0f78fcc919f22d2/260712850.JPG","F1400487","Residential Attached","S","104 7265 HAIG STREET","Mission BC","$120,000","293","2","1991","0.00","Apartment/Condo","Mission","016-951-158","V2V 6N3","0.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261317957/0/60/45/b9e927989d019624bea893e137dfc420/15/fd2d62d9233a4fdf0dc8d3c601457513/261317957.JPG","F1425062","Residential Attached","S","208 2964 TRETHEWEY STREET","Abbotsford West","$120,000","4","2","1994","0.00","Apartment/Condo","Abbotsford","018-248-926","V2T 6P4","0.00",,
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260874700/0/60/45/f1303bfbc36b0257a25b7eb14c30ce5a/13/0f7abb0fe4d15acab480178165eac323/260874700.JPG","N234460","Residential Detached","S","1360 PENTLAND CRESCENT","Quesnel - Town","$122,000","203","4","1978","0.00","House/Single Family","Quesnel (Zone 28)","008-794-341","V2J 4Z2","66.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261081475/0/60/45/eb866e658572fc066cb15bb31551d71f/15/04b17c05f36e07cdb3493045e477d38b/261081475.JPG","V1072261","Residential Attached","S","113 918 RODERICK AVENUE","Maillardville","$122,800","128","2","1990","0.00","Apartment/Condo","Coquitlam","016-634-284","V3K 1R1",,,
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261133322/0/60/45/130ea4c5f490db4216cb8829b908c34f/13/d88e74fec895c0a6d9d90ab4136fbc23/261133322.JPG","N238227","Residential Detached","S","773 ROLPH STREET","Quesnel - Town","$125,000","101","4","1977","7,260.00","House/Single Family","Quesnel (Zone 28)","004-758-323","V2J 4X2","66.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261277119/0/60/45/3658795c5f622571affd664caa120ed0/13/af0c4f3cd775b9be8838ca70a1eed010/261277119.JPG","N240046","Land Only","S","7925 87TH AVENUE","Fort St. John - City SE","$127,250","41",,,"4,800.00",,"Fort St. John (Zone 60)","029-368-260","V1J 4N8","40.00","Allowed Access","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261277151/0/60/45/fc9f20db7fcc0368d6bbabcfc56e3243/13/49c7987a7a98c00e140893bff7f03d31/261277151.JPG","N240048","Land Only","S","7929 87TH AVENUE","Fort St. John - City SE","$127,250","41",,,"4,800.00",,"Fort St. John (Zone 60)","029-368-278","V1J 4N8","40.00","Allowed Access","House/Single Family"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261221151/0/60/45/ed05fd250cbae1497c4d7ea62de3e959/14/9d7345c42241c56c4cfb8755f09ec3dd/261221151.JPG","H1403586","Residential Attached","S","407 45700 WELLINGTON AVENUE","Chilliwack W Young-Well","$129,000","52","1","1995","0.00","Apartment/Condo","Chilliwack","023-063-301","V2P 2E4","0.00",,
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261225750/0/60/45/9cb33f48cf3aa6ec7bd7b60dc5cde1ba/13/53502cdb69555f55d87f055cfb0b9bf7/261225750.JPG","N239474","Residential Detached","S","25 MANSON CRESCENT","Mackenzie -Town","$130,000","59","3","1971","8,853.00","House/Single Family","Mackenzie (Zone 69)","010-821-287","V0J 2C0","0.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261074566/0/60/45/ee474e911bd06d295bc6827eeccb0172/13/373a5cb04c7744ac8f4a9ee17592efc8/261074566.JPG","N237317","Land Only","S","LOT 12 UNICORN ROAD","Horse Lake","$130,000","128",,,"0.00",,"100 Mile House (Zone 10)","029-246-679","V0K 2E3","0.00","Road Access","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260601825/0/60/45/0a4945e9e7ae04666335bf796655941e/15/057246c4dda3f19923a86d9b519f51b2/260601825.JPG","F1324244","Residential Detached","S","191 14600 MORRIS VALLEY ROAD","Lake Errock","$133,000","370","1","2005","2,244.00","House/Single Family","Mission","023-087-706","V0M 1A1","44.00",,
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261241409/0/60/45/f2fcf9357efaa7c53a6a1aa801a3a13a/15/cac57997a47925dcdcc3dcf75537935c/261241409.JPG","F1422230","Residential Attached","S","207 2962 TRETHEWEY STREET","Abbotsford West","$133,500","48","2","1994","0.00","Apartment/Condo","Abbotsford","018-448-500","V2T 4M3",,,
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261011157/0/60/45/ab7d0f0d5c8f7a06a00ad73d3b1cd734/16/b7035ecfa621f59ab7f2831e7e74b4f0/261011157.JPG","F1413090","Residential Attached","S","406 13780 76TH AVENUE","East Newton","$135,120","156","2","1997","0.00","Apartment/Condo","Surrey","023-883-405","V3W 1E5",,,
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261079644/0/60/45/c64f2827606f9315160cf6659b09f369/13/c5b7b2381da4035df0d220336997fa87/261079644.JPG","N237419","Residential Detached","S","455 DODWELL STREET","Williams Lake - City","$135,780","140","3","1972","0.00","House/Single Family","Williams Lake (Zone 27)","009-136-924","V2G 3Z8","68.00",,
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261123346/0/60/45/1097cb5c635fa3f428d6c028ba3b3513/13/fabaa6c0dad52a084c33a85f940a8f1b/261123346.JPG","N238073","Residential Detached","S","151 E 9TH AVENUE","Prince Rupert - City","$137,500","105","2","9999","0.00","House/Single Family","Prince Rupert (Zone 52)","004-674-154","V8J 2R8","25.00",,
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261108056/0/60/45/9902de735e3e220f0f7384a4a43eb348/15/7c5c000b05e0135601ad6ab59c3ca967/261108056.JPG","F1416998","Residential Attached","S","114 32691 GARIBALDI DRIVE","Abbotsford West","$138,000","105","2","1989","0.00","Townhouse","Abbotsford","009-865-152","V2T 5T7","0.00",,
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261102257/0/60/45/85aed9eff69bb2ab2002d77da2dcc066/15/d4d60a907af0cd26225ae1b36f506b47/261102257.JPG","F1416791","Residential Attached","S","101 5906 176A STREET","Cloverdale BC","$139,000","111","2","1983","0.00","Apartment/Condo","Cloverdale","000-515-752","V3S 8Z1","0.00",,
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261043492/0/60/45/77a882e3897169e8e9b3f3de086e12d3/16/4d939eca94f7837c54c51d957e197f75/261043492.JPG","V1069397","Residential Attached","S","402 428 AGNES STREET","Downtown NW","$139,250","138","1","1978","0.00","Apartment/Condo","New Westminster","001-653-113","V3L 1G1",,,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261115537/0/60/45/3eb25eea1b4c9b246e421e4ea41af8b8/13/7c33756f3e846dd84f2f6ab8652774d7/261115537.JPG","N237950","Residential Detached","S","521 NORMAN STREET","Quesnel - Town","$139,900","107","4","1975","0.00","House/Single Family","Quesnel (Zone 28)","011-789-085","V2J 3R7","60.00",,
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261288666/0/60/45/6325062dcff4c1761c3548b90e715f38/13/ef7c84491cac6060aeca5f98ec6e3445/261288666.JPG","N240187","Residential Detached","S","5254 NAZKO ROAD","Bouchie Lake","$140,000","23","1","2001","0.00","House with Acreage","Quesnel (Zone 28)","007-522-916","V2J 3H9","0.00",,
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261225528/0/60/45/00c2a89012149af6250293c4b28cc4ed/16/90c74f626d8272020006ad90f62680a6/261225528.JPG","V1082977","Residential Attached","S","304 11601 227TH STREET","East Central","$140,000","49","1","1993","0.00","Apartment/Condo","Maple Ridge","017-982-189","V2X 0J7",,,
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261321225/0/60/45/1911175f427f6715bb0a5325a1702289/13/6d31b639f5f330c9833002310adbfd87/261321225.JPG","N240464","Residential Detached","S","2579 TEER ROAD","Houston - Rural","$140,000","15","4","1976","0.00","Manufactured with Land","Houston (Zone 53)","006-547-508","V0J 1Z0","0.00",,
