"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2030731","Residential Attached","S","105D 2020 LONDON LANE","Whistler Creek","2008","Apartment/Condo","8","Whistler","Whistler","8/15/2016","DEAN LINNELL","1","$1,746.51","1/31/2016","027-505-740",,"$380.00","1/31/2016","$51,500","$86.99","0.94","1","1","CC2","$55,000","0","592","$86.99","0.94","Apartment/Condo"
"R2014466","Residential Attached","S","101 1909 SALTON ROAD","Central Abbotsford","1976","Apartment/Condo","40","Abbotsford","Abbotsford","6/30/2016","RICK EDEN","1","$530.00","11/7/2015","001-272-063","3","$233.00","1/30/2016","$54,000","$88.82","0.77","1","1","MF","$69,900","84","608","$88.82","0.77","Apartment/Condo"
"R2025830","Residential Detached","S","24 23387 70A AVENUE","Salmon River","1994","Manufactured","22","Langley","Langley","1/15/2017","Joseph","1","$316.73","1/15/2016","900-577-667",,,"1/29/2016","$63,000","$72.58","0.94","1","2","MH-1","$67,000","14","868","$72.58","0.90","Manufactured"
"R2025490","Residential Detached","S","79 9080 198 STREET","Walnut Grove","1976","Manufactured","40","Langley","Langley","7/15/2016","Rosemary","1","$162.08","1/15/2016","900-577-614",,,"1/28/2016","$73,500","$63.36","0.97","1","2","MHP-1","$75,900","13","1,160","$63.36","0.97","Manufactured"
"R2031040","Residential Detached","S","80 SWANNELL STREET","Kitimat","1956","House/Single Family","60","Kitimat (Zone 89)","Kitimat","6/1/2016","ILONA KENNY","1","$1,764.19","2/2/2016","011-913-126",,,"2/2/2016","$76,000","$69.53","0.85","1","1","R2A","$89,900","0","1,093","$69.53","0.85","House/Single Family"
"R2015579","Residential Attached","S","107 45900 LEWIS AVENUE","Chilliwack N Yale-Well","1980","Apartment/Condo","36","Chilliwack","Chilliwack","6/16/2016","Kellee/Joanne/for Sabrina","1","$806.01","11/16/2015","001-519-310","2","$172.44","1/31/2016","$76,000","$104.11","0.95","1","1","R4","$80,000","76","730","$104.11","0.69","Apartment/Condo"
"R2022187","Residential Attached","S","203 15020 NORTH BLUFF ROAD","White Rock","1974","Apartment/Condo","42","South Surrey White Rock","White Rock","4/4/2016","Michael Williams","1","$0.00","1/4/2016","900-577-453","3","$296.72","1/28/2016","$80,000","$119.76","0.97","1","1","MF","$82,500","24","668","$119.76","0.97","Apartment/Condo"
"R2025850","Residential Attached","S","307 33870 FERN STREET","Central Abbotsford","1983","Apartment/Condo","33","Abbotsford","Abbotsford","7/18/2016","Mike/Michele","1","$775.66","1/18/2016","028-774-116","3","$245.47","1/29/2016","$82,500","$87.58","0.92","2","2","RML","$89,900","11","942","$87.58","0.92","Apartment/Condo"
"R2017080","Residential Attached","S","315 15020 NORTH BLUFF ROAD","White Rock","1974","Apartment/Condo","42","South Surrey White Rock","White Rock","4/28/2016","Wendy","1","$0.00","11/21/2015","900-577-120","3","$348.20","1/29/2016","$89,900","$124.86","1.00","1","1","MF","$89,900","69","720","$124.86","1.00","Apartment/Condo"
"R2009313","Residential Detached","S","234 201 CAYER STREET","Maillardville","1973","Manufactured","43","Coquitlam","Coquitlam","3/31/2016","NICK WALKER","1","$247.00","10/16/2015","800-099-794",,,"1/29/2016","$90,000","$82.72","0.94","2","2","MANUF","$95,500","105","1,088","$82.72","0.94","Manufactured"
"R2022621","Residential Detached","S","1672 CARIBOO HIGHWAY","70 Mile House","9999","House with Acreage","999","100 Mile House (Zone 10)","100 Mile House","3/21/2016","ROBERT YOUNG","1","$1,153.29","12/28/2015","013-013-076",,,"2/2/2016","$90,000","$60.20","0.95","1","3","RR-1","$94,500","36","1,495","$60.20","0.95","House with Acreage"
"V1135832","Land Only","S","5852 MARINE WAY","Sechelt District",,,,"Sunshine Coast","Sechelt","7/31/2016","BEV OR JOHN",,"$1,500.00","7/22/2015","011-317-485",,,"1/31/2016","$91,000","$2.30","0.95",,,"R1","$96,000","193",,"$2.30","0.95","House/Single Family"
"R2031159","Land Only","S","LOT 10 AMBLESIDE AVENUE","Smithers - Town",,,,"Smithers And Area (Zone 54)","Smithers","10/31/2016","LEO LUBBERS",,"$865.66","2/1/2016","029-455-073",,,"2/2/2016","$92,120","$11.12","0.94",,,"R-1","$98,000","1",,"$11.12","0.94","Other"
"R2031163","Land Only","S","LOT 11 AMBLESIDE AVENUE","Smithers - Town",,,,"Smithers And Area (Zone 54)","Smithers","10/31/2016","LEO LUBBERS",,"$903.12","2/1/2016","029-455-081",,,"2/2/2016","$92,120","$11.09","0.94",,,"R-1","$98,000","1",,"$11.09","0.94","Other"
"R2024881","Residential Detached","S","LOT 7 TABOR GLEN ROAD","Tabor Lake","2016","House with Acreage","0","PG Rural East (Zone 80)","Prince George","4/12/2016","ROD OR JEN","1","$152.94","1/12/2016","026-361-256",,,"1/28/2016","$95,000","$42.41","0.25","1","3","RR2","$375,000","16","2,240","$42.41","0.25","House with Acreage"
"R2020287","Residential Attached","S","244B 8635 120TH STREET","Annieville","1975","Apartment/Condo","41","N. Delta","Delta","3/10/2016","KARAMVIR","1","$553.00","12/10/2015","001-088-874","3","$235.00","1/28/2016","$96,000","$125.00","0.95","1","1","RM6","$101,000","49","768","$125.00","0.95","Apartment/Condo"
"R2016033","Residential Attached","S","1534 4308 MAIN STREET","Whistler Village","1998","Apartment/Condo","18","Whistler","Whistler","3/16/2016","FRONT DESK","1","$2,627.13","11/16/2015","023-905-727",,"$0.00","2/1/2016","$96,000","$408.51","0.97","1","1","HA1","$99,000","77","235","$408.51","0.97","Apartment/Condo"
"R2028667","Residential Attached","S","308 505 NINTH STREET","Uptown NW","1968","Apartment/Condo","48","New Westminster","New Westminster","4/26/2016","WANDA LOO","1","$18,828.68","1/26/2016","000-525-847","3","$371.00","2/1/2016","$98,000","$146.71","1.00","1","1","MF","$98,000","6","668","$146.71","1.00","Apartment/Condo"
"R2019594","Residential Detached","S","227 201 CAYER STREET","Maillardville","1972","Manufactured","44","Coquitlam","Coquitlam","3/31/2016","RAJI/TOUCHBASE","2","$203.00","12/7/2015","800-101-259",,,"1/29/2016","$99,000","$71.74","0.99","2","3","RMH1","$99,900","53","1,380","$71.74","0.99","Manufactured"
"R2026088","Residential Attached","S","101 815 FOURTH AVENUE","Uptown NW","1975","Apartment/Condo","41","New Westminster","New Westminster","5/31/2016","Al Bolan","1","$449.74","1/18/2016","001-260-481",,"$416.30","1/30/2016","$100,000","$148.15","0.91","1","1","RM-2","$109,900","12","675","$148.15","0.91","Apartment/Condo"
"R2019893","Residential Attached","S","1857 UPLAND STREET","Van Bow","1974","1/2 Duplex","42","PG City Central (Zone 72)","Prince George","3/8/2016","DARREN","2","$1,573.82","12/8/2015","011-795-662",,,"2/2/2016","$100,000","$49.02","1.12","2","4","RM4","$89,250","56","2,040","$49.02","1.12","1/2 Duplex"
"N240854","Residential Detached","S","5204 TIMOTHY LAKE ROAD","Lac la Hache","9999","House with Acreage","999","100 Mile House (Zone 10)","Lac La Hache","4/30/2016","MEL/ADAM","1","$521.00","11/3/2014","028-828-321",,,"2/1/2016","$104,900","$65.56","1.00","1","4","RR-3","$104,900","455","1,600","$65.56","0.88","House with Acreage"
"R2014598","Residential Attached","S","112 13501 96 AVENUE","Whalley","1984","Apartment/Condo","32","North Surrey","Surrey","3/31/2016","Gin Dhillon","1","$924.21","11/10/2015","002-172-658",,"$220.00","1/29/2016","$105,000","$135.48","1.00","1","1","F26","$104,900","80","775","$135.48","0.76","Apartment/Condo"
"R2027419","Residential Attached","S","417 46150 BOLE AVENUE","Chilliwack N Yale-Well","2008","Apartment/Condo","8","Chilliwack","Chilliwack","4/19/2016","MIKE BESTEBROER","2","$1,138.75","1/20/2016","027-482-871",,"$272.50","1/28/2016","$105,000","$121.39","0.88","2","2","R6","$119,900","8","865","$121.39","0.88","Apartment/Condo"
"R2017595","Residential Attached","S","115 2678 MCCALLUM ROAD","Central Abbotsford","1988","Apartment/Condo","28","Abbotsford","Abbotsford","2/29/2016","Robie Sim/ Touch base","2","$1,250.00","11/23/2015","009-098-208",,"$360.52","2/1/2016","$112,000","$84.85","0.90","2","2","MF","$124,900","70","1,320","$84.85","0.90","Apartment/Condo"
"R2007219","Residential Detached","S","76 12842 OLD HOPE ROAD","Lakeshore","1989","Manufactured","27","Fort St. John (Zone 60)","Charlie Lake","3/31/2016","IVEY","1","$350.00","10/8/2015","800-099-458",,,"2/2/2016","$117,000","$90.28","0.98","1","3","R4","$119,000","117","1,296","$90.28","0.98","Manufactured"
"R2021594","Residential Detached","S","1943 HUNGERFORD DRIVE","Houston - Town","1977","House/Single Family","39","Houston (Zone 53)","Houston","3/22/2016","LIA","2","$1,903.95","12/22/2015","010-154-876",,,"1/29/2016","$121,000","$57.29","0.93","2","4","R-1","$129,900","38","2,112","$57.29","0.86","House/Single Family"
"R2028007","Residential Attached","S","204 7694 EVANS ROAD","Sardis West Vedder Rd","1994","Apartment/Condo","22","Sardis","Sardis","4/23/2016","Deborah","2","$916.00","1/23/2016","018-690-718","4","$221.59","1/30/2016","$121,500","$123.60","0.96","2","2","R5","$126,900","7","983","$123.60","0.96","Apartment/Condo"
"R2019722","Residential Attached","S","105 5664 200 STREET","Langley City","1984","Apartment/Condo","32","Langley","Langley","6/7/2016","JESSICA","1","$894.97","12/7/2015","000-550-990",,"$224.48","2/1/2016","$122,000","$174.04","0.97","1","1","MF","$125,900","56","701","$174.04","0.97","Apartment/Condo"
"R2026000","Residential Attached","S","113 33478 ROBERTS AVENUE","Central Abbotsford","1996","Apartment/Condo","20","Abbotsford","Abbotsford","6/15/2016","Erin Eddy","1","$909.53","1/15/2016","023-393-084","4","$192.00","2/2/2016","$124,000","$174.16","0.99","1","1","RML","$124,900","18","712","$174.16","0.99","Apartment/Condo"
"R2020251","Residential Attached","S","205 15369 THRIFT AVENUE","White Rock","1973","Apartment/Condo","43","South Surrey White Rock","White Rock","3/31/2016","PAOLA","1","$1,172.55","12/4/2015","001-137-689","3","$229.00","1/30/2016","$125,000","$197.78","0.96","1","1","MULTI","$129,800","57","632","$197.78","0.96","Apartment/Condo"
"R2023340","Residential Detached","S","8691 N KELLY ROAD","Hart Highway","9999","House/Single Family","999","PG City North (Zone 73)","Prince George","4/30/2016","LISA OR COLIN","1","$1,647.82","1/6/2016","010-185-518",,,"1/31/2016","$126,000","$112.80","0.90","1","2","AR3M","$139,900","25","1,117","$112.80","0.90","House/Single Family"
"R2012028","Land Only","S","66044 OGILVIEW DRIVE","Hope Kawkawa Lake",,,,"Hope","Hope","4/28/2016","WAYNE DYBLE",,"$1,274.96","10/28/2015","026-887-509",,,"1/28/2016","$127,500","$23.93","0.94",,,"RS-1","$136,000","92",,"$23.93","0.94","Other"
"F1448832","Residential Attached","S","225 5379 205TH STREET","Langley City","1988","Apartment/Condo","28","Langley","Langley","2/29/2016","Tibor Bogdan","2","$1,502.00","8/5/2015","005-489-075",,"$220.00","2/2/2016","$128,000","$121.33","0.91","2","2","MF","$139,900","181","1,055","$121.33","0.83","Apartment/Condo"
"R2026589","Residential Attached","S","104 9632 120A STREET","Cedar Hills","1984","Apartment/Condo","32","North Surrey","Surrey","4/4/2016","DARRYL","1","$901.37","1/19/2016","000-792-446","3","$266.58","1/30/2016","$129,900","$173.20","1.02","1","1","MF","$127,900","11","750","$173.20","1.00","Apartment/Condo"
"R2023775","Land Only","S","875 MYNG CRESCENT","Harrison Hot Springs",,,,"Harrison Hot Springs","Harrison Hot Springs","12/31/2016","DAVID WANSINK",,"$1,051.00","1/7/2016","004-997-662",,,"2/1/2016","$130,000","$10.28","0.96",,,"R1","$135,000","25",,"$10.28","0.96","Other"
"R2018241","Residential Attached","S","201 7554 BRISKHAM STREET","Mission BC","1993","Apartment/Condo","23","Mission","Mission","5/31/2016","Ryan","1","$1,684.59","12/1/2015","018-427-758","4","$263.65","2/2/2016","$130,000","$150.12","1.00","1","1","STRATA","$130,000","63","866","$150.12","0.90","Apartment/Condo"
"R2022714","Residential Detached","S","35048 N SWARD ROAD","Durieu","1964","House/Single Family","52","Mission","Mission","4/4/2016","Touchbase","1","$1,639.80","1/4/2016","008-864-781",,,"2/1/2016","$130,800","$153.88","1.19","1","2","R1","$109,900","28","850","$153.88","1.19","House/Single Family"
"R2023208","Residential Attached","S","407 715 ROYAL AVENUE","Uptown NW","1977","Apartment/Condo","39","New Westminster","New Westminster","6/7/2016","MATT BRABBINS","1","$943.23","1/7/2016","001-700-294",,"$379.85","1/31/2016","$132,750","$202.05","0.95","1","1","RM2","$139,900","24","657","$202.05","0.95","Apartment/Condo"
"H2150368","Land Only","S","866 MYNG CRESCENT","Harrison Hot Springs",,,,"Harrison Hot Springs","Harrison Hot Springs","6/1/2016","ANN WALLIS",,"$955.00","1/28/2015","004-997-123",,,"1/31/2016","$135,000","$13.48","0.96",,,"R-1","$140,000","365",,"$13.48","0.96","House/Single Family"
"N240738","Land Only","S","10616 110TH STREET","Fort St. John - City NW",,,,"Fort St. John (Zone 60)","Fort St. John","6/30/2016","MARISA/KEVIN",,"$0.00","10/30/2014","029-416-639",,,"1/28/2016","$139,000",,"0.87",,,"R1","$159,000","455",,,"0.87","House/Single Family"
"R2028276","Residential Attached","S","312 2962 TRETHEWEY STREET","Abbotsford West","1994","Apartment/Condo","22","Abbotsford","Abbotsford","8/31/2016","Anny","2","$1,082.59","1/26/2016","018-448-798","4","$289.19","1/29/2016","$145,000","$157.44","0.97","2","2","MF","$149,800","3","921","$157.44","0.97","Apartment/Condo"
"R2029528","Land Only","S","8624 74 STREET","Fort St. John - City SE",,,,"Fort St. John (Zone 60)","Fort St. John","5/20/2016","ANNETTE REEDER",,"$555.70","1/19/2016","009-080-368",,,"1/28/2016","$145,000","$19.67","0.97",,,"R-4","$149,000","9",,"$19.67","0.97","Other"
"R2025102","Residential Attached","S","337 5379 205 STREET","Langley City","1988","Apartment/Condo","28","Langley","Langley","6/15/2016","TOUCHBASE","2","$1,505.89","1/15/2016","005-489-288","3","$225.00","1/30/2016","$145,500","$139.90","0.97","2","2","MF","$149,900","15","1,040","$139.90","0.97","Apartment/Condo"
"R2029027","Residential Detached","S","486 RUPERT STREET","Hope Center","1953","House/Single Family","63","Hope","Hope","5/25/2016","ROB","1","$1,649.57","1/25/2016","010-164-448",,,"2/2/2016","$146,000","$151.14","0.98","1","2","RT-1","$149,000","8","966","$151.14","0.98","House/Single Family"
"R2002388","Residential Attached","S","216 15238 100 AVENUE","Guildford","1980","Apartment/Condo","36","North Surrey","Surrey","6/28/2016","ANDY","1","$1,076.10","9/20/2015","001-871-421",,"$269.43","2/2/2016","$146,000","$152.56","0.94","1","2","RM","$154,900","135","957","$152.56","0.94","Apartment/Condo"
"R2023405","Residential Attached","S","303 46966 YALE ROAD","Chilliwack E Young-Yale","1989","Apartment/Condo","27","Chilliwack","Chilliwack","6/5/2016","RON OR HEIDI","2","$1,198.25","1/5/2016","012-534-455","4","$314.68","2/1/2016","$146,000","$112.57","0.97","2","2","R5","$149,900","27","1,297","$112.57","0.97","Apartment/Condo"
"V1025979","Residential Attached","S","104 624 SHAW ROAD","Gibsons & Area","2008","Apartment/Condo","8","Sunshine Coast","Gibsons","8/30/2016","JOEL OR DENISE","1","$1,320.00","9/4/2013","027-776-166","3","$133.50","2/2/2016","$149,000","$235.39","0.94","1","1","RM2","$158,000","881","633","$235.39","0.88","Apartment/Condo"
"N246882","Residential Detached","S","32 OMINECA CRESCENT","Mackenzie -Town","1970","House/Single Family","46","Mackenzie (Zone 69)","Mackenzie","5/15/2016","LOUISE SKAVLEBO","2","$2,125.00","7/10/2015","011-012-790",,,"1/29/2016","$150,000","$68.68","0.94","2","3","R1","$159,900","203","2,184","$68.68","0.86","House/Single Family"
"R2013758","Land Only","S","5134 BETTY ROAD","Sechelt District",,,,"Sunshine Coast","Sechelt","3/31/2016","ARCHIE MACLEAN",,"$1,517.00","11/4/2015","010-090-011",,,"2/1/2016","$150,000","$11.11","0.94",,,"R1","$159,000","89",,"$11.11","0.94","Other"
"R2027248","Residential Attached","S","308 45700 WELLINGTON STREET","Chilliwack W Young-Well","1995","Apartment/Condo","21","Chilliwack","Chilliwack","7/23/2016","Richard Admiraal","1","$984.21","1/21/2016","023-063-181",,"$196.00","1/28/2016","$152,000","$182.04","0.98","1","1","R5","$154,500","7","835","$182.04","0.98","Apartment/Condo"
"R2005305","Residential Attached","S","212 12890 17TH AVENUE","Crescent Bch Ocean Pk.","1980","Apartment/Condo","36","South Surrey White Rock","Surrey","1/31/2016","Touchbase","1","$984.01","10/1/2015","001-670-182",,"$175.00","1/30/2016","$153,500","$198.83","0.96","1","1","RM45","$159,900","121","772","$198.83","0.96","Apartment/Condo"
"R2020650","Residential Attached","S","304 9108 MARY STREET","Chilliwack W Young-Well","2008","Apartment/Condo","8","Chilliwack","Chilliwack","6/10/2016","LINDA MARKS","2","$792.00","12/10/2015","027-694-381","34","$191.00","2/1/2016","$154,000","$193.71","0.96","2","2","R5","$159,900","53","795","$193.71","0.96","Apartment/Condo"
"R2025103","Residential Attached","S","207 12101 80TH AVENUE","Queen Mary Park Surrey","1991","Apartment/Condo","25","Surrey","Surrey","7/14/2016","Chris or please use Touchbase","1","$1,050.47","1/14/2016","017-036-453","4","$199.04","2/2/2016","$155,000","$178.37","0.94","1","1","CD","$165,000","19","869","$178.37","0.94","Apartment/Condo"
"R2020011","Residential Attached","S","3208 13827 100TH AVENUE","Whalley","1985","Apartment/Condo","31","North Surrey","Surrey","6/30/2016","Touchbase","2","$1,054.20","12/10/2015","001-012-029",,"$307.84","1/28/2016","$155,000","$165.78","0.94","2","2","MR 45","$164,900","49","935","$165.78","0.94","Apartment/Condo"
"R2028993","Residential Attached","S","104 36 E 14TH AVENUE","Mount Pleasant VE","1965","Apartment/Condo","51","Vancouver East","Vancouver","4/25/2016","TEREASA","1","$0.00","1/25/2016","800-102-298",,"$297.74","2/2/2016","$160,000","$330.58","1.10","1","1","RM-4","$145,000","8","484","$330.58","1.10","Apartment/Condo"
"R2022567","Residential Attached","S","303 1850 E SOUTHMERE CRESCENT","Sunnyside Park Surrey","1982","Apartment/Condo","34","South Surrey White Rock","Surrey","4/30/2016","GEOF","1","$954.50","1/4/2016","001-944-738","3","$220.60","1/28/2016","$160,000","$259.74","0.98","1","1","RM45","$162,988","24","616","$259.74","0.98","Apartment/Condo"
"N247163","Residential Detached","S","17 REYNOLDS ROAD","Mackenzie -Town","1975","House/Single Family","41","Mackenzie (Zone 69)","Mackenzie","4/21/2016","LOUISE SKAVLEBO","2","$2,111.00","7/21/2015","009-084-193",,,"2/1/2016","$162,000","$80.96","0.95","2","3","R1","$169,900","195","2,001","$80.96","0.86","House/Single Family"
"R2028229","Residential Attached","S","307 5906 176A AVENUE","Cloverdale BC","1981","Apartment/Condo","35","Cloverdale","Surrey","5/27/2016","Sunny","1","$1,006.21","1/27/2016","000-516-066","3","$274.99","1/30/2016","$167,000","$185.56","0.98","1","2","RM2","$169,900","3","900","$185.56","0.98","Apartment/Condo"
"R2027590","Residential Attached","S","302 707 GLOUCESTER STREET","Uptown NW","1977","Apartment/Condo","39","New Westminster","New Westminster","4/22/2016","JORDAN","1","$875.00","1/22/2016","001-384-082",,"$282.84","1/28/2016","$167,900","$254.39","1.00","1","1","RM-2","$167,900","6","660","$254.39","1.00","Apartment/Condo"
"R2022463","Residential Attached","S","107A 2615 JANE STREET","Central Pt Coquitlam","1994","Apartment/Condo","22","Port Coquitlam","Port Coquitlam","4/30/2016","JASON G. LEE","1","$1,015.75","1/5/2016","018-722-288",,"$182.28","1/30/2016","$168,500","$235.34","0.96","1","1","STRATA","$174,900","25","716","$235.34","1.00","Apartment/Condo"
"R2018674","Residential Attached","S","105 11595 FRASER STREET","East Central","1991","Apartment/Condo","25","Maple Ridge","Maple Ridge","12/1/2019","THE RALPH TELEP TEAM","1","$2,071.99","12/1/2015","016-854-632",,"$231.00","2/2/2016","$169,800","$183.37","1.00","2","2","RM3","$169,800","63","926","$183.37","1.00","Apartment/Condo"
"R2023225","Land Only","S","LOT 14 SYLVAN DRIVE","Promontory",,,,"Sardis","Chilliwack","3/31/2016","BRYAN OR HARPREET",,"$0.00","1/5/2016","029-677-661",,,"2/2/2016","$169,900","$34.92","0.99",,,"R3","$170,900","28",,"$34.92","0.99","Other"
"R2028647","Residential Attached","S","310 9857 MANCHESTER DRIVE","Cariboo","1980","Apartment/Condo","36","Burnaby North","Burnaby","7/29/2016","RICHARD BISHOP","1","$1,347.81","1/25/2016","001-806-181",,"$217.65","1/28/2016","$171,800","$257.57","0.97","1","1","APT","$178,000","3","667","$257.57","0.97","Apartment/Condo"
"R2016256","Residential Attached","S","209 1011 FOURTH AVENUE","Uptown NW","1976","Apartment/Condo","40","New Westminster","New Westminster","2/29/2016","Touchbase or call Alex","1","$948.03","11/19/2015","001-361-554","3","$299.87","2/1/2016","$172,000","$243.97","0.99","1","1","STRATA","$173,900","62","705","$243.97","0.98","Apartment/Condo"
"R2026628","Residential Attached","S","211 2401 HAWTHORNE AVENUE","Central Pt Coquitlam","1992","Apartment/Condo","24","Port Coquitlam","Port Coquitlam","8/31/2016","SANDI CAMPARDO","1","$846.99","1/20/2016","017-794-587","4","$302.37","1/31/2016","$172,000","$286.67","0.98","1","1","RES","$174,800","11","600","$286.67","0.98","Apartment/Condo"
"R2025750","Residential Detached","S","864 SPRUCE AVENUE","100 Mile House - Town","1997","House/Single Family","19","100 Mile House (Zone 10)","100 Mile House","4/15/2016","BRENDA","1","$1,983.93","1/14/2016","023-385-359",,,"1/28/2016","$172,050","$153.62","1.05","1","3","R1","$164,000","14","1,120","$153.62","1.05","House/Single Family"
"R2014428","Residential Attached","S","210 1411 PORTAGE ROAD","Pemberton","2005","Apartment/Condo","11","Pemberton","Pemberton","6/30/2016","PAT SAINTSBURY","1","$1,140.52","11/10/2015","026-539-543","3","$330.00","1/30/2016","$175,000","$322.88","0.98","1","1","C3","$179,000","81","542","$322.88","0.98","Apartment/Condo"
"R2029405","Residential Attached","S","1 5840 VEDDER ROAD","Vedder S Watson-Promontory","1978","Townhouse","38","Sardis","Sardis","1/14/2017","CLAYTON NEWBERRY","1","$1,364.19","1/28/2016","001-528-807","2","$230.00","2/2/2016","$175,000","$112.83","0.98","2","3","R4","$179,000","5","1,551","$112.83","0.98","Townhouse"
"F1451128","Land Only","S","12925-12929 115A STREET","Bridgeview",,,,"North Surrey","Surrey","3/2/2016","Marie",,"$425.00","9/2/2015","002-390-949",,,"1/29/2016","$176,000","$70.40","0.98",,,"RS","$178,800","149",,"$70.40","0.98","Other"
"R2028453","Residential Attached","S","206 11963 223 STREET","West Central","1990","Apartment/Condo","26","Maple Ridge","Maple Ridge","6/30/2016","NATHAN OR ART","2","$2,043.66","1/26/2016","015-993-949","3","$265.50","2/2/2016","$176,500","$166.67","0.98","2","2","RM3","$179,900","7","1,059","$166.67","0.98","Apartment/Condo"
"R2026811","Residential Attached","S","410 2117 WHISTLER ROAD","Nordic","1968","Apartment/Condo","48","Whistler","Whistler","1/17/2017","STEPHANIE SLOAN","1","$0.00","1/17/2016","025-122-878",,"$0.00","1/29/2016","$178,000","$428.92","0.97","2","1","TA1","$183,000","12","415","$428.92","0.97","Apartment/Condo"
"R2024853","Residential Attached","S","47 46689 FIRST AVENUE","Chilliwack E Young-Yale","1978","Townhouse","38","Chilliwack","Chilliwack","4/10/2016","KARLI","1","$1,437.21","1/10/2016","001-260-227",,"$215.00","1/28/2016","$179,900","$138.38","1.00","2","3","R5","$179,900","18","1,300","$138.38","1.00","Townhouse"
"N248382","Residential Detached","S","7465 BURGESS ROAD","Deka/Sulphurous/Hathaway Lakes","2004","House/Single Family","13","100 Mile House (Zone 10)","Deka Lake / Sulphurous / Hathaway Lakes","3/31/2016","LOUISE CLEVERLEY","1","$1,677.00","9/3/2015","006-448-429",,,"1/30/2016","$180,000","$250.00","0.92","1","1","R1","$195,000","149","720","$250.00","0.82","House/Single Family"
