"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2044970","Residential Attached","S","213 20896 57 AVENUE","Langley City","1999","Apartment/Condo","17","Langley","Langley","8/1/2016","Aleksandra Magee","1","$908.33","3/7/2016","024-294-217","3","$246.63","3/13/2016","$155,000","$205.03","0.97","1","1","RM3","$159,800","6","756","$205.03","0.97","Apartment/Condo"
"R2039064","Residential Attached","S","201 30515 CARDINAL AVENUE","Abbotsford West","2009","Apartment/Condo","7","Abbotsford","Abbotsford","8/22/2016","Ingrid Rodin","1","$1,144.19","2/22/2016","027-879-101","4","$158.66","3/14/2016","$157,000","$248.03","0.98","1","1","RM1","$159,900","21","633","$248.03","0.98","Apartment/Condo"
"R2028632","Residential Attached","S","14 9206 CORBOULD STREET","Chilliwack W Young-Well","1992","Townhouse","24","Chilliwack","Chilliwack","8/1/2016","BRYAN","1","$1,251.31","1/25/2016","018-227-465","2","$150.00","3/16/2016","$158,000","$151.92","0.98","2","2","R5","$161,900","51","1,040","$151.92","0.97","Townhouse"
"R2043792","Residential Attached","S","303 624 AGNES STREET","Downtown NW","1995","Apartment/Condo","21","New Westminster","New Westminster","6/30/2016","BRENDA","1","$660.80","3/7/2016","023-195-614","4","$108.96","3/15/2016","$159,900","$390.95","1.00","1","0","C-4","$159,900","8","409","$390.95","1.00","Apartment/Condo"
"R2025159","Residential Attached","S","102 33688 KING ROAD","Poplar","1994","Apartment/Condo","22","Abbotsford","Abbotsford","8/31/2016","Ed Wiebe","2","$1,177.06","1/14/2016","018-556-434","4","$240.80","3/13/2016","$160,000","$173.16","0.97","2","2","RML","$164,900","59","924","$173.16","0.97","Apartment/Condo"
"R2033109","Residential Attached","S","101 12160 80 AVENUE","West Newton","1994","Apartment/Condo","22","Surrey","Surrey","5/31/2016","Raj Bud/Text","1","$920.00","2/9/2016","018-774-857",,"$203.70","3/13/2016","$161,750","$198.47","0.98","1","2","CD","$165,000","33","815","$198.47","0.98","Apartment/Condo"
"R2047724","Residential Attached","S","310 2565 CAMPBELL AVENUE","Central Abbotsford","2015","Apartment/Condo","1","Abbotsford","Abbotsford","7/16/2016","Touchbase please","1","$0.00","3/16/2016","029-489-679","4","$128.95","3/16/2016","$162,900","$276.10","1.00","1","1","RML","$162,900","0","590","$276.10","1.00","Apartment/Condo"
"R2038894","Residential Attached","S","106 9000 BIRCH STREET","Chilliwack W Young-Well","2006","Apartment/Condo","10","Chilliwack","Langley","7/31/2016","Sherman Foster","2","$1,117.21","2/23/2016","026-707-314",,"$225.00","3/15/2016","$163,900","$171.44","0.98","2","2","R5","$166,900","21","956","$171.44","0.98","Apartment/Condo"
"R2043874","Residential Attached","S","305 9295 122 STREET","Queen Mary Park Surrey","1987","Apartment/Condo","29","Surrey","Surrey","7/30/2016","Devin Walchuk","1","$1,143.20","3/9/2016","007-040-148",,"$271.43","3/14/2016","$165,000","$155.66","1.10","1","1","MF","$149,900","5","1,060","$155.66","1.10","Apartment/Condo"
"R2042336","Residential Attached","S","113 33546 HOLLAND AVENUE","Central Abbotsford","2008","Apartment/Condo","8","Abbotsford","Abbotsford","9/30/2016","Hang Lee","1","$1,198.02","3/1/2016","027-445-062","4","$159.57","3/13/2016","$166,000","$239.88","0.99","1","1","APT","$168,000","12","692","$239.88","0.99","Apartment/Condo"
"R2033161","Residential Attached","S","3075 268 STREET","Aldergrove Langley","1977","Townhouse","39","Langley","Langley","6/30/2016","Laura Dech","1","$1,910.41","2/5/2016","001-488-163",,"$175.00","3/15/2016","$168,000","$155.56","0.93","2","3","MF","$179,900","39","1,080","$155.56","0.93","Townhouse"
"R2043616","Residential Attached","S","1322 34909 OLD YALE ROAD","Abbotsford East","1980","Townhouse","36","Abbotsford","Abbotsford","9/8/2016","Touchbase Blaine Bailey","1","$1,312.89","3/8/2016","016-020-936","2","$209.11","3/13/2016","$171,000","$170.66","0.95","2","2","RM30","$179,900","5","1,002","$170.66","0.95","Townhouse"
"R2031923","Residential Attached","S","14853 HOLLY PARK LANE","Guildford","1979","Townhouse","37","North Surrey","Surrey","7/1/2016","Alex Andjelkovic","1","$1,006.67","2/8/2016","000-469-777",,"$174.99","3/13/2016","$173,000","$206.20","0.97","1","2","MR15","$179,000","34","839","$206.20","0.97","Townhouse"
"R2020354","Residential Attached","S","15 33123 GEORGE FERGUSON WAY","Central Abbotsford","1990","Townhouse","26","Abbotsford","Abbotsford","5/14/2016","Blaine Bailey","2","$1,279.87","12/14/2015","015-216-934",,"$301.15","3/16/2016","$174,500","$149.79","0.94","2","2","RM25","$185,900","93","1,165","$149.79","0.94","Townhouse"
"R2038021","Residential Attached","S","204 20068 FRASER HIGHWAY","Langley City","2013","Apartment/Condo","3","Langley","Langley","8/24/2016","Julie","1","$1,067.09","2/24/2016","029-175-461",,"$127.55","3/14/2016","$175,750","$308.33","0.93","1","1","CD25","$189,900","19","570","$308.33","0.93","Apartment/Condo"
"N247598","Residential Detached","S","18 TUTU AVENUE","Mackenzie -Town","1970","House/Single Family","46","Mackenzie (Zone 69)","Mackenzie","5/1/2016","LYNDA MORELAND","2","$2,158.00","8/6/2015","003-970-485",,,"3/16/2016","$176,905","$72.03","0.88","3","4","R1","$199,900","223","2,456","$72.03","0.87","House/Single Family"
"R2028834","Residential Attached","S","305 15388 105 AVENUE","Guildford","2014","Apartment/Condo","2","North Surrey","Surrey","9/30/2016","Grace Liew","1","$1,131.54","1/24/2016","029-292-905",,"$162.15","3/14/2016","$178,000","$353.17","0.94","1","1","STRATA","$189,900","50","504","$353.17","0.94","Apartment/Condo"
"R2033353","Residential Attached","S","216 9632 120A STREET","Cedar Hills","1984","Apartment/Condo","32","North Surrey","Surrey","7/31/2016","RAJA VIRK","1","$1,046.28","2/8/2016","000-792-560",,"$254.64","3/16/2016","$179,000","$170.48","0.95","1","2","CD","$188,800","37","1,050","$170.48","0.95","Apartment/Condo"
"V660708","Land Only","S","LT 47 MOONDANCE PLACE","Gibsons & Area",,,,"Sunshine Coast","Gibsons","2/16/2017",,,"$0.00","7/20/2007","027-090-647",,,"3/16/2016","$179,500","$8.33","0.95",,,"R-2-C","$189,500","3162",,"$8.33","0.78","House/Single Family"
"R2042008","Residential Attached","S","223 4369 MAIN STREET","Whistler Village","1996","Apartment/Condo","20","Whistler","Whistler","6/1/2016","DEAN LINNELL","1","$1,276.79","3/1/2016","023-778-814",,"$370.00","3/14/2016","$180,000","$569.62","0.95","1","0","TA1","$189,000","13","316","$569.62","0.95","Apartment/Condo"
"N248149","Residential Detached","S","5207 COTTONWOOD ROAD","Fort Nelson -Town","1996","Manufactured with Land","20","Fort Nelson (Zone 64)","Fort Nelson","9/24/2016","SANDY OR BARB","2","$2,341.00","8/24/2015","004-303-148",,,"3/16/2016","$180,000","$123.46","0.90","2","3","RS1","$199,000","205","1,458","$123.46","0.73","Manufactured with Land"
"R2025531","Residential Attached","S","104 2344 ATKINS AVENUE","Central Pt Coquitlam","1989","Apartment/Condo","27","Port Coquitlam","Port Coquitlam","5/15/2016","TOUCHBASE PREFERRED","1","$1,103.90","1/14/2016","010-213-228","4","$363.26","3/14/2016","$180,000","$173.91","1.13","1","2","MF","$159,000","60","1,035","$173.91","1.07","Apartment/Condo"
"R2013122","Residential Detached","S","214 HARPER STREET","Nechako View","1950","House/Single Family","66","PG City Central (Zone 72)","Prince George","3/1/2016","DONNA","1","$2,259.22","10/31/2015","003-547-931",,,"3/14/2016","$183,000","$82.43","0.96","1","3","RS4","$189,998","135","2,220","$82.43","0.87","House/Single Family"
"R2019185","Residential Attached","S","4 9913 QUARRY ROAD","Chilliwack N Yale-Well","1998","Townhouse","18","Chilliwack","Chilliwack","6/3/2016","SABRINA VANDENBRINK TEAM","2","$1,360.15","12/3/2015","023-932-571",,"$225.00","3/15/2016","$183,000","$162.09","0.96","2","2","R5","$189,900","103","1,129","$162.09","0.94","Townhouse"
"R2017739","Residential Attached","S","217 5765 GLOVER ROAD","Langley City","1995","Apartment/Condo","21","Langley","Langley","11/23/2016","ANDREAS","2","$1,725.13","11/26/2015","023-081-708",,,"3/16/2016","$185,000","$184.08","0.98","2","2","STRATA","$189,500","111","1,005","$184.08","0.98","Apartment/Condo"
"R2044892","Residential Attached","S","41 9470 HAZEL STREET","Chilliwack E Young-Yale","1998","Townhouse","18","Chilliwack","Chilliwack","6/30/2016","CRYSTAL OR JEN","2","$1,453.00","3/11/2016","023-976-764","3","$220.71","3/13/2016","$186,000","$137.57","0.98","2","3","R5","$189,900","2","1,352","$137.57","0.98","Townhouse"
"H2153509","Residential Attached","S","405 9130 CORBOULD STREET","Chilliwack W Young-Well","2014","Apartment/Condo","2","Chilliwack","Chilliwack","8/31/2016","NORM/ROB","1","$793.76","9/9/2015","029-417-325","4","$163.62","3/14/2016","$186,500","$244.75","0.99","1","2","R6","$189,000","187","762","$244.75","1.01","Apartment/Condo"
"R2042276","Residential Attached","S","422 4369 MAIN STREET","Whistler Village","1997","Apartment/Condo","19","Whistler","Whistler","8/31/2016","Ursula Morel","1","$1,375.39","3/5/2016","023-779-349",,"$447.22","3/14/2016","$187,000","$489.53","0.99","1","0","TA1","$189,000","9","382","$489.53","0.99","Apartment/Condo"
"R2045027","Residential Detached","S","734 5TH AVENUE","Hope Center","1940","House/Single Family","76","Hope","Hope","7/10/2016","ROB","1","$1,558.00","3/10/2016","010-936-777",,,"3/15/2016","$190,000","$198.74","0.95","1","2","RS-1","$199,000","5","956","$198.74","0.95","House/Single Family"
"R2036669","Residential Attached","S","305 8591 WESTMINSTER HIGHWAY","Brighouse","1982","Apartment/Condo","34","Richmond","Richmond","8/18/2016","Vince","1","$709.55","2/18/2016","000-724-581",,"$318.89","3/16/2016","$192,000","$263.01","0.97","1","1","RAM1","$198,800","27","730","$263.01","0.97","Apartment/Condo"
"R2007569","Residential Detached","S","52 46511 CHILLIWACK LAKE ROAD","Chilliwack River Valley","1978","Manufactured with Land","38","Sardis","Sardis","4/7/2016","Anita or Kelly","1","$1,055.60","10/8/2015","001-419-277",,"$200.00","3/13/2016","$193,900","$171.90","0.97","1","2","RMH","$199,900","157","1,128","$171.90","0.88","Manufactured with Land"
"R2032048","Residential Attached","S","108 10788 139 STREET","Whalley","2007","Apartment/Condo","9","North Surrey","Surrey","12/31/2016","Tony Tran","1","$1,140.85","2/1/2016","026-890-771","4","$295.42","3/16/2016","$194,000","$243.72","0.97","1","2","CD","$199,900","44","796","$243.72","0.95","Apartment/Condo"
"V1126980","Land Only","S","LOT 16 WOODLAND AVENUE","Gibsons & Area",,,,"Sunshine Coast","Gibsons","3/31/2016","PAT OR GRANT 604-790-0788",,"$1,268.00","6/2/2015","028-822-391",,,"3/13/2016","$195,000",,"0.98",,,"RU1","$199,900","285",,,"1.08","House/Single Family"
"R2045994","Residential Detached","S","340 RAAB STREET","Hope Center","1960","House/Single Family","56","Hope","Hope","9/30/2016","ANDY/DAVID","1","$1,791.53","3/12/2016","009-622-764",,,"3/13/2016","$195,000","$181.23","0.93","1","3","C-5","$209,900","1","1,076","$181.23","0.93","House/Single Family"
"R2043172","Residential Attached","S","308 11963 223 STREET","West Central","1990","Apartment/Condo","26","Maple Ridge","Maple Ridge","9/8/2016","STEPHEN","2","$2,135.58","3/8/2016","015-994-066","3","$275.00","3/15/2016","$195,000","$177.60","0.98","2","2","CONDO","$199,900","7","1,098","$177.60","0.98","Apartment/Condo"
"R2036273","Residential Attached","S","409 11950 HARRIS ROAD","Central Meadows","2008","Apartment/Condo","8","Pitt Meadows","Pitt Meadows","6/30/2016","KRISTEN","1","$1,799.06","2/12/2016","027-703-789",,"$198.72","3/14/2016","$198,800","$318.08","1.00","1","1","MF","$198,800","31","625","$318.08","1.00","Apartment/Condo"
"R2044293","Residential Attached","S","414 19388 65 AVENUE","Clayton","2006","Apartment/Condo","10","Cloverdale","Surrey","12/31/2016","OR TEXT STEVEN","1","$1,162.77","3/9/2016","026-362-996","4","$222.76","3/14/2016","$199,000","$261.84","1.00","1","1","MF","$199,900","5","760","$261.84","1.00","Apartment/Condo"
"R2037549","Residential Attached","S","255 5421 10 AVENUE","Tsawwassen Central","1976","Apartment/Condo","40","Tsawwassen","Delta","6/18/2016","Teri or Trisha","1","$1,209.86","2/18/2016","001-424-483",,"$209.87","3/15/2016","$200,000","$265.60","1.00","1","1","MF","$201,000","26","753","$265.60","1.00","Apartment/Condo"
"R2047043","Residential Detached","S","2751 STARLANE DRIVE","Charella/Starlane","1962","House/Single Family","54","PG City South (Zone 74)","Prince George","9/15/2016","ROBIN","1","$2,626.98","3/16/2016","012-693-715",,,"3/16/2016","$200,000","$88.18","0.95","1","3","RS1","$209,900","0","2,268","$88.18","0.95","House/Single Family"
"R2039892","Residential Detached","S","131 27111 0 AVENUE","Aldergrove Langley","1982","Manufactured","34","Langley","Langley","5/31/2016","Joanne","2","$1,100.00","2/28/2016","900-513-296",,,"3/16/2016","$200,200","$173.78","1.03","2","2","MHP","$194,500","17","1,152","$173.78","1.03","Manufactured"
"R2023984","Residential Attached","S","16 33293 E BOURQUIN CRESCENT","Central Abbotsford","1976","Townhouse","40","Abbotsford","Abbotsford","6/8/2016","Martin Engh","1","$1,681.00","1/8/2016","001-228-285",,"$405.00","3/16/2016","$201,000","$118.24","0.98","3","4","STRATA","$205,000","68","1,700","$118.24","0.94","Townhouse"
"R2028857","Residential Attached","S","12 5351 200 STREET","Langley City","1972","Townhouse","44","Langley","Langley","3/25/2016","Karen Krinbill","1","$1,803.58","1/25/2016","001-079-531","3","$170.00","3/14/2016","$201,000","$155.69","1.08","1","3","RM1","$185,900","29","1,291","$155.69","1.08","Townhouse"
"R2030243","Residential Attached","S","401 14881 103A AVENUE","Guildford","1990","Apartment/Condo","26","North Surrey","Surrey","7/31/2016","Brent","2","$1,175.83","1/29/2016","016-336-780","22","$341.88","3/13/2016","$202,000","$196.50","0.99","2","2","MFD","$204,500","44","1,028","$196.50","0.97","Apartment/Condo"
"R2029294","Residential Attached","S","318 2943 NELSON PLACE","Central Abbotsford","2009","Apartment/Condo","7","Abbotsford","Abbotsford","5/16/2016","Cyndi or Marianne","2","$1,702.13","1/27/2016","028-041-097",,"$250.00","3/14/2016","$202,500","$195.46","0.97","2","2","RML","$209,000","47","1,036","$195.46","0.97","Apartment/Condo"
"R2039457","Residential Attached","S","304 27358 32 AVENUE","Aldergrove Langley","1993","Apartment/Condo","23","Langley","Langley","7/31/2016","KELLY RICHARDSON","2","$1,855.04","2/23/2016","018-200-290","3","$355.19","3/16/2016","$202,500","$174.27","0.96","2","2","RM-3A","$209,900","22","1,162","$174.27","0.96","Apartment/Condo"
"R2025540","Residential Attached","S","43 22308 124 AVENUE","West Central","1990","Other","26","Maple Ridge","Maple Ridge","4/15/2016","Jennifer or Neve","2","$2,267.18","1/15/2016","015-745-724","1","$206.00","3/15/2016","$203,102","$179.74","1.10","2","2","RM-4","$183,900","60","1,130","$179.74","1.08","Other"
"H1303648","Land Only","S","19200 BULGER ROAD","Hope Laidlaw",,,,"Hope","Hope","3/31/2016","MIKE BAIRD",,"$648.00","9/14/2013","012-718-521",,,"3/16/2016","$205,000",,"0.90",,,"AG1","$229,000","914",,,"0.82","Other"
"R2024139","Residential Attached","S","108 10721 139 STREET","Whalley","1993","Apartment/Condo","23","North Surrey","Surrey","4/30/2016","Touchbase","2","$1,223.35","1/11/2016","017-724-589",,"$308.52","3/15/2016","$209,000","$196.24","1.00","2","2","RES","$209,000","64","1,065","$196.24","1.00","Apartment/Condo"
"R2033142","Residential Attached","S","310 33538 MARSHALL ROAD","Central Abbotsford","2009","Apartment/Condo","7","Abbotsford","Abbotsford","5/5/2016","Hank or Mike","2","$1,535.44","2/5/2016","028-044-797","4","$265.00","3/14/2016","$210,000","$235.69","0.98","2","2","RML","$214,900","38","891","$235.69","0.98","Apartment/Condo"
"R2002529","Residential Detached","S","6228 CEDAR CREEK ROAD","Horsefly","2002","House with Acreage","14","Williams Lake (Zone 27)","Horsefly","12/31/2016","FREDDY","2","$1,566.51","9/18/2015","018-886-523",,,"3/15/2016","$210,000","$106.06","0.92","2","3","RR2","$229,000","179","1,980","$106.06","0.92","House with Acreage"
"R2045101","Residential Attached","S","119 2451 GLADWIN ROAD","Abbotsford West","1991","Apartment/Condo","25","Abbotsford","Abbotsford","9/9/2016","Wendi Neuman","2","$1,453.02","3/9/2016","016-091-558",,"$304.47","3/14/2016","$211,100","$169.56","1.07","2","2","RML","$198,000","5","1,245","$169.56","1.07","Apartment/Condo"
"R2041865","Residential Attached","S","109 295 SCHOOLHOUSE STREET","Maillardville","1994","Apartment/Condo","22","Coquitlam","Coquitlam","5/31/2016","AMELA ALIC","1","$1,365.00","2/29/2016","018-392-962",,"$210.00","3/15/2016","$212,000","$298.59","0.99","1","1","RES","$215,000","15","710","$298.59","0.99","Apartment/Condo"
"R2029959","Residential Attached","S","431 6628 120 STREET","West Newton","2009","Apartment/Condo","7","Surrey","Surrey","6/6/2016","GILLTEAM TOUCHBASE","1","$1,272.91","2/1/2016","027-899-594",,"$230.00","3/14/2016","$215,000","$335.94","0.98","1","1","MF","$218,606","42","640","$335.94","0.98","Apartment/Condo"
"R2043269","Residential Attached","S","416 2581 LANGDON STREET","Abbotsford West","2005","Apartment/Condo","11","Abbotsford","Abbotsford","7/9/2016","Christel","2","$1,508.00","3/9/2016","026-218-674","4","$256.00","3/13/2016","$215,000","$219.39","0.96","2","2","RML","$224,900","4","980","$219.39","0.96","Apartment/Condo"
