"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2012568","Residential Attached","S","204 10668 138 STREET","Whalley","1994","Apartment/Condo","22","North Surrey","Surrey","4/30/2016","Shawn Hlookoff","2","$1,099.86","11/2/2015","018-401-694","4","$318.00","3/19/2016","$167,000","$198.81","0.98","2","2","RM","$169,900","138","840","$198.81","0.97","Apartment/Condo"
"R2045158","Land Only","S","LOT 13 SUNSET PLACE","Gibsons & Area",,,,"Sunshine Coast","Gibsons","5/31/2016","CORINNE STONES",,"$1,056.81","3/9/2016","025-794-515",,,"3/19/2016","$169,500",,"1.00",,,"R2","$169,500","10",,,"1.00","Other"
"R2045169","Land Only","S","LOT 19 SUNRISE PLACE","Gibsons & Area",,,,"Sunshine Coast","Gibsons","5/31/2016","CORINNE STONES",,"$1,056.81","3/9/2016","025-794-574",,,"3/19/2016","$169,500",,"1.00",,,"R2","$169,500","10",,,"1.00","Other"
"R2042341","Residential Attached","S","303 2575 WARE STREET","Central Abbotsford","1996","Apartment/Condo","20","Abbotsford","Abbotsford","8/31/2016","Jeremy or Monique","2","$1,342.00","2/29/2016","018-840-892",,"$332.12","3/18/2016","$170,000","$158.88","0.95","2","2","RML","$179,000","18","1,070","$158.88","0.95","Apartment/Condo"
"R2038482","Residential Attached","S","307 45702 WATSON ROAD","Vedder S Watson-Promontory","1990","Apartment/Condo","26","Sardis","Sardis","6/30/2016","JORDY","2","$1,153.72","2/22/2016","017-440-599",,"$251.25","3/18/2016","$170,000","$166.67","1.03","2","2","R5","$164,900","25","1,020","$166.67","1.03","Apartment/Condo"
"R2046628","Residential Attached","S","305 14859 100 AVENUE","Guildford","2005","Apartment/Condo","11","North Surrey","Surrey","8/12/2016","Aki Foster","1","$1,041.62","3/12/2016","026-294-150","4","$196.35","3/18/2016","$171,000","$308.66","0.99","1","1","CD","$173,000","6","554","$308.66","0.99","Apartment/Condo"
"R2022178","Residential Attached","S","312 12070 227 STREET","East Central","2015","Apartment/Condo","1","Maple Ridge","Maple Ridge","6/17/2016","RICHARD BURLEIGH","1","$0.00","12/29/2015","029-619-432","4","$173.08","3/18/2016","$174,400","$321.18","1.00","1","1","RM3","$174,400","80","543","$321.18","1.00","Apartment/Condo"
"R2020354","Residential Attached","S","15 33123 GEORGE FERGUSON WAY","Central Abbotsford","1990","Townhouse","26","Abbotsford","Abbotsford","5/14/2016","Blaine Bailey","2","$1,279.87","12/14/2015","015-216-934",,"$301.15","3/16/2016","$174,500","$149.79","0.94","2","2","RM25","$185,900","93","1,165","$149.79","0.94","Townhouse"
"R2043785","Residential Attached","S","27 32691 GARIBALDI DRIVE","Abbotsford West","1988","Townhouse","28","Abbotsford","Abbotsford","7/31/2016","Trish","1","$1,140.96","3/4/2016","014-112-795","2","$232.24","3/18/2016","$174,600","$149.74","0.97","2","1","RML","$179,900","14","1,166","$149.74","0.97","Townhouse"
"R2037363","Residential Attached","S","211 33898 PINE STREET","Central Abbotsford","2010","Apartment/Condo","6","Abbotsford","Abbotsford","5/19/2016","Carla","1","$1,282.79","2/19/2016","028-127-269",,"$244.95","3/19/2016","$175,000","$236.49","1.03","1","1","RML","$169,900","29","740","$236.49","1.03","Apartment/Condo"
"N247598","Residential Detached","S","18 TUTU AVENUE","Mackenzie -Town","1970","House/Single Family","46","Mackenzie (Zone 69)","Mackenzie","5/1/2016","LYNDA MORELAND","2","$2,158.00","8/6/2015","003-970-485",,,"3/16/2016","$176,905","$72.03","0.88","3","4","R1","$199,900","223","2,456","$72.03","0.87","House/Single Family"
"R2033353","Residential Attached","S","216 9632 120A STREET","Cedar Hills","1984","Apartment/Condo","32","North Surrey","Surrey","7/31/2016","RAJA VIRK","1","$1,046.28","2/8/2016","000-792-560",,"$254.64","3/16/2016","$179,000","$170.48","0.95","1","2","CD","$188,800","37","1,050","$170.48","0.95","Apartment/Condo"
"V660708","Land Only","S","LT 47 MOONDANCE PLACE","Gibsons & Area",,,,"Sunshine Coast","Gibsons","2/16/2017",,,"$0.00","7/20/2007","027-090-647",,,"3/16/2016","$179,500","$8.33","0.95",,,"R-2-C","$189,500","3162",,"$8.33","0.78","House/Single Family"
"R2047277","Land Only","S","153 51075 FALLS COURT","Eastern Hillsides",,,,"Chilliwack","Chilliwack","12/31/2016","Ian Hornby",,"$1,435.00","3/17/2016","026-360-845",,,"3/18/2016","$179,900","$14.89","1.00",,,"OR-3","$179,900","1",,"$14.89","1.00","Other"
"N248149","Residential Detached","S","5207 COTTONWOOD ROAD","Fort Nelson -Town","1996","Manufactured with Land","20","Fort Nelson (Zone 64)","Fort Nelson","9/24/2016","SANDY OR BARB","2","$2,341.00","8/24/2015","004-303-148",,,"3/16/2016","$180,000","$123.46","0.90","2","3","RS1","$199,000","205","1,458","$123.46","0.73","Manufactured with Land"
"R2037970","Residential Attached","S","A13 908 LYTTON STREET","Windsor Park NV","1967","Apartment/Condo","49","North Vancouver","North Vancouver","12/31/2016","CHRISTINE","1","$145,011.53","2/21/2016","009-073-086",,"$160.98","3/18/2016","$180,000","$473.68","0.99","1","0","MF","$182,700","26","380","$473.68","0.99","Apartment/Condo"
"R2006441","Residential Detached","S","237 E 7TH AVENUE","Prince Rupert - City","1942","House/Single Family","74","Prince Rupert (Zone 52)","Prince Rupert","5/31/2016","DOROTHY WHARTON","1","$1,906.57","10/1/2015","008-294-542",,,"3/17/2016","$182,500","$184.53","0.94","1","2","R2","$194,900","168","989","$184.53","0.94","House/Single Family"
"R2032119","Residential Detached","S","63834 BAILEY CRESCENT","Hope Silver Creek","1972","House/Single Family","44","Hope","Hope","8/4/2016","LYNN BELL","2","$1,987.14","2/4/2016","001-991-906",,,"3/20/2016","$184,500","$107.02","0.97","2","3","R1A","$189,900","45","1,724","$107.02","0.97","House/Single Family"
"R2024787","Residential Attached","S","307 160 LILLOOET AVENUE","Harrison Hot Springs","1984","Apartment/Condo","32","Harrison Hot Springs","Harrison Hot Springs","12/31/2016","GARRY OR RITA","1","$990.45","1/7/2016","000-636-169","3","$230.00","3/20/2016","$185,000","$189.36","0.94","1","2","C2","$196,000","73","977","$189.36","0.94","Apartment/Condo"
"R2037776","Residential Detached","S","7181 EUGENE ROAD","Lafreniere","1965","House/Single Family","51","PG City South (Zone 74)","Prince George","6/22/2016","CALL/TEXT MIKE","1","$2,111.15","2/22/2016","004-811-836",,,"3/19/2016","$185,000","$206.47","0.95","1","2","RS1M","$194,900","26","896","$206.47","0.93","House/Single Family"
"R2017739","Residential Attached","S","217 5765 GLOVER ROAD","Langley City","1995","Apartment/Condo","21","Langley","Langley","11/23/2016","ANDREAS","2","$1,725.13","11/26/2015","023-081-708",,,"3/16/2016","$185,000","$184.08","0.98","2","2","STRATA","$189,500","111","1,005","$184.08","0.98","Apartment/Condo"
"R2046506","Residential Attached","S","214 3363 WESTWOOD DRIVE","Peden Hill","1992","Townhouse","24","PG City West (Zone 71)","Prince George","6/15/2016","MARGARET","1","$1,988.14","3/15/2016","017-900-573",,"$235.00","3/18/2016","$187,500","$104.17","0.99","2","3","RM3","$189,900","3","1,800","$104.17","0.99","Townhouse"
"R2044517","Residential Attached","S","304 19750 64 AVENUE","Willoughby Heights","1998","Apartment/Condo","18","Langley","Langley","6/10/2016","Touchbase Only Please","1","$1,884.14","3/10/2016","023-628-863",,"$258.91","3/17/2016","$188,000","$252.35","0.96","1","2","C-1","$194,900","7","745","$252.35","0.96","Apartment/Condo"
"R2047031","Residential Attached","S","202 33280 E BOURQUIN CRESCENT","Central Abbotsford","1993","Apartment/Condo","23","Abbotsford","Abbotsford","9/16/2016","The Siebert Team","2","$1,225.41","3/16/2016","018-337-945",,"$298.07","3/18/2016","$188,500","$163.91","1.00","2","2","RML","$188,500","2","1,150","$163.91","1.00","Apartment/Condo"
"V1082003","Residential Detached","S","264 MARINERS WAY","Mayne Island","1979","House/Single Family","37","Islands-Van. & Gulf","Mayne Island","6/26/2016","Deanna Stobart","1","$1,169.00","8/26/2014","000-140-031",,,"3/19/2016","$189,000","$222.35","0.95","1","1","SR","$199,500","571","850","$222.35","0.88","House/Single Family"
"R2036669","Residential Attached","S","305 8591 WESTMINSTER HIGHWAY","Brighouse","1982","Apartment/Condo","34","Richmond","Richmond","8/18/2016","Vince","1","$709.55","2/18/2016","000-724-581",,"$318.89","3/16/2016","$192,000","$263.01","0.97","1","1","RAM1","$198,800","27","730","$263.01","0.97","Apartment/Condo"
"R2032048","Residential Attached","S","108 10788 139 STREET","Whalley","2007","Apartment/Condo","9","North Surrey","Surrey","12/31/2016","Tony Tran","1","$1,140.85","2/1/2016","026-890-771","4","$295.42","3/16/2016","$194,000","$243.72","0.97","1","2","CD","$199,900","44","796","$243.72","0.95","Apartment/Condo"
