"ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Total Baths","Zoning","List Price","Lot Sz (Acres)","Region","# of Kitchens","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Adjustment Date","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","City","Class","Collapse Date","Confirm Sold Date","Days On MLS","Depth","Development Permit?","Expiry Date","Fireplaces","Floor Area -Grand Total","Floor Area Fin - Basement","Foundation","Gross Taxes","How Sold","Income As At Date","Income Per Annum","Include in DDF (Y/N)","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","Parking Places - Total","Potential for Rezoning?","Prev Price","Previous Exp Date","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Sale/Rent","Sanitary Sewer","SP/OLP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Tot Units in Strata Plan","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com"
"R2288824","Residential Detached","C","24 770 N 11TH AVENUE","Williams Lake - City","36","2","1990","0.00","Manufactured","Williams Lake (Zone 27)","800-123-233","V2G 2M4","0.00",,,,,,,"1","MHP","$54,900","0.00","BC Northern","1",,,,,"28",,"250-267-1088",,,,"0","2",,,,,"Williams Lake","Residential Detached",,,,,,"12/1/2018","0","924","0","Other","$570.10",,,,"Yes",,"WILLIAMS LAKE RURAL",,"8/17/2018",,"7/12/2018","Williams Lake",,,"1",,"2",,"$57,900",,,"BC","Turn key and move in ready.  Open floor concept with large kitchen and living room space, vaulted ceilings with lots of natural light.  This mobile is located in Fran Lee Mobile home park and is located central to all levels of school, hospital, and shopping.  Bus stop close by as well as parks.  2 spacious bedrooms, large deluxe bathroom with laundry.  Quick possession available.","Mobile is on wood cribbing.  Unit is empty please advise Listing Realtor before showing.","For Sale",,,"8/17/2018",,,,,"Leasehold not prepaid-NonStrata",,,,,
"R2295494","Residential Detached","T","A2 5931 COOK CRESCENT","Birchwood","8","3","1971","0.00","Manufactured","PG City North (Zone 73)","800-034-225","V2K 3A3","0.00",,,,,,,"1","MHP-1","$59,900","0.00","BC Northern","1",,,,,"47",,"778-349-0520",,,,"0","3",,,,,"Prince George","Residential Detached",,,,,,"8/10/2018","0","1,062","0","Preserved Wood","$207.45",,,,"Yes",,"CITY OF PRINCE GEORGE",,"8/10/2018",,"8/2/2018","City of Prince George",,,"1",,"2",,"$0","11/30/2018",,"BC","A truly rare find in this quiet mobile park. This great 3 bedroom unit with a large den area is a real treat on the eyes with tasteful updates and allot of room! The open space really feels like a great deal more once you are inside. Generous master bedroom with 2 fair size rooms as well. The yard has a bit of grass and a nice patio to enjoy the nice days outside! Definitely worth the trip to take a look at this gem located in the Birchwood Heights mobile park!  *Please note as for pets it is the best to contact the office via email with the breed and height of the pet there is a variance we can allow for well tempered dogs","Easy to Show, Call Brian for viewings","For Sale",,,"8/10/2018",,,,"$375.00","Leasehold not prepaid-Strata",,,,,
"R2240858","Residential Detached","X","10407 100A STREET","Taylor","182","2","1974","0.00","Manufactured with Land","Fort St. John (Zone 60)","013-339-427","V0C 2K0","50.00",,,,,,,"1","RS1","$60,000","0.00","BC Northern","1",,,,,"44",,"250-784-6900",,,,"0","2",,,,,"Taylor","Residential Detached",,,,"150",,"8/12/2018","0","1,056","0","None","$937.74",,,,"Yes",,,,"8/13/2018",,"2/12/2018",,,,"1",,,,"$62,000","5/12/2018",,"BC","This older mobile home is situated on a generous sized lot in Taylor & centrally located near most amenities.  This property also has an addition and a framed in porch area.  New BC Electrical Certification on this unit as well.  With 2 bedrooms and possibility of 2 more this mobile home has plenty of space.  Home is in need of some attention, off-street parking and a nice fruit producing tree in the front yard.","Taxes are approx. All measurements are approx. and should be verified if deemed important. Court-ordered sale. Signed Schedule A must accompany all offers. Subject to court approval. As is - Where is.","For Sale",,,"8/13/2018",,,,,"Freehold NonStrata",,,,,
"R2287678","Residential Detached","C","42 45640 WATSON ROAD","Vedder S Watson-Promontory","34","2","1974","0.00","Manufactured","Sardis","700-000-047","V2R 3P9",,,,,,,,"1","RMH","$68,000","0.00","Chilliwack","1",,,,,"44",,"604-798-8974","9999",,,"0","2",,,,,"Chilliwack","Residential Detached",,,,,,"10/31/2018","0","780","0","Concrete Block","$101.62",,,,"Yes",,"CITY OF CHILLIWACK",,"8/13/2018",,"7/10/2018","Chilliwack",,,"1",,"5",,"$0",,,"BC","Bring your tools and benefit from this opportunity to build sweat equity in a great Sardis location! Home is sold as-is, where-is. Westwood Estates is close to shopping, restaurants, transit, Cheam Leisure Centre, and Garrison Crossing. Roof done about 3 years ago. Family-friendly mobile home park, one small pet allowed. Park approval required, with references plus criminal record check.","***CANCELLED AUG. 10, 2018***All measurements approximate, verify if important. Notice is appreciated before showings.","For Sale",,,"8/13/2018",,,,,"Leasehold not prepaid-NonStrata",,,,,
"R2284115","Land Only","S","14740 PARKVIEW AVENUE","Hope Sunshine Valley","48",,,"0.00",,"Hope","002-110-211","V0X 1L5","40.00","Allowed Access","House/Single Family","$75,000","0.94",,"8/13/2018",,"RS1","$79,900","0.38","Chilliwack",,,,,"8/30/2018",,,"604-750-0185",,,,,,"No","Mandatory","A. GOHARJOO & F. ABASZADEH",,"Sunshine Valley","Land",,"8/13/2018","47","225/0.38 AC","No","11/23/2019",,,,,"$448.26","NOT USED",,,"Yes","Yes",,,"8/14/2018",,"6/26/2018",,"Not Available",,,,,"No","$0",,"No","BC","Over .38 acre sloped view Building Lot in the Recreational/Residential Community of Sunshine Valley near Manning Park less than 2 hours from Vancouver. Water, Sewer, Power, Cable and phone all at the lot line ready to begin construction. Lots of building options on this one from a small cabin to a large home. Easy and quick building permitting process. In gated community of Parkhill Village. Enjoy 4 seasons for all your outdoor fun. Hiking, fishing, ATV'ing, snowmobiling, X-country & downhill skiing in neighbouring Manning Park & more. Only 10 mins to Hope, 2 hours to Vancouver and 30 mins to Manning Park. No borders, No ferries. Get back to nature, a weekend at a time!","In gated community of Parkhill in Sunshine Valley. Gate remote available from Listing Agent anytime.","For Sale","At Lot Line","0.94","8/14/2018",,,"None",,"Freehold Strata",,,,"Other-Licensed",
"R2268515","Residential Detached","S","44 1000 INVERNESS ROAD","Aberdeen PG","91","2","1993","0.00","Manufactured","PG City North (Zone 73)","800-121-856","V0K 4V1",,,,"$76,500","0.97","$69.04","8/11/2018","1","MHP","$79,000","0.00","BC Northern","1",,,,"8/30/2018","25",,"250-552-0839",,,,"0","2",,,"SCHOFIELD",,"Prince George","Residential Detached",,"8/11/2018","88",,,"9/12/2018","1","1,108","0","Other","$689.18","NOT USED",,,"Yes",,,,"8/14/2018",,"5/12/2018",,,,"1",,"3",,"$81,000",,,"BC","Looking for low-maintenance living? Welcome to unit 44 in the adult section of Inverness Mobile Estates. The front-end dining area, island in the kitchen and all of the built-ins make this home a pleasure to view. The very private lot has many apple trees and garden areas to be viewed from the private deck. Backs onto greenbelt. Large master suite with access to the five-piece bath. Located on the cool, shady side of the lot.","A 25% introduction fee will be deducted from the buyer agent fee in favor of listing agent as stated if listing agent introduces/shows the property first by way of a personal appointment. Foundation is concrete pillars.","For Sale",,"0.94","8/14/2018",,,,,"Leasehold not prepaid-NonStrata",,,,,
"R2199173","Residential Detached","X","83 3 AVENUE","Burns Lake - Town","365","3","1957","7,105.00","House/Single Family","Burns Lake (Zone 55)","006-380-115","V0J 1E3","0.00",,,,,,,"1","C1","$84,900","0.16","BC Northern","1",,,,,"61",,"250-692-3115",,,,"0","3",,,,,"Burns Lake","Residential Detached",,,,"0",,"8/14/2018","0","1,012","0","Concrete Perimeter","$1,145.96",,,,"Yes",,,,"8/15/2018",,"8/15/2017",,,,"1",,,,"$0",,,"BC","Great starter home for a young family! 3-bedrooms close to Highway 16 and shopping. Lots of renovations and low-maintenance metal siding. Use it for yourself or continue to rent it out...or bring your business ideas to the table and use the commercial zoning to your advantage! Lots of options for this property!","C-1 Commercial zoning. Currently rented for $750/mo.","For Sale",,,"8/15/2018",,,,,"Freehold NonStrata",,,,,
"R2270101","Residential Detached","X","33 7790 KING GEORGE BOULEVARD","East Newton","93","2","1975","0.00","Manufactured","Surrey","905-001-681","V3W 5Y4",,,,,,,,"1","MHP","$86,000","0.00","Fraser Valley","1",,,,,"43",,"604-538-2125",,,,"0","2",,,,,"Surrey","Residential Detached",,,,,,"8/18/2018","0","768","0","Concrete Slab","$144.79",,,,"Yes",,"CITY OF SURREY",,"8/19/2018",,"5/18/2018","Surrey",,,"1",,"2",,"$0",,,"BC","Updated 2 Bedroom 1 Bathroom mobile home in quiet park with swimming pool, club house and playground. Updated kitchen, newer laminate flooring, hot water tank, furnace and roof. Close to transit, shopping and schools all withing walking distance. Call today with any other questions, don't miss out!","2 SMALL PETS ALLOWED. Measurements approximate please verify all important information for your buyer. All occupants over 19 must have credit score of at least 670 no exceptions park is very strict.","For Sale",,,"8/19/2018",,,,,"Other",,,,,
"R2297079","Land Only","S","DL 3803 HINCHIE ROAD","Lone Butte/Green Lk/Watch Lk","1",,,"0.00",,"100 Mile House (Zone 10)","013-363-735","V0K 2K0","0.00","Road Access","House/Single Family","$90,000","0.95",,"8/14/2018",,"R1","$95,000","33.00","BC Northern",,,,,"8/29/2018",,,"250-644-4464",,,,,,"No","Not Available","VOLK",,"Lone Butte","Land",,"8/14/2018","1","0","No","10/31/2018",,,,,"$400.90","NOT USED",,,"Yes","No",,,"8/15/2018",,"8/13/2018",,"Not Available",,,,,"Not Known","$0",,"No","BC","L# 9224",,"For Sale","None","0.95","8/15/2018",,,"None",,"Freehold NonStrata",,,,"None",
"R2181033","Residential Detached","C","807 MUSSELL PLACE","Esler/Dog Creek","411","3","1973","0.00","Manufactured with Land","Williams Lake (Zone 27)","006-594-271","V2G 4M1","0.00",,,,,,,"2","R2","$119,500","0.46","BC Northern","1",,,,,"45",,"250-267-4371","2013",,,"0","3",,,,,"Williams Lake","Residential Detached",,,,"0",,"6/28/2019","0","1,314","0","Other","$1,247.02",,,,"Yes",,,,"8/16/2018",,"6/21/2017",,,,"1",,"4",,"$159,900","6/30/2018",,"BC","A Great Beginning! Featuring approx. 1314 sq ft of living space, spacious living room, kitchen & dining room, 3 bedrooms, master bedroom with walk-in closet & 4 pc ensuite, 3 pc main bath. 400 sq ft wrap around sundeck. New flooring throughout. Located on 0.46 acre of land on quiet cul-de-sac just off of Dog Creek Road. Close to recreational trails, general store & Mountview Elementary School. Home needs TLC.","Foundation is wood blocks.","For Sale",,,"8/16/2018",,,,,"Freehold NonStrata",,,,,
"R2258615","Land Only","X","195 14600 MORRIS VALLEY ROAD","Lake Errock","123",,,"1,650.00",,"Mission","023-087-749","V0M 1A1","0.00","Allowed Access","Recreational",,,,,,"REC","$119,900","0.04","Fraser Valley",,,,,,,,"604-764-8536",,,,,,"No","Not Available",,,"Mission","Land",,,,"0","No","8/18/2018",,,,,"$440.33",,,,"Yes","No",,,"8/19/2018",,"4/18/2018",,"Not Available",,,,,,"$124,000",,"No","BC","Summer is coming!! Freehold lot in this beautiful gated community of Tapadera Estates. Features a great clubhouse with indoor swimming pool, hot tub, sauna and so much more just down the street! Located on the Harrison river with boat launch and fishing. Close to Sandpiper Golf course, Sasquatch Mountain for skiing and hiking etc...This could be your new weekend get away or stay all year round. Low maintenance $136.29. Price is for the lot only, but existing 2011 Puma 30K FB DS travel trailer can be negotiated into the sale. Call for your private viewing today!","2011 Puma 30K FB DS travel trailer can be negotiated in the sale. Lot allows up to a 39ft trailer.","For Sale","At Lot Line",,"8/19/2018",,,"At Lot Line",,"Freehold Strata",,,,"City/Municipal",
"R2250350","Residential Detached","T","A23 1885 QUEENSWAY DRIVE","Thornhill","147","2","2015","0.00","Manufactured","Terrace (Zone 88)","800-120-616","V8G 3X1","0.00",,,,,,,"1","MHP","$124,500","0.00","BC Northern","1",,,,,"3",,"250-641-1964",,,,"0","2",,,,,"Terrace","Residential Detached",,,,"0",,"8/15/2018","0","924","0","Concrete Block","$983.89",,,,"Yes",,,,"8/15/2018",,"3/21/2018",,,,"1",,,,"$0","9/30/2018",,"BC","Beautiful & elegant describes this 2014 Moduline home. This home features dark wood cabinets and plenty of counter space. The elegant wrap around hutch has glass upper cabinet doors in the dining area providing extra storage while still looking modern. The large bathroom features a deep tub, separate shower and his & her sinks with lots of cabinet storage. Storage is definitely not lacking in this home! The large windows, vaulted ceilings and light decor make this home bright and welcoming. Outside find a beautiful view of the Skeena River and surrounding mountains. Quick possession on this home is available.","Disclosure of Interest In Trade in file & must be submitted with any offers. Agent is related to the Sellers.  The trailer next door has been purchased by the trailer park owners and supposedly will be fully renovated.","For Sale",,,"8/15/2018",,,,,"Freehold NonStrata",,,,,
"R2233774","Residential Detached","X","3765 OMINECA CRESCENT","Houston - Town","212","5","1981","7,482.23","House/Single Family","Houston (Zone 53)","006-282-971","V0J 1Z2","0.00",,,,,,,"2","R-1","$129,000","0.17","BC Northern","1",,,,,"37",,"250-847-3144",,,,"2","3",,,,,"Houston","Residential Detached",,,,"0",,"8/18/2018","1","2,020","1,010","Preserved Wood","$2,493.77",,,,"Yes",,,,"8/19/2018",,"1/19/2018",,,,"2",,,,"$135,000",,,"BC","Be Your Own Decorator! 5 bedroom home located in the popular Avalon Subdivision! No neighbours behind. New deck. Lots of parking. Exterior updated with vinyl siding, extra insulation and vinyl windows. Interior has 2 updated bathrooms. Other updates include some laminate flooring, paint and trim. Very open kitchen/living room. Basement has a family room and 2 bedrooms & wood stove. All appliances included.",,"For Sale",,,"8/19/2018",,,,,"Freehold NonStrata",,,,,
"R2242306","Land Only","X","20856 SAKWI CREEK ROAD","Hemlock","176",,,"7,800.00",,"Mission","005-239-273","V0M 1A1","20.80","Road Access","House/Single Family",,,,,,"RST 2","$129,000","0.18","Fraser Valley",,,,,,,,"778-344-7443",,,,,,"No","Not Available",,,"Agassiz","Land",,,,"36.5","No","8/15/2018",,,,,"$602.06",,,,"Yes","No",,,"8/16/2018",,"2/21/2018",,"Not Available",,,,,"Not Known","$0",,"No","BC","Located in the center of the village, this lot is a 20 minute walk to skiing, a 10 minute walk to the village trails system and only a 45 minute ATV ride to Harrison Lake in summer.  The lot backs on a deep ravine giving it a unique alpine view and privacy, while the front view features a treed mountain top.","Lot has a geotechnical restriction due to proximity to a deep ravine","For Sale","At Lot Line",,"8/16/2018",,,"None",,"Freehold NonStrata",,,,"Community",
"R2259416","Residential Detached","S","10360 102 AVENUE","Fort St. John - City NW","113","2","1955","0.00","House/Single Family","Fort St. John (Zone 60)","013-753-487","V1J 2E5","100.00",,,"$130,000","0.70","$108.33","8/10/2018","2","RM2","$185,500","0.00","BC Northern","1",,,,"8/23/2018","63",,"250-264-7776",,,,"0","2",,,"OTBEC BUILDING SERVICES INC.",,"Fort St. John","Residential Detached",,"8/10/2018","112","122",,"1/31/2019","1","1,200","0","Concrete Perimeter","$1,948.58","NOT USED",,,"Yes",,,,"8/17/2018",,"4/19/2018",,,,"1",,"4",,"$199,900","9/30/2018",,"BC","Double, Double here--double lot and double garage. This rancher offers 2 bedrooms, nice large rooms, and the eating area has French doors to a patio. Living room has a large wood fireplace. Centrally located. Includes fridge, stove, built-in dishwasher, washer/dryer and storage shed!","Additional PID# 013-753-479  Buyer to satisfy themselves as to measurements if deemed important.","For Sale",,"0.57","8/17/2018",,,,,"Freehold NonStrata",,,,,
"R2256659","Residential Detached","X","8 3614 KALUM STREET","Terrace - City","123","3","2010","0.00","Manufactured","Terrace (Zone 88)","800-121-190","V8G 2E1",,,,,,,,"2","R5","$134,900","0.00","BC Northern","1",,,,,"8",,"250-615-1350",,,,"0","3",,,,,"Terrace","Residential Detached",,,,,,"8/10/2018","0","858","0","Other","$999.90",,,,"Yes",,,,"8/11/2018",,"4/10/2018",,,,"1",,,,"$0",,,"BC","Check out this 2010 3-bedroom modular home located just blocks from downtown Terrace! This home features 2x6 construction, high efficiency furnace, vaulted ceilings, vinyl windows, stainless steel appliances and fully fenced yard. There are 2 bedrooms and 1 full bath at the front with the master bedroom and full 4 piece ensuite bath at the back. Modular homes are very economical to own and very low maintenance. Perfect starter home or retirement home! Pad rent is only $280! Call or Click today for more information or to book a viewing! Owners will include 3 months Free Pad Rent to get you started off!!!","Foundation is concrete blocks.","For Sale",,,"8/11/2018",,,,,"Leasehold not prepaid-NonStrata",,,,,
"R2238769","Land Only","X","8042 83 MILE ROAD","Lone Butte/Green Lk/Watch Lk","182",,,"547,549.20",,"100 Mile House (Zone 10)","028-194-373","V0K 2K1","0.00","Road Access","House/Single Family",,,,,,"RR1","$134,900","12.57","BC Northern",,,,,,,,"250-644-5686",,,,,,"No","Not Available",,,"70 Mile House","Land",,,,"0","No","8/9/2018",,,,,"$583.27",,,,"Yes","Yes","WILLIAMS LAKE RURAL",,"8/10/2018",,"2/9/2018","Williams Lake Rural","Not Available",,,,,,"$139,000",,"No","BC","Build here! Beautiful, private acreage minutes from desirable Green Lake in the beautiful South Cariboo. This 12+ acre property has 83 Mile Creek flowing through it an backs on to crown land. Located roughly 20 minutes from the amenities of 100 Mile House. Build your dream home and enjoy the wonders of nature for years to come. Note: The fabulous RV with 2 slides and a fireplace pictured isn't included but could be negotiated.","Contact listing agent for gate key Title documents available on request. Note: The fabulous RV with 2 slides and a fireplace pictured isn't included but could be negotiated","For Sale","None",,"8/10/2018",,,"None",,"Freehold NonStrata",,,,"None",
