"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"R2297104","Residential Attached","S","501 1501 QUEENSWAY STREET","Millar Addition","1966","Apartment/Condo","52","PG City Central (Zone 72)","Prince George","12/31/2018","DENISE","1","$626.83","8/10/2018","026-576-783","10","$284.00","12/3/2018","$67,500","$108.87","0.93","1","1","RM1","$72,500","115","620","$108.87","0.93","Apartment/Condo","1",,"250-612-2061","3%","MILLAR ADDITION",,"0",,,,"1","V2L 1L5",,"OWNER NEVER OCCUPIED","BC",,,,
"R2315104","Land Only","S","DL 1002 CHILAKO RIVER-NECHAKO","Blackwater",,,,"PG Rural West (Zone 77)","Prince George","10/12/2019","DARREN",,"$106.93","10/12/2018","015-058-913",,,"11/30/2018","$72,000",,"0.90",,,"RLU","$80,000","49",,,"0.90","Other",,"Mixed","250-640-5585","5% OF SALE PRICE",,"0",,"0.00","Yes",,,"V2N 5N7",,,"BC","None",,"None","None"
"R2320201","Residential Detached","S","75 1840 160 STREET","King George Corridor","1975","Manufactured","43","South Surrey White Rock","Surrey","1/31/2019","LES WELLMAN","1","$72.51","11/1/2018","905-003-783",,,"12/1/2018","$74,500","$90.85","0.83","2","3","MHP","$89,999","30","820","$90.85","0.68","Manufactured","1",,"604-581-3838","2.5% ON $100,000 & 1% ON BALANCE+$2,500 BONUS","BREAKAWAY BAYS",,"0",,,"$1,056.00","2","V4A 4X4",,,"BC",,,,
"R2309394","Land Only","S","1285 3RD AVENUE","Valemount - Town",,,,"Robson Valley (Zone 81)","Valemount","2/28/2019","TAMMY",,"$633.10","9/7/2018","012-648-370",,,"12/12/2018","$75,000","$8.61","0.88",,,"R1","$85,000","96",,"$8.61","0.88","Other",,"Road Access","250-566-1025","2% OF PURCHASE PRICE",,,,,"Yes",,,"V0E 2Z0",,,"BC","Nearby",,"None","City/Municipal"
"R2324253","Residential Attached","S","101 625 REID STREET","Quesnel - Town","1982","Apartment/Condo","36","Quesnel (Zone 28)","Quesnel","5/31/2019","PAM","1","$811.23","11/21/2018","004-472-063",,"$178.58","11/28/2018","$79,000","$104.36","0.99","1","2","RM3","$80,000","7","757","$104.36","0.99","Apartment/Condo","1",,"250-255-4332","3% (MINIMUM 25% REFERRAL WILL BE PAID TO LISTING BROKERAGE IF BUYER'S 1ST INTRODUCTION OT THE PROPERTY WAS BY LISTING AGENT)",,,"0",,,,,"V2J 2N2",,,"BC",,,,
"R2318986","Residential Attached","S","6 301 STUART DRIVE","Mackenzie -Town","9999","Townhouse","999","Mackenzie (Zone 69)","Mackenzie","4/30/2019","RICK","1","$1,146.29","10/27/2018","023-675-004",,"$200.00","11/28/2018","$80,000","$55.56","0.95","1","3","RM1","$84,000","32","1,440","$55.56","0.95","Townhouse","1",,"250-997-8137","1% FLAT FEE","CHELSEA ESTATES",,"1",,,,"1","V0J 2C0",,,"BC",,,,
"R2310441","Residential Detached","S","98 8220 KING GEORGE STREET","East Newton","1974","Manufactured","44","Surrey","Surrey","3/30/2019","LES WELLMAN","1","$43.00","9/27/2018","905-003-261",,,"12/2/2018","$83,000","$84.69","0.92","1","3","MHP","$89,900","66","980","$84.69","0.92","Manufactured","1",,"604-581-3838","2%","Crestway Bays",,"0",,,"$891.00","2","V3W 6E1",,,"BC",,,,
"R2319089","Land Only","S","LT 22 11230 W BEAVERLEY ROAD","Beaverley",,,,"PG Rural West (Zone 77)","Prince George","6/30/2019","GEORGE",,"$0.00","10/29/2018","030-348-838",,,"12/4/2018","$85,000",,"0.74",,,"RR-2","$115,000","36",,,"0.74","Other",,"Road Access","250-960-9556","2%",,"0",,"0.00","Yes",,,"V2N 5A7","No",,"BC","None",,"None","Well - Drilled"
"R2322945","Residential Detached","S","4 4430 16 HIGHWAY","Smithers - Town","1996","Manufactured","22","Smithers And Area (Zone 54)","Smithers","3/12/2019","JENNIFER SHARP","2","$1,309.90","11/13/2018","800-125-971",,,"12/8/2018","$87,000","$94.16","0.89","2","2","R4","$98,000","25","924","$94.16","0.89","Manufactured","1",,"778-210-0227","3% ON THE FIRST $100,000/1.5% ON REMAINDER","HUDSON BAY MOUNTAIN TRAILER PARK",,"0",,,"$314.00",,"V0J 2N0",,,"BC",,,,
"R2311005","Residential Detached","S","283 COLGROVE ROAD","Hixon","1975","House/Single Family","43","PG Rural South (Zone 78)","Hixon","12/31/2018","AARON SWITZER","1","$982.31","9/28/2018","011-954-515",,,"11/26/2018","$93,500","$47.32","0.85","1","3","HIXON","$109,900","59","1,976","$47.32","0.78","House/Single Family","1",,"250-640-7355","3% ON THE 1ST $100,000/1% ON THE REMAINDER PLUS GST","HIXON","0","0","0.00",,,,"V0K 1S0",,,"BC",,,,
"R2326440","Residential Detached","S","1224 MAHOOD LAKE","Canim/Mahood Lake","1985","House/Single Family","33","100 Mile House (Zone 10)","Canim Lake","2/1/2019","CLAYTON NEWBERRY","0","$380.53","11/30/2018","018-364-276",,,"12/9/2018","$95,000","$81.55","1.00","0","1","RL","$95,000","9","1,165","$81.55","1.00","House/Single Family","1",,"604-791-1870","$1.00",,"0","0","0.00",,,,"V0K 2A0",,"'AS IS' - SELLER DOES NOT OCCUPY","BC",,,,
"R2323739","Residential Detached","S","C 1613 S LAKESIDE DRIVE","Williams Lake - Rural South","2007","Manufactured","11","Williams Lake (Zone 27)","Williams Lake","5/31/2019","DANA LYNN","2","$1,092.12","11/19/2018","800-126-043",,,"12/7/2018","$97,000","$97.00","0.92","2","2","MHP","$105,000","8","1,000","$97.00","0.92","Manufactured","1",,"250-305-8725","$1500 + GST = $1575.00","TORIKKAS MOBILE HOME PARK",,"0",,,"$300.00",,"V2G 3A8",,,"BC",,,,
"R2261104","Residential Attached","S","1216 2607 PEAR STREET","Terrace - City","1981","Apartment/Condo","38","Terrace (Zone 88)","Terrace","10/1/2018","HELENA","1","$959.99","4/25/2018","014-950-529","3","$188.46","12/11/2018","$99,000","$125.32","1.05","1","2","R4","$94,500","228","790","$125.32","1.05","Apartment/Condo","1",,"250-975-1818","2.5% OF THE FINAL SALE PRICE PLUS GST","SOUTHSIDE",,"0",,,,"1","V8G 4V5",,,"BC",,,,
"R2294827","Residential Detached","S","4570 CANIM-HENDRIX LAKE ROAD","Forest Grove","9999","House with Acreage","999","100 Mile House (Zone 10)","Forest Grove","12/31/2018","FRANK","1","$785.65","8/3/2018","001-537-431",,,"11/27/2018","$100,000","$189.39","0.92","1","1","R1","$109,000","116","528","$189.39","0.84","House with Acreage","1",,"250-395-0272","3.4% UP TO $100,000 AND 1.5 FOR REMAINING BALANCE","FOREST GROVE",,"0",,,,,"V0K 1M0",,,"BC",,,,
"R2253781","Residential Detached","S","5739 WALTERS DRIVE","Horsefly","1971","Manufactured with Land","48","Williams Lake (Zone 27)","Horsefly","3/31/2019","Michelle or Victor","1","$419.29","3/31/2018","011-277-246",,,"11/28/2018","$105,000","$78.01","0.78","1","4","RS 2","$135,000","242","1,346","$78.01","0.72","Manufactured with Land","1",,"250-620-3440","3% OF 1ST $100,000 & 1.3% OF REMAINDER OF SALE PRICE IF BUYER'S AGENT CONDUCTS ALL SHOWINGS FOR BUYER,OTHERWISE IT'S $1,000","Horsefly Village","211.0","1","264.00",,,"8","V0L 1L0",,,"BC",,,,
"R2321871","Residential Detached","S","28 1000 INVERNESS ROAD","Aberdeen PG","1992","Manufactured","27","PG City North (Zone 73)","Prince George","3/8/2019","CLARE","1","$885.84","11/8/2018","800-125-893",,,"12/9/2018","$109,000","$96.04","0.93","1","3","R55","$117,500","31","1,135","$96.04","0.93","Manufactured","1",,"250-640-6787","$2500.00","ABERDEEN - HART HIGHWAY","0","0","0.00",,"$470.00","2","V2K 4V1",,,"BC",,,,
"R2322155","Residential Detached","S","300 201 CAYER STREET","Maillardville","1972","Manufactured","46","Coquitlam","Coquitlam","2/28/2019","Mr.Bill","2","$212.18","11/9/2018","800-125-907",,,"11/26/2018","$115,000","$90.20","0.89","2","3","MOBILE","$129,800","17","1,275","$90.20","0.89","Manufactured","1",,"604-250-4663","3.225% ON THE 1ST $100,000 AND 1.1625% OF THE BALANCE","Wildwood Park",,"0",,,"$1,050.00","3","V3K 5A9",,"Seller never lived in the home","BC",,,,
"R2305700","Land Only","S","89 SPARKS AVENUE","Kitimat",,,,"Kitimat (Zone 89)","Kitimat","3/11/2019","GRAHAM PITZEL",,"$555.65","9/10/2018","005-619-009",,,"12/3/2018","$118,000","$15.44","0.94",,,"R1-A","$125,000","84",,"$15.44","0.94","Other",,"Road Access","250-639-0872","3% ON THE FIRST $100,000 1.5% ON REMAINDER","WHITESAIL","0",,"0.00","Yes",,,"V8C 2R6",,,"BC","At Lot Line",,"At Lot Line","City/Municipal"
"R2293240","Residential Detached","S","3826 GLENDALE DRIVE","Emerald","1966","Manufactured with Land","52","PG City North (Zone 73)","Prince George","12/26/2018","CHRIS","1","$956.49","7/26/2018","011-745-541",,,"12/3/2018","$119,675","$178.09","0.92","1","2","RS1M","$129,500","130","672","$178.09","0.75","Manufactured with Land","1",,"250-614-3727","$3,500.00",,"0","1","0.00",,,,"V2K 2V5",,,"BC",,,,
"R2261299","Residential Detached","S","3360 GILLESPIE ROAD","Houston - Town","1979","House/Single Family","39","Houston (Zone 53)","Houston","4/30/2019","DAN","1","$2,852.86","4/24/2018","004-995-619",,,"11/30/2018","$119,900","$51.02","0.97","2","4","R1","$123,000","219","2,350","$51.02","0.94","House/Single Family","1",,"250-845-8234","3% OF THE FIRST $100,000 AND 1.5% OF THE BALANCE",,"0","0","0.00",,,,"V0J 1Z1",,,"BC",,,,
"R2318177","Residential Attached","S","211 45749 SPADINA AVENUE","Chilliwack W Young-Well","1980","Apartment/Condo","38","Chilliwack","Chilliwack","3/30/2019","Mike/Michele","1","$502.06","10/24/2018","016-033-183",,"$224.07","12/5/2018","$122,500","$214.91","0.85","1","1","R5","$144,900","42","570","$214.91","0.85","Apartment/Condo","1",,"604-855-0800","3.22% 1ST $100,000 / 1.15% BAL","Chilliwack Gardens",,"0",,,,,"V2P 1T5",,"Sellers have never lived in unit","BC",,,,
"R2316119","Residential Attached","S","204 45749 SPADINA AVENUE","Chilliwack W Young-Well","1980","Apartment/Condo","38","Chilliwack","Chilliwack","2/15/2019","TOUCHBASE/Gary Davies","1","$502.06","10/18/2018","016-033-281",,"$225.78","11/30/2018","$124,000","$238.46","0.86","1","1","R5","$144,900","43","520","$238.46","0.86","Apartment/Condo","1",,"604-799-3521","3% 1ST $100,000 / 1.25% BAL","Chilliwack Gardens",,"0","0.00",,,,"V2P 1T5",,,"BC",,,,
"R2299886","Land Only","S","Lot 8 LILLOOET LAKE FOREST SERVICE ROAD","Lillooet Lake",,,,"Pemberton","Pemberton","12/22/2018","Lisa Hilton",,"$147.50","8/22/2018","000-000-008",,,"11/27/2018","$125,000",,"1.00",,,"RR1","$125,000","97",,,"1.00","Other",,"Road Access","604-902-4589","3% ON THE 1ST 100K; 1.5% ON THE BALANCE. PHYSICAL INTRO MUST BE BY BUYER’S AGENT OR COMMISSION WON'T BE PAID & $500 WILL BE RECEIVED BY BUYER'S AGENT.","Heather Jean Properties","134.60",,"120.75","Yes",,,"V0N 2K0",,"Vacant land never lived on","BC","None",,"None","Community"
"R2313468","Residential Detached","S","2625 WIGGINS WAY","Hazelton","1983","House/Single Family","35","Smithers And Area (Zone 54)","Hazelton","4/9/2019","ELDON","1","$1,793.45","10/9/2018","006-975-755",,,"11/26/2018","$126,000","$60.58","1.01","1","5","R","$125,000","48","2,080","$60.58","1.01","House/Single Family","1",,"250-842-8225","3% UP TO $100,000 / 1.5% OF BALANCE",,"120","0","60.00",,,"2","V0J 1Y0",,,"BC",,,,
"R2324691","Land Only","S","BLK 51 THE GROVE ROAD","Gambier Island",,,,"Sunshine Coast","Gambier Island","11/1/2019","Allen or Ed",,"$276.49","11/16/2018","013-386-930",,,"12/2/2018","$129,000","$3.29","0.99",,,"SR1","$130,000","16",,"$3.29","0.99","Other",,"Road Access","604-865-1923","3.255% ON THE 1ST $100,000 + 1.1625% ON THE BALANCE WITH THE 1ST PHYSICAL INTRODUCTION OR 2.44% ON THE 1ST $100,000 + 0.87% ON THE BALANCE","West Bay","256",,"122.00","Yes",,,"V0N 1V0",,,"BC","None",,"None","None"
"R2319247","Land Only","S","LT 21 11230 W BEAVERLEY ROAD","Beaverley",,,,"PG Rural West (Zone 77)","Prince George","6/30/2019","GEORGE",,"$0.00","10/30/2018","030-348-820",,,"12/4/2018","$132,000",,"0.98",,,"RR-2","$135,000","35",,,"0.98","Other",,"Road Access","250-960-9556","2%",,"0",,"0.00","Yes",,,"V2N 5A7","No",,"BC","None",,"None","Well - Drilled"
"R2323786","Residential Detached","S","2808 ROYWIN ROAD","Fort St. James - Rural","1968","Manufactured with Land","50","Fort St. James (Zone 57)","Fort St. James","5/19/2019","MORGAN","1","$963.48","11/19/2018","006-535-861",,,"12/1/2018","$138,000","$106.48","0.92","1","3","H 1","$149,900","12","1,296","$106.48","0.92","Manufactured with Land","1",,"250-996-1272","3% UP TO $100,000 / 1% OF BALANCE   LESS 25% IF FIRST INTRODUCTION TO PROPERTY IS BY WAY OF LISTING AGENT",,"0","1","0.00",,,"4","V0J 1P0",,,"BC",,,,
"R2297302","Multifamily","S","3133-3145 PEARSON ROAD","Houston - Town","9999","Fourplex","999","Houston (Zone 53)","Houston","12/28/2018","JANTINA","0","$4,607.00","8/13/2018","010-007-407",,,"11/29/2018","$140,000","$17.95","1.00","0","3","R4","$140,000","108","7,800","$17.95","1.00","Fourplex","1",,"250-847-3144","3.5% OF $100,000 AND 1.75% OF BALANCE--LESS 50% IF FIRST INTRODUCTION TO PROPERTY IS BY LISTING REALTOR",,"0","0",,,,,"V0J 1Z0",,,"BC",,,,
"R2297334","Multifamily","S","3195 PEARSON ROAD","Houston - Town","1970","Fourplex","48","Houston (Zone 53)","Houston","12/28/2018","JANTINA MEINTS","0","$3,747.41","8/13/2018","029-019-737",,,"12/2/2018","$140,000","$17.95","1.00","0","3","R4","$140,000","111","7,800","$17.95","1.00","Fourplex","1",,"250-847-3144","3.5% OF $100,000 AND 1.75% OF BALANCE--LESS 50% IF FIRST INTRODUCTION TO PROPERTY IS BY LISTING REALTOR",,"0","0","0.00",,,,"V0J 1Z0",,,"BC",,,,
"R2297942","Residential Attached","S","306B 21000 ENZIAN WAY","Hemlock","1980","Apartment/Condo","38","Mission","Agassiz","1/30/2019",,"0","$505.00","8/11/2018","001-734-156",,,"12/5/2018","$140,000","$259.26","0.93","0","1","RST5","$149,900","116","540","$259.26","0.93","Apartment/Condo","1",,"778-344-7443","S-3.2% 1ST 100K/1.25% BAL",,,,,,,,"V0M 1A1",,,"BC",,,,
"R2322082","Residential Detached","S","5478 WINKLEY CREEK ROAD","Likely","1988","Recreational","30","Williams Lake (Zone 27)","Likely","8/7/2019","LYNZY MCCOWAN","1","$969.28","11/8/2018","017-210-241",,,"11/26/2018","$140,000","$149.57","1.02","1","1","RL","$137,500","18","936","$149.57","1.02","Recreational","1",,"250-870-3021","3.5% ON THE FIRST $100,000/1.5% THEREAFTER",,"0","1","0.00",,,,"V0L 1N0",,,"BC",,,,
"R2323757","Land Only","S","LOT 12 ALPINE WAY","Smithers - Rural",,,,"Smithers And Area (Zone 54)","Smithers","5/31/2019","DJ",,"$892.36","11/16/2018","028-997-107",,,"11/28/2018","$146,900","$13.12","0.98",,,"R9","$149,900","12",,"$13.12","0.98","Other",,"Road Access","250-847-9222","3% UP TO $100,000 / 1.5% OF REMAINDER","HUDSON BAY MOUNTAIN ESTATES","100",,"112.00","Yes",,,"V0J 2N0","No",,"BC","Community",,"None","Community"
"R2298814","Residential Detached","S","139 NADINA CRESCENT","Fraser Lake","1976","House/Single Family","42","Vanderhoof And Area (Zone 56)","Fraser Lake","1/31/2019","JODY","2","$1,547.20","8/17/2018","008-894-132",,,"11/30/2018","$147,000","$69.60","0.85","2","3","R1","$173,900","105","2,112","$69.60","0.79","House/Single Family","1",,"250-567-0153","1.75% IF BUYER'S AGENT PHYSICALLY INTRODUCES/SHOWS PROPERTY FIEST BY WAY OF PERSONAL APPOINTMENT, OTHERWISE 50% ** SEE REALTOR REMARKS",,"36.58","0","72.01",,,,"V0J 1S0",,,"BC",,,,
"R2316679","Residential Detached","S","179 3665 244 STREET","Otter District","1980","Manufactured","38","Langley","Langley","4/1/2019","Lenning","2","$333.60","10/19/2018","905-003-606",,,"11/30/2018","$148,000","$126.50","0.88","2","2","MHP","$168,000","42","1,170","$126.50","0.83","Manufactured","1",,"604-542-2444","3.22% ON THE FIRST $100,000 AND 1.15% ON THE BALANCE","LANGLEY GROVE ESTATES",,"1",,,"$717.57","2","V2Z 1N1",,,"BC",,,,
"R2320559","Residential Detached","S","1014 W 2ND AVENUE","Prince Rupert - City","1953","House/Single Family","65","Prince Rupert (Zone 52)","Prince Rupert","3/31/2019","THAI PHAM","1","$1,464.76","11/2/2018","006-501-222",,,"11/27/2018","$149,000","$132.68","0.97","1","2","RM2","$154,000","25","1,123","$132.68","0.97","House/Single Family","1",,"250-600-7579","3% ON THE FIRST $100,000/1.5% ON THE BALANCE",,"100","0","37.50",,,,"V8J 1J1",,,"BC",,,,
"R2207705","Residential Detached","S","336 E 6TH AVENUE","Prince Rupert - City","1920","House/Single Family","98","Prince Rupert (Zone 52)","Prince Rupert","1/9/2019","EMILY","1","$1,181.55","9/17/2017","014-551-071",,,"12/1/2018","$152,000","$89.41","0.96","1","3","R2","$159,000","440","1,700","$89.41","0.90","House/Single Family","1",,"250-600-7343","3% OF THE FIRST $100,000 AND 1.5% THEREAFTER",,"100","0","25.00",,,"3","V8J 1W4",,,"BC",,,,
"R2326032","Residential Detached","S","27 5204 ACKROYD STREET","Terrace - City","2018","Manufactured","0","Terrace (Zone 88)","Terrace","2/28/2019","DAWN","2","$0.00","11/30/2018","800-126-307",,,"12/6/2018","$152,900","$165.48","0.99","2","3","MHP","$154,900","6","924","$165.48","0.99","Manufactured","1",,"250-641-1964","$2750 PLUS GST","BRAUNS ISLAND MHP",,"0",,,"$375.00","2","V8G 1E6",,"OWNER DOES NOT LIVE IN HOME","BC",,,,
"R2293586","Residential Detached","S","4235 15TH AVENUE","Hazelton","1973","House/Single Family","45","Smithers And Area (Zone 54)","New Hazelton","2/27/2019","Jennifer Sharp","1","$2,057.41","7/30/2018","013-963-112",,,"11/26/2018","$154,000","$127.69","0.99","2","3","R1","$155,000","107","1,206","$127.69","0.99","House/Single Family","1",,"778-210-0227","3.5% ON THE FIRST $100,000, 1.75% ON THE REMAINDER",,"120","1","99.00",,,"3","V0J 2J0",,,"BC",,,,
