"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"R2293487","Residential Detached","S","B3 5931 COOK COURT","Birchwood","2016","Manufactured","2","PG City North (Zone 73)","Prince George","2/28/2019","KERSTIN ASPA","1","$850.00","7/30/2018","800-123-592",,,"12/13/2018","$102,000","$110.39","0.90","2","2","MHP","$112,900","133","924","$110.39","0.85","Manufactured","1",,"250-692-0492","2.5% ON THE FIRST $100,000.00, 1% ON REMAINDER",,"0","0","0.00",,"$375.00","2","V2K 3A3",,,"BC",,,,
"R2316900","Residential Detached","S","10062 98 STREET","Taylor","1997","Manufactured with Land","22","Fort St. John (Zone 60)","Taylor","3/31/2019","RICK C","1","$1,556.09","10/16/2018","009-131-906",,,"12/19/2018","$102,500","$84.36","0.85","1","2","R1","$120,000","64","1,215","$84.36","0.85","Manufactured with Land","1",,"250-787-5866","3.5% ON FIRST 100K/1.5% ON REMAINDER",,"130","0","60.00",,,,"V0C 2K0",,"COURT ORDERED SALE","BC",,,,
"R2306546","Residential Detached","S","104 7850 KING GEORGE BOULEVARD","East Newton","1978","Manufactured","41","Surrey","Surrey","1/31/2019","VICKIE","2","$108.50","9/13/2018","905-003-070",,,"1/4/2019","$120,000","$89.29","0.75","2","3","MHR","$159,000","113","1,344","$89.29","0.71","Manufactured","1",,"604-315-7974","S-3.22% 1ST 100K/1.15% BAL","BEAR CREEK GLEN",,"0",,,"$910.00","2","V3W 5S3",,,"BC",,,,
"R2328201","Residential Detached","S","5438 CECIL LAKE ROAD","Fort St. John - Rural E 100th","1996","Manufactured with Land","23","Fort St. John (Zone 60)","Fort St. John","6/16/2019","MIKE","2","$698.73","12/16/2018","014-648-229",,,"12/18/2018","$123,000","$78.44","0.98","2","4","A2","$124,900","2","1,568","$78.44","0.98","Manufactured with Land","1",,"250-794-1511","3% UP TO $100,000 PLUS 1.5% OF REMAINDER",,"0","0","0.00",,,"6","V0C 1G0",,"DOES NOT LIVE HERE","BC",,,,
"R2327243","Land Only","S","LOT 2 DREWRY LAKE FSR ROAD","Deka/Sulphurous/Hathaway Lakes",,,,"100 Mile House (Zone 10)","Forest Grove","11/30/2019","David Jurek",,"$933.99","12/7/2018","023-661-119",,,"12/19/2018","$125,000","$1.27","0.83",,,"RR3","$149,900","12",,"$1.27","0.83","Other",,"Road Access","250-706-5500","3.4% ON THE FIRST 100K AND 1.25% ON THE BALANCE",,"0",,"0.00","Yes",,,"V0K 1G0",,,"BC","None",,"None","None"
"R2327156","Residential Attached","S","208 45744 SPADINA AVENUE","Chilliwack W Young-Well","1981","Apartment/Condo","38","Chilliwack","Chilliwack","12/31/2019","Rob or Touchbase(TB preferred)","1","$509.81","12/10/2018","005-195-195","4","$197.66","1/4/2019","$130,000","$224.14","0.94","1","1","R6","$139,000","25","580","$224.14","0.94","Apartment/Condo","1",,"604-347-8831","3.22% 1ST $100,000 / 1.15% BAL","Applewood Court",,"0",,,,"1","V2P 1T6",,"Owner never lived in home","BC",,,,
"R2326836","Residential Detached","S","1115 20TH AVENUE","VLA","1958","House/Single Family","61","PG City Central (Zone 72)","Prince George","5/4/2019","MADISON","1","$2,069.98","12/4/2018","005-629-276",,,"12/14/2018","$133,000","$95.68","0.89","1","2","RS4","$150,000","10","1,390","$95.68","0.89","House/Single Family","1",,"250-961-7151","2.5% UP TO $100,000 / 1% OF BALANCE  LESS 50% IF LISTING AGENT INTRODUCES/SHOWS PROPERTY FIRST BY WAY OF PERSONAL APPOINTMENT",,"0","0","0.00",,,"3","V2L 4A8",,,"BC",,,,
"R2328506","Residential Detached","S","1736 HEMLOCK STREET","Millar Addition","9999","House/Single Family","999","PG City Central (Zone 72)","Prince George","3/19/2019","Carmelita","1","$1,696.57","12/19/2018","011-830-034",,,"12/22/2018","$140,000","$133.72","0.97","1","2","RS4","$145,000","3","1,047","$133.72","0.97","House/Single Family","1",,"250-640-5955","3% ON THE 1ST $100,000 / 1% ON THE BALANCE",,,"0","0.00",,,,"V2L 1J2",,,"BC",,,,
"R2314935","Residential Detached","S","4817 HAUGLAND AVENUE","Terrace - City","1960","House/Single Family","58","Terrace (Zone 88)","Terrace","1/12/2019","HANS STACH","1","$2,167.22","10/12/2018","015-570-461",,,"12/19/2018","$150,000","$148.81","0.94","1","2","R2","$158,900","68","1,008","$148.81","0.94","House/Single Family","1",,"250-615-6200","3.5% ON THE FIRST $100,000 2% ON THE BALANCE + GST","SOUTHSIDE","104","0","81.00",,,"4","V8G 1H3",,,"BC",,,,
"R2326298","Residential Detached","S","53620 JARDINE ROAD","Cluculz Lake","1994","House with Acreage","25","PG Rural West (Zone 77)","Cluculz Lake","3/31/2019","TEXT","0","$877.86","12/1/2018","007-543-948",,,"12/13/2018","$151,000","$276.56","0.98","0","1","R4","$154,000","12","546","$276.56","0.98","House with Acreage","1",,"250-612-1709","3% UP TO $100,000 / 1% OF BALANCE  LESS 50% IF LISTING AGENT INTRODUCES/SHOWS PROPERTY FIRST BY WAY OF PERSONAL APPOINTMENT","CLUCULZ LAKE","0","0","0.00",,,,"V0J 3A3",,,"BC",,,,
"R2326424","Residential Attached","S","102A 45655 MCINTOSH DRIVE","Chilliwack W Young-Well","1992","Apartment/Condo","26","Chilliwack","Chilliwack","5/26/2019","Lisa de Vooght","1","$568.56","11/30/2018","017-909-309","2","$151.02","12/19/2018","$153,500","$229.10","0.93","1","1","R5","$165,000","19","670","$229.10","0.93","Apartment/Condo","1",,"604-312-3969","3% 1ST $100,000 / 1.25% BAL","McIntosh Place",,"0",,,,,"V2P 6V4",,,"BC",,,,
"R2327422","Residential Attached","S","202B 45655 MCINTOSH DRIVE","Chilliwack W Young-Well","1992","Apartment/Condo","27","Chilliwack","Chilliwack","8/8/2019","KELLEE ROMAINE","1","$590.93","12/8/2018","017-909-503",,"$151.00","12/18/2018","$154,000","$237.65","0.97","1","1","R5","$159,000","10","648","$237.65","0.97","Apartment/Condo","1",,"604-798-2230","3.22% 1ST $100,000 / 1.15% BAL ***COMMISSION PAYABLE UPON 1ST PHYSICAL INTRO TO PROPERTY, OTHERWISE $1000***",,,"0",,,,"1","V2P 6V4",,"SELLER NEVER LIVED THERE","BC",,,,
"R2322496","Land Only","S","5122 COHO PLACE","Terrace - City",,,,"Terrace (Zone 88)","Terrace","2/16/2019","JOHN",,"$1,156.97","11/13/2018","025-909-193",,,"12/13/2018","$155,000","$13.23","1.00",,,"R1","$155,000","30",,"$13.23","1.00","Other",,"Road Access","250-631-6769","3% OF THE FIRST $100,000/1.5% OF THE BALANCE + GST",,"146",,"0.00","No",,,"V8G 5L7",,,"BC","At Lot Line",,"Nearby","City/Municipal"
"R2327986","Residential Detached","S","4575 HANDLEN ROAD","North Kelly","1976","Manufactured with Land","43","PG City North (Zone 73)","Prince George","4/30/2019","Tim","1","$1,183.00","12/13/2018","011-690-674",,,"12/14/2018","$159,900","$163.16","1.00","1","2","RS1M","$159,900","1","980","$163.16","1.00","Manufactured with Land","1",,"250-617-3444","3500.00","North Kelly","0","0","0.00",,,"4","V2K 2J7",,,"BC",,,,
"R2326954","Residential Detached","S","1629 16 HIGHWAY","Telkwa","9999","House/Single Family","999","Smithers And Area (Zone 54)","Telkwa","6/7/2019","DJ","1","$1,612.51","12/6/2018","014-837-854",,,"12/12/2018","$172,000","$127.88","1.01","1","2","C-1","$169,500","6","1,345","$127.88","1.01","House/Single Family","1",,"250-877-3677","3% ON THE FIRST $100,000 AND 1.5% ON THE REMAINDER",,"100","0","60.00",,,,"V0J 2X0",,,"BC",,,,
"R2326831","Residential Detached","S","2802 OAK STREET","VLA","1971","House/Single Family","48","PG City Central (Zone 72)","Prince George","5/4/2019","MADISON","1","$2,100.24","12/4/2018","005-638-836",,,"12/13/2018","$177,888","$76.15","1.11","1","3","RS4","$160,000","9","2,336","$76.15","1.11","House/Single Family","1",,"250-961-7151","2.5% UP TO $100,000 / 1% OF BALANCE  LESS 50% IF LISTING AGENT INTRODUCES/SHOWS PROPERTY FIRST BY WAY OF PERSONAL APPOINTMENT",,"0","0","0.00",,,"3","V2L 2A9",,,"BC",,,,
"R2328098","Residential Detached","S","3880 E WILLIAMS ROAD","Red Rock/Stoner","1973","Manufactured with Land","46","PG Rural South (Zone 78)","Red Rock / Stoner","6/30/2019","SHANNON","1","$1,144.51","12/14/2018","028-023-901",,,"12/28/2018","$182,500","$253.47","0.87","1","3","RU2","$209,500","14","720","$253.47","0.87","Manufactured with Land","1",,"250-612-2346","3% OF THE FIRST $100,000/1% ON THE REMAINDER",,"0","1","0.00",,,,"V2N 5Z3",,,"BC",,,,
"R2308411","Residential Attached","S","206 32885 GEORGE FERGUSON WAY","Central Abbotsford","1983","Apartment/Condo","35","Abbotsford","Abbotsford","12/19/2018","Tim Laidler","1","$667.40","9/19/2018","001-869-922","3","$345.36","12/12/2018","$195,000","$205.05","0.98","1","2","RML","$200,000","84","951","$205.05","0.65","Apartment/Condo","1",,"778-846-2155","3.255% ON THE FIRST $100,000 AND 1.1625% ON THE BALANCE","Fairview Manor",,"0",,,,"1","V2S 7X1",,,"BC",,,,
"R2328101","Residential Attached","S","14 45915 CHEAM AVENUE","Chilliwack W Young-Well","1982","Townhouse","36","Chilliwack","Chilliwack","3/13/2019","Elaine Rozendal","1","$951.17","12/13/2018","001-897-250","2","$202.00","12/28/2018","$205,000","$186.36","0.93","1","2","R5","$219,900","15","1,100","$186.36","0.93","Townhouse","1",,"604-997-7767","3% 1ST $100,000 / 1.15% BAL","Magnolia Manor",,"1",,,,"1","V2P 1N7",,,"BC",,,,
"R2327625","Residential Detached","S","1303 JARVIS STREET","Lakewood","9999","House/Single Family","999","PG City West (Zone 71)","Prince George","3/22/2019","DAVID","2","$2,657.52","11/22/2018","010-106-049",,,"12/12/2018","$217,000","$120.96","1.09","2","4","RS2","$199,900","20","1,794","$120.96","1.09","House/Single Family","1",,"250-565-7848","3% UP TO $100,000 PLUS 1% OF BALANCE",,"0","1","0.00",,,,"V2M 4J3",,,"BC",,,,
"R2327502","Residential Detached","S","855 N FRASER DRIVE","Quesnel - Town","1971","House/Single Family","48","Quesnel (Zone 28)","Quesnel","3/31/2019","RAY","2","$2,049.91","12/10/2018","012-664-570",,,"12/14/2018","$218,500","$101.16","0.97","2","4","RS1","$225,000","4","2,160","$101.16","0.97","House/Single Family","2",,"250-991-2787","3% UP TO $100,000 PLUS 1.5% OF REMAINDER  LESS 25% IF FIRST INTRODUCTION TO PROPERTY IS THROUGH LISTING AGENT",,"0","0","0.00",,,"8","V2J 1Z8",,,"BC",,,,
"R2313062","Land Only","S","77 ELDERBERRY STREET","Kitimat",,,,"Kitimat (Zone 89)","Kitimat","1/4/2019","HAYLEY / ANNELISE",,"$812.46","10/4/2018","029-396-760",,,"12/18/2018","$220,000",,"0.88",,,"G5","$250,000","75",,,"0.88","Other",,"Road Access","250-639-0417","3% UP TO %100,000 / 1.5% OF REMAINDER","STRAWBERRY MEADOWS","0",,"0.00","No",,,"V8C 0A9","Not Known",,"BC","At Lot Line",,"At Lot Line","City/Municipal"
"R2327764","Residential Detached","S","4745 TELQUA DRIVE","108 Ranch","1974","House/Single Family","45","100 Mile House (Zone 10)","108 Mile Ranch","12/12/2019","SALLEE","1","$1,705.95","12/12/2018","008-093-512",,,"12/13/2018","$222,000","$186.71","0.99","1","3","R1-1","$225,000","1","1,189","$186.71","0.99","House/Single Family","1",,"250-305-7186","3.4% UP TO $100,000 PLUS 1.4% OF REMAINDER OF SALE PRICE",,"0","1","0.00",,,,"V0K 2Z0",,,"BC",,,,
"R2327913","Residential Attached","S","209 10468 148 STREET","Guildford","1984","Apartment/Condo","34","North Surrey","Surrey","6/13/2019","TOUCHBASE","1","$785.54","12/13/2018","001-505-599","3","$253.40","12/18/2018","$225,000","$337.84","1.00","1","1","MR-135","$225,000","5","666","$337.84","1.00","Apartment/Condo","1",,,"3.255% ON THE FIRST $100,000 & 1.1625% ON THE BALANCE","GUILDFORD GREENE",,"0",,,,"1","V3R 8T1",,,"BC",,,,
"R2298565","Residential Detached","S","13 46484 CHILLIWACK LAKE ROAD","Chilliwack River Valley","1989","Manufactured","29","Sardis","Chilliwack","4/28/2019","Bryan or Emma","2","$478.97","8/27/2018","746-484-291",,,"12/11/2018","$228,000","$183.28","0.92","2","2","MHP","$249,000","106","1,244","$183.28","0.92","Manufactured","1",,"604-858-7179","3% 1ST $100,000 / 1.25% BAL ***COMMISSION PAYABLE UPON FIRST INTRODUCTION TO PROPERTY, OTHERWISE $1,000***",,,"0","0.00",,"$509.70","3","V2R 3R7",,,"BC",,,,
"R2310743","Residential Attached","S","311 2425 CHURCH STREET","Abbotsford West","1987","Apartment/Condo","32","Abbotsford","Abbotsford","3/31/2019","Paul or Stan","2","$1,013.22","9/28/2018","008-239-860","3","$291.77","12/15/2018","$230,000","$207.58","0.92","2","2","RML","$249,900","78","1,108","$207.58","0.85","Apartment/Condo","1",,"604-308-1518","3.22% ON THE 1ST $100,000 / 1.15% ON THE BALANCE","Parkview Place",,"1",,,,"1","V2T 3J8",,,"BC",,,,
"R2329312","Residential Detached","S","1431 SODA CREEK ROAD","Williams Lake - Rural North","2007","Manufactured with Land","12","Williams Lake (Zone 27)","Williams Lake","7/31/2019","SUSAN","0","$1,317.92","12/31/2018","028-285-646",,,"1/2/2019","$235,000","$138.24","0.96","0","3","RR3","$244,900","2","1,700","$138.24","0.96","Manufactured with Land","1",,"250-267-1088","3% UP TO $100,000 PLUS 1% OF REMAINDER","OLD SODA CREEK SITE","0","0","0.00",,,"4","V2G 5A4",,,"BC",,,,
"R2318764","Residential Detached","S","63855 OLD YALE ROAD","Hope Silver Creek","1963","House/Single Family","56","Hope","Hope","2/23/2019","ROB","1","$1,978.19","10/23/2018","009-857-419",,,"12/18/2018","$235,000","$268.26","0.94","1","2","RS1","$249,900","56","876","$268.26","0.94","House/Single Family","1",,"604-869-2945","2.5% 1ST $100,000 / 1.25% BAL",,,"0","51.00",,,,"V0X 1L2",,"NOT OCCUPIED BY OWNERS","BC",,,,
"R2324233","Residential Attached","S","302 2960 TRETHEWEY STREET","Abbotsford West","1995","Apartment/Condo","23","Abbotsford","Abbotsford","5/1/2019","Lenning","1","$1,073.76","11/20/2018","018-907-270",,"$271.00","12/15/2018","$237,500","$294.67","0.97","1","1","MF","$244,800","25","806","$294.67","0.93","Apartment/Condo","1",,"604-542-2444","3.22% ON THE FIRST $100,000 AND 1.15% ON THE BALANCE","Cascade Green",,"1",,,,"1","V2T 6P5",,,"BC",,,,
"R2328171","Residential Attached","S","23 2438 WILSON AVENUE","Central Pt Coquitlam","1975","Apartment/Condo","44","Port Coquitlam","Port Coquitlam","2/19/2019","CHRISTINA","1","$494.49","12/17/2018","001-144-511","3","$278.28","12/17/2018","$245,000","$371.21","0.99","1","1","RM4","$248,000","0","660","$371.21","0.99","Apartment/Condo","1",,"604-250-1681","3.2% ON THE FIRST $100,000 & 1.1625% ON THE BALANCE","ORCHARD VALLEY",,"0",,,,"1","V3C 1Z6",,,"BC",,,,
"R2326040","Residential Attached","S","319 33535 KING ROAD","Poplar","1989","Apartment/Condo","29","Abbotsford","Abbotsford","5/30/2019","The Siebert Team","2","$953.27","11/30/2018","014-942-038","3","$356.38","12/15/2018","$247,000","$192.97","0.99","2","2","RML","$249,900","15","1,280","$192.97","0.99","Apartment/Condo","1",,"604-859-2341","3.5 % ON THE FIRST $100,000 /  1.5% ON THE BALANCE","Central Heights Manor",,"0",,,,"1","V2S 6Z5",,,"BC",,,,
"R2326088","Residential Attached","S","311 6420 BUSWELL STREET","Brighouse","1974","Apartment/Condo","45","Richmond","Richmond","5/31/2019","MARINA","1","$40,976.28","11/30/2018","024-387-690","3","$459.65","12/13/2018","$250,000","$254.07","0.96","2","2","RAM1","$260,000","13","984","$254.07","0.96","Apartment/Condo","1",,"604-787-0641","3.255% ON THE FIRST $100,000. AND 1.1625% ON THE BALANCE",,,"0",,,,"1","V6Y 2E9",,,"BC",,,,
"R2323430","Residential Attached","S","415 2515 PARK DRIVE","Abbotsford East","2007","Apartment/Condo","11","Abbotsford","Abbotsford","11/15/2019","Clark or Liz","1","$1,099.32","11/16/2018","027-078-329",,"$171.06","12/12/2018","$252,000","$417.91","0.97","1","1","RML","$259,000","26","603","$417.91","0.97","Apartment/Condo","1",,"604-897-1625","3.22% ON THE FIRST $100,000 AND 1.15% ON THE BALANCE PLUS $3,000 BONUS COMMISSION TO BUYER'S AGENT","Viva on Park",,"1",,,,"1","V2S 0B2",,,"BC",,,,
"R2325582","Residential Attached","S","106 46150 BOLE AVENUE","Chilliwack N Yale-Well","2009","Apartment/Condo","10","Chilliwack","Chilliwack","2/28/2019","DONNA MOORE","2","$931.80","11/20/2018","027-482-251","4","$272.00","12/14/2018","$252,000","$288.00","0.98","2","2","R6","$256,800","24","875","$288.00","0.94","Apartment/Condo","1",,"604-575-5262","3.22% 1ST $100,000 / 1.15% BAL","NEWMARK",,"0",,,,"1","V2P 0B7",,"NEVER LIVED IN PROPERTY","BC",,,,
"R2311395","Residential Attached","S","302 1948 COQUITLAM AVENUE","Glenwood PQ","1982","Apartment/Condo","37","Port Coquitlam","Port Coquitlam","12/31/2018","TOUCHBASE PLEASE","1","$543.32","10/1/2018","001-961-420",,"$251.21","1/2/2019","$256,000","$475.84","0.95","1","1","STRATA","$269,888","93","538","$475.84","0.95","Apartment/Condo","1",,"604-603-4821","3.22% ON 1ST $100,000/1.15% ON BAL",,,"0",,,,,"V3B 1J3",,,"BC",,,,
"R2321393","Residential Attached","S","412 46150 BOLE AVENUE","Chilliwack N Yale-Well","2008","Apartment/Condo","11","Chilliwack","Chilliwack","5/31/2019","Diven Kisun or Touchbase","2","$1,006.18","11/7/2018","027-482-821",,"$286.60","12/17/2018","$265,000","$302.86","0.95","2","2","R6","$279,500","40","875","$302.86","0.95","Apartment/Condo","1",,"604-308-3882","3% 1ST $100,000 / 1.15% BAL","THE NEWMARK","0","0","0.00",,,"2","V2P 0B7",,"Investment","BC",,,,
"R2319021","Residential Attached","S","135 2279 MCCALLUM ROAD","Central Abbotsford","1982","Apartment/Condo","36","Abbotsford","Abbotsford","8/31/2019","Brae","1","$871.51","10/26/2018","002-031-906",,"$274.76","12/14/2018","$265,000","$276.91","0.99","1","2","RML","$268,000","49","957","$276.91","0.99","Apartment/Condo","1",,"604-751-2919","S-7% 1ST 100K/1.15% BAL IF FIRM OFFER BY NOVEMBER 30, 2018 OTHERWISE 3.22% 1ST 100K/1.15% BAL",,,"0",,,,"1","V2S 3N7",,,"BC",,,,
"R2305131","Residential Detached","S","1324 7TH AVENUE","Valemount - Town","9999","House/Single Family","999","Robson Valley (Zone 81)","Valemount","12/30/2018","TAMMY VANDENOBELEN","1","$1,958.60","9/10/2018","012-344-435",,,"12/14/2018","$265,000","$252.62","0.98","1","2","R1","$269,500","95","1,049","$252.62","0.92","House/Single Family","1",,"250-566-1025","2% 1ST 100,000.00 1% ON THE BALANCE",,"0","0","0.00",,,,"V0E 2Z0",,,"BC",,,,
"R2322303","Residential Attached","S","311 22514 116 AVENUE","East Central","1989","Apartment/Condo","29","Maple Ridge","Maple Ridge","5/12/2019","GORDON","1","$1,575.84","11/12/2018","014-028-034","4","$307.88","12/20/2018","$265,000","$284.95","0.95","1","1","RM-3","$279,900","38","930","$284.95","0.87","Apartment/Condo","1",,"604-250-0594","3.255%/$100,000 + 1.1625% / BALANCE","FRASER COURT",,"1",,,,"1","V2X 0N8",,,"BC",,,,
"R2320663","Residential Attached","S","255 8131 RYAN ROAD","South Arm","1974","Apartment/Condo","44","Richmond","Richmond","5/30/2019","Luis","1","$0.00","11/5/2018","800-125-803",,,"12/18/2018","$268,000","$248.61","0.93","2","3","APT","$288,800","43","1,078","$248.61","0.93","Apartment/Condo","1",,"604-505-8895","3.255% ON 1ST $100,000 AMD 1.1625% ON BALANCE","MAYFAIR COURT",,"0",,,,"1","V7A 2E4",,,"BC",,,,
"R2324466","Residential Detached","S","15865 SUFFOLK ROAD","King George Corridor","1975","Manufactured with Land","44","South Surrey White Rock","Surrey","3/25/2019","Touchbase Dan","1","$1,408.33","11/19/2018","005-789-567",,,"12/19/2018","$270,000","$351.56","0.90","1","2","CD","$299,000","30","768","$351.56","0.85","Manufactured with Land","1",,"604-541-4888","S-3.22% 1ST 100K/1.15% BAL","Cranley Place","101","0","38.00",,"$0.00","3","V4A 5L3",,,"BC",,,,
"R2325201","Residential Attached","S","307 2964 TRETHEWEY STREET","Abbotsford West","1993","Apartment/Condo","26","Abbotsford","Abbotsford","2/28/2019","CHARANJIT JANDU","2","$1,163.59","11/23/2018","018-249-124",,"$303.75","12/27/2018","$270,000","$293.16","0.95","2","2","RML","$285,000","34","921","$293.16","0.95","Apartment/Condo","1",,"604-864-9063","3.22% ON THE FIRST 100,000K 1.15% ON  BALANCE",,"0","1","0.00",,,"1","V2T 6P4",,,"BC",,,,
"R2320613","Residential Attached","S","306 335 CEDAR STREET","Sapperton","1981","Apartment/Condo","37","New Westminster","New Westminster","2/28/2019","ROMEO","1","$974.61","11/3/2018","002-132-869","3","$269.67","12/11/2018","$273,000","$420.00","0.94","1","1","RM2","$290,000","38","650","$420.00","0.94","Apartment/Condo","1",,"604-250-3547","3% ON FIRST $100,000/1% ON BALANCE PAYABLE UPON COMPLETION","ASHTON GREEN",,"0",,,,"1","V3L 3N9",,,"BC",,,,
"R2327754","Residential Attached","S","6 9437 HAZEL STREET","Chilliwack E Young-Yale","1990","Townhouse","28","Chilliwack","Chilliwack","6/10/2019","Brendan Whitney","2","$1,057.75","12/10/2018","016-225-848",,"$291.97","12/14/2018","$274,000","$223.86","0.98","3","2","R5","$279,900","4","1,224","$223.86","0.98","Townhouse","1",,"604-997-3325","3% 1ST $100,000 / 1.25% BAL",,,"1",,,,,"V2P 5M9",,,"BC",,,,
