"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"R2215682","Land Only","S","BLOCK A E CUISSON LAKE ROAD","McLeese Lake",,,,"Williams Lake (Zone 27)","Williams Lake","9/30/2019","MICHAEL",,"$447.99","10/15/2017","017-972-353",,,"11/23/2018","$41,000",,"0.82",,,"R1","$50,000","404",,,"0.82","Other",,"Road Access","778-267-4663","3% (THREE PERCENT)",,"79",,"196.85","No",,,"V0L 1P0",,,"BC","None",,"None","None"
"R2323608","Residential Detached","S","15 34519 LOUGHEED HIGHWAY","Hatzic","1971","Manufactured","47","Mission","Mission","11/18/2019","JAN HICKMAN","1","$341.71","11/17/2018","800-126-033",,"$520.00","11/21/2018","$49,900","$66.53","1.00","1","1","MHP","$49,900","4","750","$66.53","1.00","Manufactured","1",,"604-466-2838","5% ON THE SELLING PRICE",,,"0",,,"$520.00","1","V2V 6N7",,"ESTATE SALE","BC",,,,
"R2275956","Land Only","S","LOT A GROSSETT ROAD","Bridge Lake/Sheridan Lake",,,,"100 Mile House (Zone 10)","Bridge Lake","12/31/2018","BRAD",,"$334.72","5/28/2018","004-051-025",,,"11/18/2018","$58,000",,"0.97",,,"RR2","$60,000","174",,,"0.97","Other",,"Road Access","250-644-4242","3.4% OF SELLING PRICE IF BUYER'S AGENT PHYSICALLY PRESENT FOR INITIAL AND ALL SUBSEQUENT VIEWINGS BY BUYER, OTHERWISE 1% OF SALE PRICE.",,"0",,"0.00","Yes",,,"V0K 1X2",,,"BC","None",,"None","None"
"R2304103","Residential Detached","S","741 DOUGLAS AVENUE","Fort St. James - Town","1977","House/Single Family","41","Fort St. James (Zone 57)","Fort St. James","3/7/2019","MORGAN","1","$1,267.07","9/7/2018","012-267-007",,,"11/21/2018","$60,000","$31.25","1.20","2","2","R1","$50,000","75","1,920","$31.25","1.20","House/Single Family","1",,"250-996-1272","$1200 FLAT FEE **(SEE REALTOR REMARKS)",,"120","0","50.00",,,,"V0J 1P0",,,"BC",,,,
"R2315348","Residential Detached","S","20 6100 O'GRADY ROAD","Upper College","1991","Manufactured","27","PG City South (Zone 74)","Prince George","1/15/2019","Rebecca","1","$647.01","10/15/2018","800-125-342",,,"11/27/2018","$66,000","$65.61","0.88","1","2","MHP","$74,900","43","1,006","$65.61","0.83","Manufactured","1",,"250-981-4508","$2,250.00","College Heights Trailer Park","0","0","0.00",,"$426.40","2","V2N 4R1",,,"BC",,,,
"R2147735","Land Only","S","8708 74 STREET","Fort St. John - City SE",,,,"Fort St. John (Zone 60)","Fort St. John","12/16/2018","BONNIE",,"$908.55","3/16/2017","012-481-581",,,"11/16/2018","$70,000","$9.49","0.65",,,"R4","$107,900","605",,"$9.49","0.65","Other",,"Road Access","250-785-5520","1.5% OF THE FIRST $100,000 AND 1.25% OF THE REMAINDER",,"150",,"49.15","No",,,"V1J 2Y5","Not Known",,"BC","Available",,"Nearby","City/Municipal"
"R2148368","Land Only","S","8704 74 STREET","Fort St. John - City SE",,,,"Fort St. John (Zone 60)","Fort St. John","12/16/2018","BONNIE",,"$908.55","3/16/2017","012-481-599",,,"11/16/2018","$70,000","$9.49","0.65",,,"R4","$107,900","605",,"$9.49","0.65","Other",,"Road Access","250-785-5520","3% OF THE FIRST $100,000 AND 1.25% OF THE REMAINDER",,"150",,"49.15","No",,,"V1J 2Y5",,"LAND UNDER ONE ACRE","BC","Available",,"Nearby","City/Municipal"
"R2285686","Land Only","S","14963 PARKWOOD STREET","Hope Sunshine Valley",,,,"Hope","Sunshine Valley","11/26/2018","WALTER RAWLINSON",,"$391.95","7/3/2018","002-109-581",,,"11/14/2018","$76,000",,"0.95",,,"RS1","$79,900","134",,,"0.95","Other",,"Allowed Access","604-750-0185","3.5% ***COMMISSION PAYABLE UPON 1ST PHYSICAL INTRO TO PROPERTY, OTHERWISE $1000***","PARKHILL VILLAGE","137",,"30.00","Yes",,,"V0X 1L5","No",,"BC","At Lot Line",,"None","Other-Licensed"
"R2310854","Residential Detached","S","2536 BLACKWATER ROAD","Bouchie Lake","1971","Manufactured with Land","47","Quesnel (Zone 28)","Quesnel","12/26/2018","RAY BLACKMORE","1","$862.91","9/26/2018","006-876-455",,,"11/19/2018","$77,500","$53.82","0.97","1","3","R2","$80,000","54","1,440","$53.82","0.87","Manufactured with Land","1",,"250-992-8818","2.9% ON 1ST $100,000 AND 1.25% ON REMAINDER.  25% REFERRAL TO LISTING BROKER IF FIRST INTRODUCTION TO THE PROPERTY IS BY HIM.",,"0","0","0.00",,,"6","V2J 7H7",,,"BC",,,,
"R2246723","Land Only","S","LOT 3 SHELLEY ROAD","Shelley",,,,"PG Rural East (Zone 80)","Shelley","12/31/2018","LORIE",,"$280.02","3/8/2018","008-475-369",,,"11/18/2018","$78,000",,"0.79",,,"RU 1","$99,000","255",,,"0.60","Other",,"Road Access","250-565-7724","3% OF THE FIRST $100,000 AND 1% OF THE BALANCE","SHELLEY","0",,"0.00","Yes",,,"V2N 6V4","Not Known",,"BC","None",,"None","None"
"R2322987","Residential Attached","S","212 625 REID STREET","Quesnel - Town","1981","Apartment/Condo","37","Quesnel (Zone 28)","Quesnel","5/30/2019","LIQI","0","$805.79","11/14/2018","004-472-349","3","$179.00","11/18/2018","$79,500","$106.28","0.94","0","2","RM3","$84,500","4","748","$106.28","0.94","Apartment/Condo","1",,"604-232-0843","3%",,,"0",,,,"1","V2J 2N2",,,"BC",,,,
"R2264028","Residential Detached","S","194 9207 82 STREET","Fort St. John - City SE","1994","Manufactured","24","Fort St. John (Zone 60)","Fort St. John","5/3/2019","SHOWINGTIME","2","$804.68","5/3/2018","800-121-600",,,"11/17/2018","$80,000","$86.58","0.89","2","3","R3","$89,900","197","924","$86.58","0.89","Manufactured","1",,"778-256-2888","3% OF THE FIRST $100,000 AND 1.5% OF THE REMAINING BALANCE","SOUTHRIDGE MOBILE HOME PARK",,"0",,,"$399.03",,"V1J 5G5",,,"BC",,,,
"R2285694","Land Only","S","8191 SABYAM ROAD","North Kelly",,,,"PG City North (Zone 73)","Prince George","6/30/2019","NORMAN FERRIS",,"$888.09","6/30/2018","005-202-850",,,"11/14/2018","$80,000",,"0.62",,,"AR2M","$129,900","137",,,"0.53","Other",,"Road Access","250-565-7998","2.5%",,"0",,"0.00","Yes",,,"V2K 2K4",,,"BC","Available",,"None","City/Municipal"
"R2320551","Residential Detached","S","1015 DAIRY ROAD","Williams Lake - City","1973","Manufactured with Land","45","Williams Lake (Zone 27)","Williams Lake","5/5/2019","TANYA RANKIN","1","$843.56","11/5/2018","005-724-147",,,"11/19/2018","$80,000","$123.08","0.85","1","2","R1","$94,000","14","650","$123.08","0.85","Manufactured with Land","1",,"250-392-0371","3% ON THE SALE OF THE FIRST $100,000 AND 1.2% ON THE BALANCE PLUS GST(SEE REALTORS COMMENTS.",,"0","1","0.00",,,,"V2G 4L3",,,"BC",,,,
"R2322239","Residential Detached","S","59 9080 198 STREET","Walnut Grove","1972","Manufactured","46","Langley","Langley","4/1/2019","Jay","0","$179.96","11/13/2018","905-003-871",,,"11/23/2018","$84,275","$80.42","0.84","0","2","MHP","$99,800","10","1,048","$80.42","0.84","Manufactured","1",,"604-572-3005","4%","FOREST GREEN ESTATES",,"1",,,"$750.00",,"V1M 3A8",,,"BC",,,,
"R2324139","Residential Detached","S","14 9267 SHOOK ROAD","Mission BC","1995","Manufactured","24","Mission","Mission","3/31/2019","JOHN MACNAUGHTON","1","$202.00","11/19/2018","800-126-088",,,"11/24/2018","$85,000","$65.59","0.95","1","3","MHP","$89,900","5","1,296","$65.59","0.95","Manufactured","1",,"604-318-1167","3.25% 1ST $100,000 & 1.15% ON BALANCE","GREEN ACRES MOBILE PARK",,"0",,,"$660.64","2","V2V 1M3",,,"BC",,,,
"R2321526","Residential Detached","S","73 40157 GOVERNMENT ROAD","Garibaldi Estates","1964","Manufactured","54","Squamish","Squamish","7/1/2019","Brian Loverin","1","$328.99","11/7/2018","800-125-826",,,"11/24/2018","$86,500","$78.64","0.98","1","2","MHP","$88,500","17","1,100","$78.64","0.98","Manufactured","1",,"778-866-2117","2500.00","Spiral",,"2",,,"$720.00","2","V8B 0K8",,,"BC",,,,
"R2288403","Residential Detached","S","5146 WATSON LAKE ROAD","108 Ranch","1984","Manufactured with Land","34","100 Mile House (Zone 10)","108 Mile Ranch","11/30/2018","ADAM / SEAN / MEL","1","$820.84","7/10/2018","007-647-859",,,"11/20/2018","$90,000","$84.27","0.90","1","3","R1","$99,900","133","1,068","$84.27","0.76","Manufactured with Land","1",,"250-395-3424","3% OF $100,000 / 1% OF BALANCE IF BUYER'S AGENT PHYSICALLY PRESENT FOR INITIAL AND ALL SUBSEQUENT VIEWINGS OF PROPERTY BY BUYER, OTHERWISE $1000.00",,"200","0","100.00",,,,"V0K 2E1",,,"BC",,,,
"R2289186","Land Only","S","LOT D HORSE LAKE ROAD","Horse Lake",,,,"100 Mile House (Zone 10)","Horse Lake","7/31/2019","BRAD POTTER",,"$457.99","7/9/2018","026-855-259",,,"11/23/2018","$93,000",,"0.95",,,"RR1","$98,000","137",,,"0.95","Other",,"Road Access","250-644-4242","3.4% PROVIDING THE SELLING REALTOR IS PRESENT FOR THE INITIAL SHOWING AND ALL SUBSEQUENT SHOWINGS OR COMMISSION IS 1%","CARIBOO COUNTRY LAND","0",,"0.00","Yes",,,"V0K 2E0",,,"BC","None",,"None","Well - Drilled"
"R2311005","Residential Detached","S","283 COLGROVE ROAD","Hixon","1975","House/Single Family","43","PG Rural South (Zone 78)","Hixon","12/31/2018","AARON SWITZER","1","$982.31","9/28/2018","011-954-515",,,"11/26/2018","$93,500","$47.32","0.85","1","3","HIXON","$109,900","59","1,976","$47.32","0.78","House/Single Family","1",,"250-640-7355","3% ON THE 1ST $100,000/1% ON THE REMAINDER PLUS GST","HIXON","0","0","0.00",,,,"V0K 1S0",,,"BC",,,,
"R2294827","Residential Detached","S","4570 CANIM-HENDRIX LAKE ROAD","Forest Grove","9999","House with Acreage","999","100 Mile House (Zone 10)","Forest Grove","12/31/2018","FRANK","1","$785.65","8/3/2018","001-537-431",,,"11/27/2018","$100,000","$189.39","0.92","1","1","R1","$109,000","116","528","$189.39","0.84","House with Acreage","1",,"250-395-0272","3.4% UP TO $100,000 AND 1.5 FOR REMAINING BALANCE","FOREST GROVE",,"0",,,,,"V0K 1M0",,,"BC",,,,
"R2321483","Residential Detached","S","10 65367 KAWKAWA  LAKE ROAD","Hope Kawkawa Lake","1997","Manufactured","21","Hope","Hope","4/30/2019","ANDY","2","$351.71","11/7/2018","700-034-301",,,"11/15/2018","$100,000","$94.34","0.91","2","2","MHP","$109,500","8","1,060","$94.34","0.91","Manufactured","1",,"604-869-2945","3% 1ST $100,000 / 1.15% BAL","CRYSTAL RIVER COURT","0","0","0.00",,"$650.00","2","V0X 1L1",,,"BC",,,,
"R2257400","Land Only","S","Lot 6 FAWN CREEK ROAD","Horse Lake",,,,"100 Mile House (Zone 10)","Horse Lake","11/30/2018","David Jurek",,"$475.08","4/16/2018","004-625-528",,,"11/18/2018","$109,000","$0.25","0.99",,,"RR1","$109,900","216",,"$0.25","0.99","Other",,"Road Access","250-706-5500","3.4% OF THE FIRST $100,000 AND 1.4% OF THE BALANCE",,"1257",,"346.00","Yes",,,"V0K 2E3",,,"BC","None",,"None","None"
"R2307677","Residential Detached","S","6 13650 80 AVENUE","East Newton","1977","Manufactured","41","Surrey","Surrey","12/31/2018","Jay","2","$201.38","9/18/2018","905-003-134",,,"11/21/2018","$115,000","$99.83","0.77","2","2","MHP","$149,800","64","1,152","$99.83","0.61","Manufactured","1",,"604-346-0001","S-$3,000 INCLUSIVE OF GST","Leeside Park",,"0",,,"$633.00",,"V3W 6J8",,"Owner never lived in","BC",,,,
"R2285693","Residential Detached","S","2238 BRADLEY CREEK ROAD","Forest Grove","1972","House with Acreage","46","100 Mile House (Zone 10)","Forest Grove","12/31/2018","FRANK","2","$974.36","7/1/2018","003-007-065",,,"11/18/2018","$115,000","$71.88","0.89","2","4","RR 3","$129,000","140","1,600","$71.88","0.83","House with Acreage","1",,"250-395-0272","3.4% UP TO $100,00 AND 1.5% THEREAFTER",,"0","0","0.00",,,,"V0K 1M0",,,"BC",,,,
"R2322155","Residential Detached","S","300 201 CAYER STREET","Maillardville","1972","Manufactured","46","Coquitlam","Coquitlam","2/28/2019","Mr.Bill","2","$212.18","11/9/2018","800-125-907",,,"11/26/2018","$115,000","$90.20","0.89","2","3","MOBILE","$129,800","17","1,275","$90.20","0.89","Manufactured","1",,"604-250-4663","3.225% ON THE 1ST $100,000 AND 1.1625% OF THE BALANCE","Wildwood Park",,"0",,,"$1,050.00","3","V3K 5A9",,"Seller never lived in the home","BC",,,,
"R2302472","Residential Detached","S","35 6900 INKMAN ROAD","Agassiz","1996","Manufactured","22","Agassiz","Agassiz","12/4/2018","Emily Vernon","2","$402.02","9/4/2018","700-005-542",,,"11/17/2018","$118,000","$128.26","0.96","2","2","MHP","$122,500","74","920","$128.26","0.69","Manufactured","1",,"604-309-9988","$2500","Continental Park",,"0",,,"$460.00","2","V0M 1A1",,,"BC",,,,
"R2300952","Residential Detached","S","2 7241 HURD STREET","Mission BC","1971","Manufactured","47","Mission","Mission","3/22/2019","Lilly Miller","1","$81.17","8/22/2018","905-002-847",,,"11/19/2018","$122,500","$153.13","0.88","1","3","MHP","$139,900","89","800","$153.13","0.70","Manufactured","1",,"604-557-8559","S-3.22% 1ST 100K/1.15% BAL","Highland",,"0",,,"$555.00","2","V4S 1B3",,,"BC",,,,
"R2312125","Residential Detached","S","5280 CARIBOO LAKE ROAD","Likely","1970","Recreational","48","Williams Lake (Zone 27)","Likely","1/1/2019","LYNDA","0","$660.94","10/1/2018","008-233-756",,,"11/22/2018","$125,000","$488.28","0.96","0","0","RR2","$130,000","52","256","$488.28","0.96","Recreational","0",,"250-392-5959","3% ON THE 1ST 100,000 =$ 3000.00 + GST ($150.00) &  1% ON THE BALANCE = $300.00 + GST ($15.00) = 3,150 + $315.00 = $3465",,"0","0","0.00",,,,"V0L 1N0",,,"BC",,,,
"R2299886","Land Only","S","Lot 8 LILLOOET LAKE FOREST SERVICE ROAD","Lillooet Lake",,,,"Pemberton","Pemberton","12/22/2018","Lisa Hilton",,"$147.50","8/22/2018","000-000-008",,,"11/27/2018","$125,000",,"1.00",,,"RR1","$125,000","97",,,"1.00","Other",,"Road Access","604-902-4589","3% ON THE 1ST 100K; 1.5% ON THE BALANCE. PHYSICAL INTRO MUST BE BY BUYER’S AGENT OR COMMISSION WON'T BE PAID & $500 WILL BE RECEIVED BY BUYER'S AGENT.","Heather Jean Properties","134.60",,"120.75","Yes",,,"V0N 2K0",,"Vacant land never lived on","BC","None",,"None","Community"
"R2313468","Residential Detached","S","2625 WIGGINS WAY","Hazelton","1983","House/Single Family","35","Smithers And Area (Zone 54)","Hazelton","4/9/2019","ELDON","1","$1,793.45","10/9/2018","006-975-755",,,"11/26/2018","$126,000","$60.58","1.01","1","5","R","$125,000","48","2,080","$60.58","1.01","House/Single Family","1",,"250-842-8225","3% UP TO $100,000 / 1.5% OF BALANCE",,"120","0","60.00",,,"2","V0J 1Y0",,,"BC",,,,
"R2321649","Residential Detached","S","78 3300 HORN STREET","Central Abbotsford","1977","Manufactured","42","Abbotsford","Abbotsford","2/28/2019","Stan","1","$94.38","11/7/2018","905-001-490",,,"11/21/2018","$128,000","$111.40","0.96","1","3","MHP","$133,900","14","1,149","$111.40","0.96","Manufactured","1",,"604-855-2122","3.22% ON THE FIRST $100,000.00 PLUS 1.15% ON THE BALANCE","GEORGIAN PARK",,"0",,,"$669.00","2","V2S 7Y4",,,"BC",,,,
"R2288138","Residential Detached","S","72 20071 24 AVENUE","Brookswood Langley","1976","Manufactured","42","Langley","Langley","1/9/2019","Michael's assistant","2","$708.79","7/9/2018","905-000-950",,,"11/24/2018","$130,000","$104.17","0.87","2","2","MHP","$149,999","138","1,248","$104.17","0.66","Manufactured","1",,"604-541-4888","3.25% ON 1ST $100K & 1.25% ON BALANCE BASED ON 1ST PHYSICAL INTRODUCTION. OTHERWISE $500","FERNRIDGE MOBILE HOME PARK",,"0",,,"$590.00","2","V2Z 2A1",,"Upon Accepted offer","BC",,,,
"R2323154","Residential Attached","S","527C 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","17","Whistler","Whistler","3/15/2019","SALLY","1","$3,180.69","11/15/2018","800-125-985",,"$0.00","11/16/2018","$130,000","$210.36","1.00","1","1","CC2","$129,900","1","618","$210.36","1.00","Apartment/Condo","1",,"604-932-7741","3% ON THE FIRST $100,000 AND 1.5% ON THE BALANCE","LEGENDS",,"0",,,,"1","V0N 1B2",,,"BC",,,,
"R2288629","Residential Detached","S","2510 NORTH BONAPARTE ROAD","70 Mile House","2012","Manufactured with Land","6","100 Mile House (Zone 10)","70 Mile House","3/31/2019","MICHELLE","2","$941.54","7/11/2018","008-519-404",,,"11/16/2018","$135,000","$146.10","0.96","2","2","CR-1","$140,000","128","924","$146.10","0.57","Manufactured with Land","1",,"250-644-1100","3.4% ON THE FIRST $100,000 & 1.4% ON THE BALANCE","70 MILE HOUSE","200","1","300.00",,"$0.00","4","V0K 2K0",,,"BC",,,,
"R2312019","Residential Attached","S","404C 2020 LONDON LANE","Whistler Creek","2008","Apartment/Condo","10","Whistler","Whistler","3/15/2019","Dean Linnell","1","$2,003.13","9/27/2018","027-506-321",,"$415.50","11/14/2018","$139,000","$234.80","0.93","1","1","CC2","$150,000","48","592","$234.80","0.93","Apartment/Condo","1",,"604-935-9313","3% PHYSICAL INTRO MUST BE BY BUYER’S AGENT OR COMMISSION WON'T BE PAID & $500 WILL BE RECEIVED BY BUYER'S AGENT.",,,"1",,,,"1","V0N 1B2",,,"BC",,,,
"R2322082","Residential Detached","S","5478 WINKLEY CREEK ROAD","Likely","1988","Recreational","30","Williams Lake (Zone 27)","Likely","8/7/2019","LYNZY MCCOWAN","1","$969.28","11/8/2018","017-210-241",,,"11/26/2018","$140,000","$149.57","1.02","1","1","RL","$137,500","18","936","$149.57","1.02","Recreational","1",,"250-870-3021","3.5% ON THE FIRST $100,000/1.5% THEREAFTER",,"0","1","0.00",,,,"V0L 1N0",,,"BC",,,,
"R2302553","Residential Detached","S","59 1840 160 STREET","King George Corridor","1975","Manufactured","43","South Surrey White Rock","Surrey","2/28/2019","Taryn Myddleton","1","$96.08","9/4/2018","905-002-910",,,"11/18/2018","$140,000","$131.09","0.97","1","3","RM - M","$144,900","69","1,068","$131.09","0.97","Manufactured","1",,"604-535-7653","3.22% ON 1ST $100,000/1.15% ON BALANCE","Breakaway Bays",,"0",,,"$1,067.90","2","V4A 4X4",,,"BC",,,,
"R2312533","Residential Detached","S","2532 N DOUGLAS ROAD","Bella Coola/Hagensborg","1979","Recreational","39","Williams Lake (Zone 27)","Bella Coola","9/30/2019","VERA ROBSON","1","$1,162.90","10/1/2018","000-070-505",,,"11/15/2018","$140,000","$138.89","0.97","1","3","R1","$145,000","45","1,008","$138.89","0.97","Recreational","1",,"250-982-2553","2.5% ON THE FIRST 100,000 AND 1.6% ON THE REMAINDER",,"0","0","0.00",,,,"V0T 1H0",,,"BC",,,,
"R2280802","Residential Detached","S","3585 SELLARS ROAD","Canim/Mahood Lake","1995","House/Single Family","23","100 Mile House (Zone 10)","Canim Lake","4/30/2019","DAVE","2","$1,202.10","6/14/2018","001-769-715",,,"11/14/2018","$142,500","$49.72","0.95","3","2","R 1","$149,900","153","2,866","$49.72","0.72","House/Single Family","1",,"250-706-7955","3.4% OF THE FIRST $100,000 AND 1.4% OF THE BALANCE **SEE REALTOR REMARKS",,"230","1","100.00",,,"4","V0K 1J0",,,"BC",,,,
"R2317091","Residential Attached","S","308 45598 MCINTOSH DRIVE","Chilliwack W Young-Well","1981","Apartment/Condo","37","Chilliwack","Chilliwack","1/24/2019","Serena Laye","1","$578.01","10/23/2018","001-867-709",,"$245.05","11/23/2018","$147,500","$219.49","0.92","1","1","R5","$159,900","31","672","$219.49","0.92","Apartment/Condo","1",,"604-703-5888","3% 1ST $100,000 / 1.25% BAL","Mcintosh Manor",,"0",,,,"1","V2P 7J3",,,"BC",,,,
"R2320559","Residential Detached","S","1014 W 2ND AVENUE","Prince Rupert - City","1953","House/Single Family","65","Prince Rupert (Zone 52)","Prince Rupert","3/31/2019","THAI PHAM","1","$1,464.76","11/2/2018","006-501-222",,,"11/27/2018","$149,000","$132.68","0.97","1","2","RM2","$154,000","25","1,123","$132.68","0.97","House/Single Family","1",,"250-600-7579","3% ON THE FIRST $100,000/1.5% ON THE BALANCE",,"100","0","37.50",,,,"V8J 1J1",,,"BC",,,,
"R2293586","Residential Detached","S","4235 15TH AVENUE","Hazelton","1973","House/Single Family","45","Smithers And Area (Zone 54)","New Hazelton","2/27/2019","Jennifer Sharp","1","$2,057.41","7/30/2018","013-963-112",,,"11/26/2018","$154,000","$127.69","0.99","2","3","R1","$155,000","107","1,206","$127.69","0.99","House/Single Family","1",,"778-210-0227","3.5% ON THE FIRST $100,000, 1.75% ON THE REMAINDER",,"120","1","99.00",,,"3","V0J 2J0",,,"BC",,,,
"R2324112","Residential Detached","S","1084 CUDDIE CRESCENT","VLA","1960","House/Single Family","58","PG City Central (Zone 72)","Prince George","5/19/2019","ROBIN","1","$1,272.70","11/19/2018","013-437-682",,,"11/26/2018","$154,500","$180.70","0.98","1","1","RS4","$157,900","7","855","$180.70","0.98","House/Single Family","1",,"250-640-1217","3% ON THE 1ST $100,000/1% ON THE REMAINDER **(SEE REALTOR REMARKS)","VLA","0","1","0.00",,,"5","V2L 4C2",,,"BC",,,,
