"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N228533","Residential Detached","S","72 684 NORTH FRASER DRIVE","Quesnel - Town","1979","Manufactured","34","Quesnel (Zone 28)","Quesnel","10/31/2013","LR","1","$407.00","6/17/2013","800-077-541",,,"9/18/2013","$36,000","$49.45","0.95","1","2","MHP","$37,900","93","728","$49.45","0.90","Manufactured","1",,"250-992-7202","3%","BEL AIRE MOBILE HOME PARK",,"0","0.00",,"$260.00",,"V2J 1Z6",,,"BC",,,,
"N228113","Residential Detached","S","69 95 LAIDLAW ROAD","Smithers - Rural","1981","Manufactured","32","Smithers And Area (Zone 54)","Smithers","10/31/2013","FEFF","1","$215.00","5/31/2013","800-077-204",,,"9/16/2013","$40,000","$48.78","0.93","1","2","MHP","$42,999","108","820","$48.78","0.89","Manufactured","1",,"250-877-0830","3.5%",,"0","0","0.00",,"$285.00",,"V0J 2N0",,,"BC",,,,
"N228062","Land Only","S","LOT A PINE STREET","Telkwa",,,,"Smithers And Area (Zone 54)","Telkwa","6/1/2014","JEREMY",,"$500.00","6/1/2013","800-077-179",,,"9/21/2013","$40,000","$3.47","0.89",,,"R-4","$45,000","112",,"$3.47","0.81","House/Single Family",,"Road Access","250-847-0830","3.5%",,"187",,"61.55","Yes",,,"V0J 2X2","No",,"BC","At Lot Line",,"None","City/Municipal"
"N228594","Land Only","S","5314 ERICKSON STREET","Hart Highway",,,,"PG City North (Zone 73)","Prince George","11/30/2013","LORIE HUNTER",,"$726.00","5/22/2013","003-966-739",,,"9/17/2013","$44,500",,"0.95",,,"RS1M","$46,900","118",,,"0.95","Other",,"Road Access","250-565-7724","3%",,,,"0.00","No",,,"V2K 1T9","Not Known",,"BC","Available",,"Nearby","City/Municipal"
"N226697","Residential Detached","S","6662 MILLAR ROAD","Horsefly","1978","Recreational","35","Williams Lake (Zone 27)","Williams Lake","10/30/2013","MICHELLE","0","$343.00","4/23/2013","003-947-408",,,"9/19/2013","$48,000","$125.00","0.91","1","2","RR3","$52,800","149","384","$125.00","0.91","Recreational","1",,"604-901-6916","3.5%",,"lot sz irregular","1","231.00",,,,"V0L 1L0",,,"BC",,,,
"V978802","Residential Attached","S","404A 2020 LONDON LANE","Whistler Creek","2008","Apartment/Condo","4","Whistler","Whistler","10/30/2013","RAY LONGMUIR","1","$2,934.00","10/24/2012","800-071-915",,"$341.00","9/19/2013","$50,000","$84.46","0.91","1","1","CC2","$54,900","330","592","$84.46","0.63","Apartment/Condo","1",,"604-905-8464","3%",,,"1",,,,,"V0N 1B2",,,"BC",,,,
"N229251","Land Only","S","LOT 4 LAKELSE RIVER","Lakelse Lake",,,,"Terrace (Zone 88)","Lakelse Lake","12/11/2013","DAVE MATERI",,"$153.00","7/11/2013","012-455-920",,,"9/14/2013","$55,000",,"0.79",,,"RU1","$69,900","65",,,"0.79","Recreational",,"Water Access","250-615-7225","3% OF FINAL SALE PRICE","LAKELSE LAKE","400",,"54.00","Yes",,,"V8G 1Y8","Not Known",,"BC","None",,"None","Other"
"V1010917","Residential Detached","S","134 145 KING EDWARD STREET","Maillardville","1986","Manufactured","27","Coquitlam","Coquitlam","12/31/2013","TRISH ANDERSON","1","$601.00","5/31/2013","800-077-136",,,"9/16/2013","$55,300","$59.85","1.00","1","2","MHP","$55,500","108","924","$59.85","0.70","Manufactured","1",,"778-883-5989","3.25%",,,"0","0.00",,"$655.00","2","V0V 0V0",,,"BC",,,,
"H1302225","Residential Attached","S","105 46005 BOLE AVENUE","Chilliwack N Yale-Well","1990","Apartment/Condo","23","Chilliwack","Chilliwack","10/6/2013","LIAM RINES","1","$624.00","5/28/2013","014-847-264",,"$154.00","9/19/2013","$56,500","$72.44","0.94","1","1","R5","$60,000","114","780","$72.44","0.81","Apartment/Condo","1",,"778-988-8370","$3000 L 1/2 BF","CLASSIC MANOR",,"0",,,,"1","V2P 7W7",,"NOT OWNER OCCUPIED","BC",,,,
"N223364","Residential Detached","S","38 5506 PARK DRIVE","103 Mile House","2007","Manufactured","5","100 Mile House (Zone 10)","100 Mile House","10/31/2013","BRENDA","1","$690.00","10/31/2012","800-071-936",,,"9/13/2013","$62,500","$57.23","0.96","1","2","MHP","$65,000","317","1,092","$57.23","0.78","Manufactured","1",,"250-706-2518","3.4%",,,"0","0.00",,"$310.00",,"V0K 2E1",,,"BC",,,,
"N231030","Residential Detached","S","104 4430 16 HIGHWAY","Smithers - Town","1989","Manufactured","24","Smithers And Area (Zone 54)","Smithers","12/13/2013","DONNA","1","$1,033.00","9/13/2013","800-080-001",,,"9/16/2013","$65,000","$53.45","0.94","1","3","MHP","$69,500","3","1,216","$53.45","0.94","Manufactured","1",,"250-847-5999","3%",,,"0","0.00",,"$285.00","2","V0J 2N0",,,"BC",,,,
"V1021612","Residential Detached","S","96 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","1976","Manufactured","37","Sunshine Coast","Gibsons","2/28/2014","Ede Anaka","1","$186.00","8/7/2013","800-078-906",,,"9/18/2013","$67,000","$82.11","0.91","1","2","MHP","$74,000","42","816","$82.11","0.91","Manufactured","1",,"604-865-0020","3.2%","Poplar Estates",,"2","0.00",,"$403.00","2","V0N 1V5",,,"BC",,,,
"H1302219","Residential Detached","S","6 19743 FOSTER ROAD","Hope Silver Creek","9999","Recreational","999","Hope","Hope","10/31/2013","SANDRA","0","$1,027.00","5/28/2013","700-008-744",,"$0.00","9/20/2013","$68,000","$170.00","0.86","0","2","L-1","$79,500","115","400","$170.00","0.76","Recreational","1",,"604-785-9012","3.22% 1ST 100K/1.15% BAL L1/2BF","SILVER CREEK HOLDINGS","1 AC","0",,,,"4","V0X 1L2",,,"BC",,,,
"N228346","Residential Attached","S","102 333 HILL STREET","Quesnel - Town","9999","Townhouse","999","Quesnel (Zone 28)","Quesnel","12/31/2013","LESLIE OR CLAUDIA","1","$953.00","6/10/2013","004-899-059","2","$100.00","9/16/2013","$68,000","$45.33","0.91","2","3","RM1","$74,900","98","1,500","$45.33","0.81","Townhouse","1",,"250-992-7202","2.9%",,,"0",,,,,"V2J 3A2",,,"BC",,,,
"N227745","Residential Detached","S","53 1000 INVERNESS ROAD","Aberdeen PG","2006","Manufactured","7","PG City North (Zone 73)","Prince George","10/31/2013","ROB DESMARAIS","1","$1,050.00","5/24/2013","800-076-852",,,"9/20/2013","$69,000","$74.68","0.99","1","2","RS5","$70,000","119","924","$74.68","0.91","Manufactured","1",,"250-614-4982","2.5%",,,"0","0.00",,"$380.00",,"V2K 4V4",,,"BC",,,,
"V1016141","Residential Attached","S","320 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","12","Whistler","Whistler","6/30/2014","AMBER MANN","2","$2,513.00","7/1/2013","024-967-726",,"$487.00","9/16/2013","$70,000","$73.15","0.92","2","2","CC2","$76,000","77","957","$73.15","0.92","Apartment/Condo","1",,"904-905-2802","4%","LEGENDS, CREEKSIDE",,"1",,,,"1","V0N 1B2",,,"BC",,,,
"N229738","Residential Detached","S","544 E 8TH AVENUE","Prince Rupert - City","9999","House/Single Family","999","Prince Rupert (Zone 52)","Prince Rupert","10/31/2013","MIKE MORSE","1","$1,701.00","7/26/2013","004-313-771",,,"9/19/2013","$75,000","$32.67","0.63","1","3","R2","$119,000","55","2,296","$32.67","0.63","House/Single Family","1",,"250-600-6620","3% ON THE 1ST $100,000 & 1.5% ON THE REMAINDER",,"100.00","0","50.00",,,"1","V8J 2M9",,,"BC",,,,
"F1316276","Residential Attached","S","209 33490 COTTAGE LANE","Central Abbotsford","1980","Apartment/Condo","33","Abbotsford","Abbotsford","12/18/2013","Jason","1","$819.00","7/5/2013","001-817-078","3","$246.55","9/14/2013","$76,000","$77.55","0.90","1","2","RML","$84,900","71","980","$77.55","0.85","Apartment/Condo","1",,"604-825-7109","S-3% 1ST 100K/1.15% BAL","Cottage Lane",,"0",,,,"1","V2S 6B8",,"Seller does not live there","BC",,,,
"F1307456","Residential Attached","S","389C 8635 120TH STREET","Annieville","1972","Apartment/Condo","41","N. Delta","Delta","10/31/2013","TOUCHBASE","1","$667.00","3/30/2013","001-089-340","3","$228.00","9/19/2013","$76,000","$104.97","0.85","1","1","RM5","$89,800","173","724","$104.97","0.76","Apartment/Condo","1",,"604-590-4888","S-3.5% 1ST 100K/1.15% BAL","DELTA CEDARS",,"0",,,,"1","V4C 6R5",,"JUNE 29, 2012","BC",,,,
"F1319408","Residential Attached","S","801 31955 OLD YALE ROAD","Abbotsford West","1992","Apartment/Condo","21","Abbotsford","Abbotsford","11/9/2013","Steve K.","1","$888.00","8/9/2013","000-822-213",,"$200.00","9/18/2013","$77,000","$91.02","0.96","1","1","RMH","$79,900","40","846","$91.02","0.96","Apartment/Condo","1",,"604-855-7393","S-3.5% 1ST 100K/1.25% BAL",,,"0",,,,"1","V2T 4N1",,"owner has not lived there","BC",,,,
"N229895","Residential Detached","S","759 W 7TH AVENUE","Fort St. James - Town","9999","House/Single Family","999","Fort St. James (Zone 57)","Fort St. James","5/1/2014","KENT","1","$545.00","8/1/2013","011-647-043",,,"9/13/2013","$78,500","$96.32","0.94","1","2","R1","$83,500","43","815","$96.32","0.94","House/Single Family","1",,"250-567-9222","3.5%",,"60.00","1","139.25",,,,"V0J 1P0",,,"BC",,,,
"N230486","Residential Detached","S","2649 QUINCE STREET","VLA","9999","House/Single Family","999","PG City Central (Zone 72)","Prince George","12/31/2013","ANGELA","1","$1,174.00","8/25/2013","008-096-058",,,"9/16/2013","$80,000","$42.74","0.89","1","3","RS2","$89,900","22","1,872","$42.74","0.89","House/Single Family","1",,"250-565-7505","3.2%/1.2%","VLA",,"0","0.00",,,"2","V2L 2H6",,,"BC",,,,
"F1222409","Residential Attached","S","106 32119 OLD YALE ROAD","Abbotsford West","1982","Apartment/Condo","30","Abbotsford","Abbotsford","11/25/2013","Harj Brar","1","$893.00","9/6/2012","001-937-723","3","$230.96","9/18/2013","$85,000","$95.18","0.95","1","2","RMS","$89,700","377","893","$95.18","0.85","Apartment/Condo","1",,"604-309-1111","S-3.22% 1ST 100K/1.15% BAL","OLD YALE MANOR",,"0",,,,"1","V2T 2C8",,"AVAILABLE UPON ACCEPTED OFFER","BC",,,,
"F1321107","Residential Attached","S","204 32885 GEORGE FERGUSON WAY","Central Abbotsford","1983","Apartment/Condo","30","Abbotsford","Abbotsford","2/28/2014","Robert Bailey","1","$803.00","9/5/2013","001-869-906","3","$360.75","9/19/2013","$87,900","$85.17","0.95","1","2","RML","$92,900","14","1,032","$85.17","0.95","Apartment/Condo","1",,"604-533-3491","S-3.22%","FAIRVIEW MANOR",,"0",,,,"1","V2S 7X1",,,"BC",,,,
"N227222","Residential Detached","S","49-51 YAKOUN STREET","Port Clements","9999","House/Single Family","999","Prince Rupert (Zone 52)","Port Clements","5/1/2014","ED HANDJA/SHELLEY MCKAY","2","$1,926.00","5/2/2013","004-239-695",,,"9/22/2013","$89,000","$59.33","0.99","2","4","R1","$89,900","143","1,500","$59.33","0.82","House/Single Family","1",,"800-563-7322","3% OF SELLING PRICE",,"132","2","100.00",,,,"V0T 1R0",,,"BC",,,,
"N230967","Residential Detached","S","588 HARPER STREET","Central","9999","House/Single Family","999","PG City Central (Zone 72)","Prince George","12/31/2013","KEN GOSS","1","$1,893.00","9/13/2013","007-957-785",,,"9/18/2013","$95,000","$91.00","0.95","1","2","RS2","$99,900","5","1,044","$91.00","0.95","House/Single Family","1",,"250-565-7653","2.5% ON THE 1ST $100,000","CENTRAL/CRESCENTS/NECHAKO",,"0","0.00",,,"6","V2M 2W5",,,"BC",,,,
"F1318417","Residential Attached","S","117 1755 SALTON ROAD","Central Abbotsford","1992","Apartment/Condo","21","Abbotsford","Abbotsford","10/29/2013","Jeremy Loewen","1","$980.00","7/29/2013","016-686-314",,"$221.00","9/13/2013","$95,000","$107.34","0.96","1","2","RML","$99,000","46","885","$107.34","0.80","Apartment/Condo","1",,"604-850-5040","S-2% 1ST 100K/1.15% BAL","THE GATEWAY",,"0",,,,"1","V2S 7C5",,"COURT ORDERED SALE","BC",,,,
"F1319505","Residential Attached","S","204 31850 UNION AVENUE","Abbotsford West","1989","Apartment/Condo","24","Abbotsford","Abbotsford","8/13/2014","SUSAN PELZER","1","$839.00","8/13/2013","005-180-791","3","$255.00","9/18/2013","$96,000","$95.05","0.98","1","2","RML","$98,500","36","1,010","$95.05","0.98","Apartment/Condo","1",,"604-859-2341","S-3.22% 1ST 100K/1.15%","FERNWOOD MANOR","0","0","0.00",,,"1","V2T 4V2",,,"BC",,,,
"V1013866","Residential Detached","S","68 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","1973","Manufactured","40","Sunshine Coast","Gibsons","12/31/2013","Krista","1",,"6/15/2013","800-044-420",,,"9/18/2013","$97,500","$97.70","0.89","1","3","RM2","$109,000","95","998","$97.70","0.86","Manufactured","1",,"604-740-2050","3.25% ON 1ST 100 1.16 ON THE BALANCE","Poplars Trailer Park",,"1","0.00",,"$365.00","2","V0N 1V5",,,"BC",,,,
"F1321040","Residential Attached","S","53 32959 GEORGE FERGUSON WAY","Central Abbotsford","1983","Townhouse","30","Abbotsford","Abbotsford","10/7/2013","Darren Giesbrecht","1","$998.00","9/7/2013","002-074-605",,"$281.00","9/13/2013","$99,000","$100.81","0.97","1","2","RM","$102,500","6","982","$100.81","0.97","Townhouse","1",,"778-240-5386","S-3.22% 1ST 100K/1.15% BAL","Oakhurst Park",,"0",,,,,"V2S 7W9",,"SOLD BY EXECUTOR","BC",,,,
"F1319361","Residential Attached","S","102 33090 GEORGE FERGUSON WAY","Central Abbotsford","1990","Apartment/Condo","23","Abbotsford","Abbotsford","11/12/2013","Romeo Di Pietra","1","$1,075.00","8/12/2013","015-415-724",,"$298.10","9/16/2013","$99,900","$98.33","0.95","2","2","MF","$104,900","35","1,016","$98.33","0.95","Apartment/Condo","1",,"604-250-3547","S-3% 1ST 100K/1.15% BAL","TIFFANY PLACE",,"0",,,,,"V2S 6Y2",,"COURT ORDER SALE","BC",,,,
"F1318457","Residential Attached","S","307 2962 TRETHEWEY STREET","Abbotsford West","1994","Apartment/Condo","19","Abbotsford","Abbotsford","10/29/2013","LESLIE REDBURN","2","$1,118.00","7/29/2013","018-448-739",,"$279.00","9/15/2013","$100,000","$108.58","0.88","2","2","MF","$114,000","48","921","$108.58","0.88","Apartment/Condo","1",,"604-854-4699","S-2.5% 1ST 100K/1% BAL*","CASCADE GREEN",,"1",,,,,"V2T 4M3",,"FORECLOSURE","BC",,,,
"F1319272","Residential Attached","S","115 9635 121ST STREET","Cedar Hills","1984","Apartment/Condo","29","North Surrey","Surrey","12/30/2013","KASH","1","$776.00","8/5/2013","000-794-872","3","$170.47","9/14/2013","$108,000","$144.00","0.94","1","1","MF","$114,800","40","750","$144.00","0.94","Apartment/Condo","1",,"604-760-2458","S-3.22% 1ST 100K/1.15% BAL","CHANDLERS HILL",,"0",,,,"1","V3V 7L8",,"UPON ACCEPTED OFFER","BC",,,,
"V1016495","Residential Attached","S","103 1948 COQUITLAM AVENUE","Glenwood PQ","1982","Apartment/Condo","31","Port Coquitlam","Port Coquitlam","1/4/2014","Greg Salmon","1","$651.00","7/4/2013","001-961-136",,"$224.00","9/19/2013","$109,500","$207.78","0.88","1","1","RA1","$124,999","77","527","$207.78","0.88","Apartment/Condo","1",,"604-418-6611","3.22% OF 1ST $100,000/1.15% OF BAL",,,"0",,,,"1","V3B 1J3",,"UPON OFFER","BC",,,,
"H1302729","Land Only","S","216 51075 FALLS COURT","Eastern Hillsides",,,,"Chilliwack","Chilliwack","1/4/2014",,,"$1,517.00","7/4/2013","025-746-791",,,"9/16/2013","$110,000",,"0.96",,,"OR-3","$114,900","74",,,"0.92","Other",,"Road Access",,"$3000 L1/2BF***",,"150/.206 AC",,"59.48","No",,,"V4Z 1K7",,,"BC","At Lot Line",,"None","City/Municipal"
"H1303279","Residential Attached","S","402 9175 EDWARD STREET","Chilliwack W Young-Well","1988","Apartment/Condo","25","Chilliwack","Chilliwack","10/31/2013","GERRY","1","$883.00","8/19/2013","007-896-417","4","$243.60","9/16/2013","$115,000","$88.33","0.92","2","2","R5","$124,850","28","1,302","$88.33","0.92","Apartment/Condo","1",,"604-795-2955","3% 1ST 100K/1.25% BAL L 1/2 BF","LOMBARDY LANE",,"1",,,,"1","V2P 4C5",,"ESTATE SALE","BC",,,,
"N227453","Residential Detached","S","616 7TH AVENUE","Stewart/Cassiar","2006","House/Single Family","7","Terrace (Zone 88)","Stewart","12/31/2013","VANCE","1","$1,713.00","5/14/2013","012-979-732",,,"9/17/2013","$115,000","$98.29","0.87","2","3","R1","$131,900","126","1,170","$98.29","0.87","House/Single Family","1",,"250-638-1400","4% OF SELLING PRICE + GST",,"120","0","60.00",,,"2","V8G 0J0",,,"BC",,,,
"F1320721","Residential Attached","S","301 33030 GEORGE FERGUSON WAY","Central Abbotsford","1989","Apartment/Condo","24","Abbotsford","Abbotsford","2/28/2014","The Siebert Team","2","$1,167.00","9/4/2013","011-400-862",,"$256.50","9/14/2013","$118,000","$111.32","0.98","2","2","RML","$121,000","10","1,060","$111.32","0.98","Apartment/Condo","1",,"604-859-2341","S-3.22% 1ST 100K/1.15% BAL*","The Carlisle","0","0","0.00",,,"1","V2S 6Y2",,"Elderly seller","BC",,,,
"F1314551","Residential Attached","S","112 5700 200TH STREET","Langley City","1984","Apartment/Condo","29","Langley","Langley","12/12/2013","Gary or Lana Shepherd","1","$1,145.00","6/12/2013","000-551-627","3","$294.33","9/19/2013","$118,600","$122.52","1.00","1","2","RM2","$118,500","99","968","$122.52","0.79","Apartment/Condo","1",,"604-583-2000","S-3.22% 1ST 100K/1.15% BAL*","Langley Village",,"0","0.00",,,"1","V3A 7S6",,"Seller has never lived there","BC",,,,
"N229609","Residential Detached","S","137 E 5TH AVENUE","Prince Rupert - City","9999","House/Single Family","999","Prince Rupert (Zone 52)","Prince Rupert","11/6/2013","EMILY KAWAGUCHI","1","$1,347.00","7/23/2013","014-558-408",,,"9/14/2013","$119,000","$86.73","1.00","2","5","R2","$119,000","53","1,372","$86.73","1.00","House/Single Family","1",,"250-600-7343","3% OF THE SALE PRICE",,"100","0","25.00",,,"0","V8J 1R4",,,"BC",,,,
"F1312442","Residential Attached","S","215 30515 CARDINAL AVENUE","Abbotsford West","2009","Apartment/Condo","4","Abbotsford","Abbotsford","11/15/2013","JIM BRAICH","0","$1,207.00","5/15/2013","027-878-961","4","$150.00","9/16/2013","$120,000","$190.78","0.90","1","1","RM","$134,000","124","629","$190.78","0.71","Apartment/Condo","1",,"604-859-3141","S-2% 1ST 100K/1% BAL","Tamarind",,"1",,,,"1","V2T 0A8",,"COURT ORDERED SALE","BC",,,,
"N231029","Residential Detached","S","81 SAGUENAY STREET","Kitimat","1955","House/Single Family","58","Kitimat (Zone 89)","Kitimat","12/18/2013","IIONA KENNY","1","$1,693.00","9/18/2013","011-968-061",,,"9/18/2013","$120,000","$82.76","0.93","2","1","R2A","$129,000","0","1,450","$82.76","0.93","House/Single Family","1",,"250-632-1021","3% ON THE 1ST $100,000 AND 1.5% ON THE REMAINDER",,"0","1","0.00",,,"2","V8C 1W7",,,"BC",,,,
"N225759","Land Only","S","5451 UPPER HOUSEMAN ROAD","Forest Grove",,,,"100 Mile House (Zone 10)","Forest Grove","10/20/2013","MATT OR WAYNE",,"$838.00","2/20/2013","006-159-605",,,"9/19/2013","$120,000",,"0.93",,,"RR1","$129,000","211",,,"0.93","Other",,"Road Access","250-395-3424","3.2% ON 1ST $100,000/1.3% ON BALANCE",,,,"0.00","No",,,"V0K 1M0",,,"BC","Septic",,"None","Well - Drilled"
"N229623","Land Only","S","LOT 5 GUEST ROAD","Cluculz Lake",,,,"PG Rural West (Zone 77)","Prince George","11/30/2013",,,"$605.00","7/24/2013","008-642-095",,,"9/17/2013","$124,000",,"0.96",,,"R4","$129,900","55",,,"0.96","House/Single Family",,"Road Access",,"3% ON 1ST $100,000 AND 1% ON BALANCE","CLUCULZ LAKE",,,"0.00","No",,,"V0J 3A3",,,"BC","Septic",,"None","None"
"N229001","Residential Detached","S","5240 COOK CRESCENT","Hart Highway","1992","Manufactured with Land","21","PG City North (Zone 73)","Prince George","10/31/2013","OR TEXT MELANIE","1","$1,383.00","6/29/2013","024-342-131",,,"9/17/2013","$125,000","$127.55","0.96","2","2","RS2M","$129,900","80","980","$127.55","0.93","Manufactured with Land","1",,"250-614-6955","3% ON THE 1ST $100,000 AND 1% ON THE REMAINDER",,"0","0","0.00",,,,"V2K 5G7",,,"BC",,,,
"H1302433","Residential Attached","S","218 46289 YALE ROAD","Chilliwack E Young-Yale","2008","Apartment/Condo","5","Chilliwack","Chilliwack","12/31/2013","Clark/Sue Hitchcock","2","$959.00","6/18/2013","027-587-533",,"$286.00","9/13/2013","$125,500","$145.59","0.98","2","2","R6","$128,000","87","862","$145.59","0.93","Apartment/Condo","1",,"604-858-7179","3% 1ST 100K/1.25% BAL L 1/2 BF","New Mark",,"1","0.00",,,"2","V2P 2P6",,"owner does not live there","BC",,,,
"N228915","Residential Detached","S","8855 ELLIS ROAD","Pineview","1974","Manufactured with Land","39","PG Rural South (Zone 78)","Prince George","10/31/2013","or text Verna","1","$510.00","6/27/2013","007-093-136",,,"9/19/2013","$127,500","$156.25","0.95","1","3","RR1","$134,900","84","816","$156.25","0.90","Manufactured with Land","1",,"250-960-8338","3% ON THE 1ST 100000/1.25% ON REMAINDER","Pineview / Buckhorn",,"0",,,,"10","V2N 6E3",,,"BC",,,,
"N231153","Residential Attached","S","20 HAWK STREET","Kitimat","1955","1/2 Duplex","58","Kitimat (Zone 89)","Kitimat","12/20/2013","SHANNON","1","$1,145.00","9/20/2013","012-092-622",,,"9/22/2013","$129,900","$99.92","1.00","1","3","R2B","$129,900","2","1,300","$99.92","1.00","1/2 Duplex","1",,"250-639-7005","3% ON THE 1ST $100,000 AND 1.5% ON THE BALANCE",,"0","0","0.00",,,"3","V8C 1C5",,,"BC",,,,
