"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N231612","Residential Attached","S","3904 RAILWAY AVENUE","Smithers - Town","1975","Townhouse","38","Smithers And Area (Zone 54)","Smithers","1/8/2014","DAVE","1","$935.00","10/8/2013","008-257-973",,,"11/4/2013","$37,500","$24.67","2.08","2","3","R2","$18,000","27","1,520","$24.67","2.08","Townhouse","1",,"250-847-5999","$1000",,,"0","0.00",,,,"V0J 2N0",,,"BC",,,,
"N228456","Land Only","S","5728 TIMOTHY LAKE ROAD","Lac la Hache",,,,"100 Mile House (Zone 10)","Lac La Hache","10/30/2013","KAREN FRIESS",,"$217.00","6/14/2013","007-913-711",,,"10/26/2013","$38,000",,"0.84",,,"R1","$45,000","134",,,"0.78","House/Single Family",,"Road Access","250-395-3422","3.5%",,"225",,"100.00","Yes",,,"V0K 1T0",,,"BC","None",,"None","Well - Drilled"
"N225825","Land Only","S","LOT 40 NATH ROAD","Bridge Lake/Sheridan Lake",,,,"100 Mile House (Zone 10)","Bridge Lake","11/30/2013","BRAD",,"$396.00","3/31/2013","007-615-710",,,"10/28/2013","$45,000",,"1.00",,,"R1`","$45,000","211",,,"0.84","House/Single Family",,"Road Access","250-644-4242","3.4%",,"381",,"102.00","Yes",,,"V0K 1X1",,"LAND ONLY UNDER 1 ACRE","BC","None",,"None","None"
"N221953","Land Only","S","LILY LAKE ROAD","Fort Fraser",,,,"Vanderhoof And Area (Zone 56)","Fort Fraser","5/18/2014","STAN",,"$641.00","8/28/2012","011-144-050",,,"10/28/2013","$46,000",,"0.77",,,"N/A","$59,500","426",,,"0.56","Other",,"Allowed Access","250-567-9222","3.5%",,,,"0.00","Yes",,,"V0J 1N0",,,"BC","None",,"None","None"
"N206024","Land Only","S","LOT 4 CANIM LAKE ROAD","Canim/Mahood Lake",,,,"100 Mile House (Zone 10)","Canim Lake","6/30/2014","MARTIN SCHERRER",,"$632.00","11/19/2010","004-485-726",,,"11/4/2013","$47,000",,"0.79",,,"RR1","$59,900","1081",,,"0.59","Other",,"Road Access","250-593-2253","5%",,,,,"Yes",,,"V0K 1J0","Not Known",,"BC","None",,"None","None"
"V1012432","Residential Detached","S","85 19647 PINYON LANE","Central Meadows","1975","Manufactured","38","Pitt Meadows","Pitt Meadows","6/9/2014","Julie Wagner","1","$492.00","6/9/2013","800-005-861",,,"10/26/2013","$57,000","$61.82","0.71","1","2","MOBILE","$79,900","139","922","$61.82","0.48","Manufactured","1",,"604-467-9300","3.255% ON 1ST $100,000/1.1625% ON BAL","MEADOW HIGHLAND MOBILE HOME COOP",,"0","0.00",,"$259.00","1","V3Y 0C1",,,"BC",,,,
"V1031590","Residential Detached","S","106 19645 PINETREE LANE","Central Meadows","1974","Manufactured","39","Pitt Meadows","Pitt Meadows","4/7/2014","STEPHANIE","1","$457.00","10/7/2013","800-080-515",,,"10/30/2013","$58,000","$86.31","0.73","1","2","MOBILE","$79,500","23","672","$86.31","0.73","Manufactured","2",,"778-888-3215","3.22%-1ST $100K/1.15% BAL","MEADOW HIGHLANDS",,"0",,,"$255.00","2","V3Y 1Z3",,"SELLER NEVER LIVED THERE","BC",,,,
"F1324547","Residential Detached","S","69 24330 FRASER HIGHWAY","Otter District","2001","Manufactured","12","Langley","Langley","3/1/2014","Sharon Lenning","2","$683.00","10/22/2013","900-569-044",,,"10/28/2013","$65,000","$69.52","0.93","2","2","MH-1","$69,900","6","935","$69.52","0.93","Manufactured","1",,"604-590-2444","S-3.22% 1ST 100K","Langley Grove Estates",,"0","0.00",,"$562.00","2","V2Z 1N2",,"ESTATE SALE","BC",,,,
"N230267","Residential Detached","S","12 1 W 16 HIGHWAY","Vanderhoof - Town","9999","Manufactured","999","Vanderhoof And Area (Zone 56)","Vanderhoof","10/31/2013","STAN","1","$211.00","8/16/2013","800-079-102",,,"10/29/2013","$69,500","$39.40","1.00","1","4","R-4","$69,500","74","1,764","$39.40","1.00","Manufactured","1",,"250-567-9222","3.5%",,,"0",,,"$170.00",,"V0J 3A3",,,"BC",,"1",,
"N226545","Residential Detached","S","1575 RICHLAND DRIVE","Williams Lake - Rural North","9999","House with Acreage","999","Williams Lake (Zone 27)","Williams Lake","6/1/2014","CAROL ANN TAPHORN","1","$1,157.00","4/11/2013","010-536-931",,,"10/29/2013","$70,000","$71.43","0.78","1","3","RR2","$90,000","201","980","$71.43","0.61","House with Acreage","1",,"250-392-0633","3% ON THE FIRST $100,000 % 1.3% ON THE REMAINING B",,,"0",,,,,"V2G 5C5",,,"BC",,,,
"N227738","Land Only","S","8655 MINCHIN ROAD","Blackwater",,,,"PG Rural West (Zone 77)","Prince George","1/31/2014","CALL/TEXT MIKE",,"$423.00","5/24/2013","004-853-059",,,"10/25/2013","$70,000","$0.06","0.82",,,"C1-RC2","$84,900","154",,"$0.06","0.82","Other",,"Road Access","250-981-3100","$2000",,,,,"Yes",,,"V2N 6G5","Not Known",,"BC","None",,"None","None"
"N230831","Residential Detached","S","108 9207 82ND STREET","Fort St. John - City SE","1973","Manufactured","40","Fort St. John (Zone 60)","Fort St. John","4/30/2014","CHAD/CHERYL","1","$554.00","9/9/2013","800-079-638",,,"10/28/2013","$72,000","$80.36","0.95","1","3","R4","$75,900","49","896","$80.36","0.95","Manufactured","1",,"250-785-8051","3.5% ON BALANCE","SOUTHRIDGE TRAILER PARK",,"0","0.00",,"$335.00","6","V1J 5G5",,,"BC",,,,
"N231246","Residential Detached","S","447 3RD AVENUE","Burns Lake - Town","9999","House/Single Family","999","Burns Lake (Zone 55)","Burns Lake","2/28/2014","RE/MAX WRIGHTWAY","1","$195.00","9/30/2013","006-722-199",,,"11/1/2013","$73,000","$38.02","0.91","1","3","R1","$79,900","32","1,920","$38.02","0.91","House/Single Family","1",,"250-692-7288","SEE REALTOR REMARKS",,,"0","0.00",,,,"V0J 1E1",,,"BC",,,,
"V1030356","Residential Attached","S","226D 2036 LONDON LANE","Whistler Creek","2000","Apartment/Condo","13","Whistler","Whistler","3/15/2014","DEAN LINNELL","2","$2,509.00","9/29/2013","800-080-304",,"$538.94","11/1/2013","$73,000","$73.15","0.95","2","2","CC2","$77,000","33","998","$73.15","0.95","Apartment/Condo","1",,"906-932-9313","3%","LEGENDS",,"1",,,,,"V0N 1B2",,,"BC",,,,
"V1002011","Residential Attached","S","1216 4308 MAIN STREET","Whistler Village","1998","Apartment/Condo","15","Whistler","Whistler","2/15/2014","Sally Warner","1","$1,714.00","4/15/2013","023-904-194",,"$0.00","10/26/2013","$73,500","$319.57","0.93","1","0","TA1","$79,000","194","230","$319.57","0.86","Apartment/Condo","0",,"604-932-2300","3% - 1.5%","The Delta",,"0",,,,"1","V0N 1B4",,,"BC",,,,
"F1305724","Residential Attached","S","207 33400 BOURQUIN PLACE","Central Abbotsford","1976","Apartment/Condo","37","Abbotsford","Abbotsford","12/31/2013","Mike/Lisa","1","$812.00","3/6/2013","001-587-064","3","$317.17","11/1/2013","$74,000","$78.22","0.87","1","2","RML","$84,900","240","946","$78.22","0.82","Apartment/Condo","1",,"604-855-0800","S-3.15% 1ST 100K/1.15% BAL","Bakerview Place",,"0","0.00",,,"2","V2P 5N6",,"Owner has never lived in","BC",,,,
"N230122","Land Only","S","3552 RED CREEK ROAD","Canim/Mahood Lake",,,,"100 Mile House (Zone 10)","Canim Lake","12/31/2015","KONRAD SCHMID-MEIL",,"$197.00","8/1/2013","003-677-630",,,"11/1/2013","$78,000",,"0.89",,,"RR2","$88,000","92",,,"0.89","House/Single Family",,"Allowed Access","250-395-2233","4%",,,,"0.00","Yes",,,"V0K 1J0","Not Known",,"BC","Unknown",,"None","Well - Drilled"
"H1304062","Residential Attached","S","116 45567 YALE ROAD","Chilliwack W Young-Well","2008","Apartment/Condo","5","Chilliwack","Chilliwack","1/28/2014","Michelle or Bill","1","$872.00","10/28/2013","027-651-525",,"$227.21","11/4/2013","$80,123","$111.13","1.10","1","1","R5","$73,000","7","721","$111.13","1.10","Apartment/Condo","1",,"604-858-7179","3.22% 1ST 100K/1.15% BAL L 1/2 BF","The Vibe",,"0","0.00",,,,"V2P 0B2",,"owner does not live here","BC",,,,
"H1303966","Residential Detached","S","48 6338 VEDDER ROAD","Sardis East Vedder Rd","1980","Manufactured","33","Sardis","Sardis","4/30/2014","JIM RHODA","2","$439.00","10/9/2013","796-338-391",,,"10/29/2013","$82,000","$61.01","0.92","2","3","RMH","$89,000","20","1,344","$61.01","0.92","Manufactured","1",,"604-290-2319","$3500.00 L 1/2 BF","MAPLE MEADOWS MOBILE HOME PARK",,"1","0.00",,"$375.00","1","V2R 1A1",,,"BC",,,,
"V987236","Residential Attached","S","306 4090 WHISTLER WAY","Whistler Village","2000","Apartment/Condo","13","Whistler","Whistler","12/31/2013","Ursula Morel","1","$1,796.00","1/23/2013","024-687-766",,"$0.00","11/4/2013","$88,000","$318.84","0.88","1","1","TA14","$99,900","285","276","$318.84","0.73","Apartment/Condo","0",,"604-935-3635","3% - 1.5%","Westin",,"0",,,,,"V0N 1B4",,,"BC",,,,
"V992158","Residential Attached","S","232C 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","12","Whistler","Whistler","2/27/2014","Denise Brown","2","$0.00","2/18/2013","025-173-642",,"$609.00","10/26/2013","$89,000","$72.24","0.94","2","3","CC2","$95,000","250","1,232","$72.24","0.74","Apartment/Condo","1",,"604-935-2013","3% - 1.5%","Legend's - 1/4 share condo",,"1",,,,,"V0N 1B2",,,"BC",,,,
"N231873","Residential Detached","S","1 12842 OLD HOPE ROAD","Lakeshore","1984","Manufactured","29","Fort St. John (Zone 60)","Charlie Lake","4/29/2014","JACKIE CAREW","1","$300.00","10/29/2013","800-081-227",,,"10/30/2013","$90,000","$89.29","0.89","1","3","MHP","$101,500","1","1,008","$89.29","0.89","Manufactured","1",,"250-793-8798","3% ON THE 1ST $100,000 & 1.5% ON THE BALANCE",,,"0","0.00",,"$346.00","2","V0C 1H0",,,"BC",,,,
"F1321627","Residential Attached","S","208 32124 TIMS AVENUE","Abbotsford West","1982","Apartment/Condo","31","Abbotsford","Abbotsford","12/10/2013","ANTHONY","2","$1,163.00","9/10/2013","002-051-907",,"$323.38","10/30/2013","$90,000","$88.50","0.81","2","2","RML","$110,900","50","1,017","$88.50","0.74","Apartment/Condo","1",,"604-615-0619","S-2%","Cedarbrook Manor",,"1",,,,"1","V2T 2H4",,"COURT ORDERED SALE","BC",,,,
"N231555","Residential Detached","S","23 7100 ALDEEN ROAD","Lafreniere","2007","Manufactured","6","PG City South (Zone 74)","Prince George","4/7/2014","CLAUDIA","2","$1,105.00","10/7/2013","800-080-614",,,"10/30/2013","$91,750","$99.30","0.94","2","2","RS5","$98,000","23","924","$99.30","0.94","Manufactured","1",,"250-960-9555","2.5% ON $100,000/1% ON BALANCE","MORGAN RIDGE PARK",,"0","0.00",,"$393.00","0","V2N 5R5",,,"BC",,,,
"N230106","Residential Detached","S","7645 RUBY CRESCENT","Emerald","1977","Manufactured with Land","36","PG City North (Zone 73)","Prince George","12/31/2013","MARK DIAL","1","$1,239.00","8/3/2013","008-874-883",,,"10/31/2013","$92,500","$100.11","0.93","1","3","RS1M","$99,900","89","924","$100.11","0.88","Manufactured with Land","1",,"250-562-3600","3% ON 1ST $100,000/1% ON REMAINDER",,,"0","0.00",,,,"V2K 3T7",,,"BC",,,,
"F1314894","Residential Attached","S","221 2277 MCCALLUM ROAD","Central Abbotsford","1982","Apartment/Condo","31","Abbotsford","Abbotsford","2/17/2014","Richard Friesen","1","$765.00","6/17/2013","002-032-040","3","$240.00","11/4/2013","$93,000","$92.54","0.95","1","2","MF","$97,900","140","1,005","$92.54","0.95","Apartment/Condo","1",,"604-807-2200","S-3.22%","Alameda Court",,"0",,,,"1","V2S 3N7",,"has never lived there","BC",,,,
"H1303566","Residential Attached","S","5 46562 YALE ROAD","Chilliwack E Young-Yale","1993","Townhouse","20","Chilliwack","Chilliwack","12/31/2013","Kathy","2","$1,208.00","9/12/2013","017-828-911","2","$187.83","10/30/2013","$93,000","$89.86","0.87","2","2","R5","$107,000","48","1,035","$89.86","0.75","Townhouse","1",,"604-792-0077","3% 1ST 100K/.75% BAL L 1/2 BF","Carmanah","0","1","0.00",,,"1","V2P 2R5",,"Court Ordered Sale","BC",,,,
"N230671","Residential Detached","S","21 8420 ALASKA ROAD","Fort St. John - City SE","1974","Manufactured","39","Fort St. John (Zone 60)","Fort St. John","12/2/2013","TAMMY/KATHY","1","$669.00","9/3/2013","800-079-540",,,"10/28/2013","$95,000","$102.81","0.98","1","2","R-3","$96,900","55","924","$102.81","0.92","Manufactured","1",,"250-785-5520","3% ON 1ST $100,000/1.5% ON BALANCE",,,"0","0.00",,"$425.00","2","V1J 4J6",,,"BC",,,,
"N231103","Residential Detached","S","728 HARPER STREET","Central","9999","House/Single Family","999","PG City Central (Zone 72)","Prince George","1/20/2014","DELORES","2","$1,934.00","9/19/2013","007-797-079",,,"10/31/2013","$95,000","$55.62","0.86","2","3","RS2","$110,000","42","1,708","$55.62","0.86","House/Single Family","2",,"250-960-9152","3% ON 1ST $100,000/1% ON BALANCE",,,"0","0.00",,,,"V2M 2W5",,,"BC",,,,
"N228218","Land Only","S","271 ROAD","Fort St. John - Rural W 100th",,,,"Fort St. John (Zone 60)","Fort St. John","6/4/2014","JENN",,"$180.00","6/4/2013","010-387-056",,,"10/25/2013","$100,000",,"0.87",,,"A2","$115,000","143",,,"0.87","Other",,"Road Access","250-785-8051","3% OF 1ST $100,000/1.5% ON REMAINDER",,,,"0.00","Yes",,,"V0C 2H0","No",,"BC","None",,"None","None"
"V1015666","Residential Attached","S","105 8080 RYAN ROAD","South Arm","1975","Apartment/Condo","38","Richmond","Richmond","11/15/2013","PETER WEN","1","$0.00","7/2/2013","800-077-871",,"$251.65","11/1/2013","$100,000","$144.30","0.86","1","1","RAM1","$116,000","122","693","$144.30","0.86","Apartment/Condo","1",,"778-889-8522","3.225% ON 1ST $100,000 & 1.1625% ON BAL","BRISTOL COURT",,"0","0.00",,,"1","V7A 2E5",,,"BC",,,,
"N231384","Land Only","S","1351 ALBATROSS AVENUE","Kitimat",,,,"Kitimat (Zone 89)","Kitimat","9/30/2014","ILONA KENNY",,"$806.00","10/1/2013","018-469-817",,,"10/31/2013","$108,000","$7.07","0.97",,,"R1A","$111,000","30",,"$7.07","0.97","House/Single Family",,"Road Access","250-632-1021","3% ON 1ST $100,000/1.5% ON REMAINDER",,,,"0.00","Yes",,,"V8C 1P9","Not Known",,"BC","At Lot Line",,"At Lot Line","City/Municipal"
"N220091","Multifamily","S","748-754 EVERGREEN DRIVE","Port Edward","1973","Duplex","39","Prince Rupert (Zone 52)","Port Edward","3/20/2014","JEFF CLARKE","4","$1,169.00","6/20/2012","009-383-735",,,"10/26/2013","$110,000","$36.23","0.88","4","8","R2","$125,000","493","3,036","$36.23","0.85","Duplex","2",,"250-624-9444","3% ON THE 1ST $100,000/1.5% ON THE BALANCE",,"123","0","70.00",,,"6","V0V 1G0",,,"BC",,,,
"H1304067","Residential Attached","S","108 7610 EVANS ROAD","Sardis West Vedder Rd","1989","Townhouse","24","Sardis","Sardis","1/28/2014","PAT","2","$0.00","10/25/2013","700-002-130",,"$240.00","10/27/2013","$111,500","$106.80","0.93","2","2","R5","$120,000","2","1,044","$106.80","0.93","Townhouse","1",,"604-795-2955","3.5% 1ST 100K/1.5% BAL L 1/2 BF","COTTONWOOD VILLAGE",,"1","0.00",,,"1","V2R 2X8",,"POA HAS NOT FIRST HAND KNOWLEDGE","BC",,,,
"V1019667","Residential Attached","S","7D 2300 NORDIC DRIVE","Nordic","2002","Townhouse","11","Whistler","Whistler","7/31/2014","Matt","3","$7,233.00","7/22/2013","800-078-595",,"$917.67","10/31/2013","$112,000","$47.97","0.81","4","3","RA9","$139,000","101","2,335","$47.97","0.81","Townhouse","1",,"604-935-9171","3%","Fairmount Heritage Place at Natures Door",,"1",,,,"2","V0N 1B2",,"Condition managed by HOA","BC",,,,
"N231995","Residential Attached","S","209 1654 10TH AVENUE","Crescents","9999","Apartment/Condo","999","PG City Central (Zone 72)","Prince George","3/4/2014","SHIRLEY WOOLLETT","1","$1,041.00","11/2/2013","004-975-952","3","$193.25","11/4/2013","$115,000","$191.67","0.92","1","1","RM6","$124,900","2","600","$191.67","0.92","Apartment/Condo","1",,"250-617-8717","$3000.00",,,"1","0.00",,,"1","V2L 3S4",,,"BC",,,,
"V1034352","Residential Attached","S","408 11671 FRASER STREET","East Central","1994","Apartment/Condo","19","Maple Ridge","Maple Ridge","1/30/2014","JOHN TAYLOR","1","$1,488.00","10/30/2013","018-032-753",,"$219.25","11/4/2013","$117,000","$175.94","0.98","1","1","RM2","$119,900","5","665","$175.94","0.98","Apartment/Condo","1",,"604-773-6606","3.255% ON 1ST $100,000 & 1.1625% BAL PLUS $5000",,,"0",,,,"1","V2X 6C4",,,"BC",,,,
"N225507","Residential Detached","S","11268 OLD BABINE LAKE ROAD","Smithers - Rural","1999","House with Acreage","14","Smithers And Area (Zone 54)","Smithers","2/7/2014","KAREN","1","$538.00","3/14/2013","009-399-364",,,"10/28/2013","$120,000","$147.06","0.75","1","2","AG1","$159,900","228","816","$147.06","0.60","House with Acreage","1",,"250-847-0548","3% ON 1ST $100,000/1.5% ON BALANCE",,,"1","0.00",,,,"V0J 2N7",,,"BC",,,,
"N221828","Residential Detached","S","421 MOFFAT STREET","Quinson","9999","House/Single Family","999","PG City West (Zone 71)","Prince George","12/31/2013","KAREN","1","$2,020.00","8/18/2012","007-911-211",,,"11/2/2013","$120,000","$66.67","0.86","2","2","RS2","$140,000","441","1,800","$66.67","0.67","House/Single Family","1",,"250-981-2008","3% ON THE 1ST $100,000/1.5% ON THE BALANCE","QUINSON","120","0","50.00",,,"0","V2M 3L4",,,"BC",,,,
"N230941","Residential Detached","S","2731 MERRITT ROAD","Peden Hill","9999","House/Single Family","999","PG City West (Zone 71)","Prince George","12/13/2013","DARREN","0","$1,213.00","9/13/2013","005-996-970",,,"10/28/2013","$120,500","$52.39","1.15","0","0","RT1","$105,000","45","2,300","$52.39","1.15","House/Single Family","0",,"250-640-5585","3% ON THE 1ST $100,000 AND 0.75% ON THE REMAINDER",,,"0","0.00",,,"4","V2N 1M5",,,"BC",,,,
"N231437","Residential Detached","S","3521 ROBIN ROAD","Quesnel - Rural North","1970","House/Single Family","43","Quesnel (Zone 28)","Quesnel","3/30/2014","BOBBI","1","$1,394.00","10/4/2013","013-319-167",,,"11/2/2013","$121,500","$53.52","0.94","1","3","RS1","$129,900","29","2,270","$53.52","0.94","House/Single Family","1",,"250-991-9063","3% 1ST $100,000/1.5% ON REMAINDER",,,"0","0.00",,,"4","V2J 3R1",,,"BC",,,,
"F1322577","Residential Attached","S","103 13678 GROSVENOR ROAD","Whalley","2014","Apartment/Condo","0","North Surrey","Surrey","3/31/2014","Maha & Susan","1",,"9/24/2013","900-568-670","4","$111.95","11/2/2013","$121,650","$404.15","1.02","1","0","CD","$119,900","39","301","$404.15","1.02","Apartment/Condo","1",,"604-581-8000","S-3.22% 1ST 100K/1.15% BAL","BALANCE",,"0",,,,,"V3R 5E2",,"DISCLOSURE STATEMENT AVAILABLE","BC",,,,
"N230474","Residential Detached","S","548 KALUM LAKE ROAD","Terrace - City","9999","House/Single Family","999","Terrace (Zone 88)","Terrace","11/24/2013","DAVE MATERI","1","$2,736.00","8/26/2013","010-469-036",,,"11/4/2013","$123,100","$59.18","0.96","1","4","R1","$127,900","70","2,080","$59.18","0.91","House/Single Family","1",,"250-615-7225","2.5% ON 1ST $100,000/1% ON REMAINDER",,"150","0","100.00",,,"4","V8G 4B1",,,"BC",,,,
"N190612","Land Only","S","2707 KALUM STREET","Terrace - City",,,,"Terrace (Zone 88)","Terrace","12/31/2013",,,"$952.00","3/19/2009","023-818-484",,,"10/28/2013","$125,000",,"0.96",,,"R3","$129,900","1684",,,"0.96","Other",,"Road Access",,"3% ON $100,000/1.5% ON BALANCE",,"256",,"90.00","No",,,"V8G 2M4","Not Known",,"BC","At Lot Line",,"None","City/Municipal"
"N231566","Residential Attached","S","210 10216 102ND AVENUE","Fort St. John - City NW","1970","Apartment/Condo","43","Fort St. John (Zone 60)","Fort St. John","3/31/2014","CINDY BRULE","1","$984.00","10/7/2013","004-345-819",,"$210.00","10/30/2013","$125,000","$167.34","0.97","1","1","RM2","$128,900","23","747","$167.34","0.97","Apartment/Condo","1",,"250-793-6333","3% ON 1ST $100,000/1.5% ON BALANCE","ALTOMAR ESTATES",,"0",,,,,"V1J 2E5",,,"BC",,,,
"H1303034","Residential Attached","S","19 9473 HAZEL STREET","Chilliwack E Young-Yale","1977","Townhouse","36","Chilliwack","Chilliwack","1/31/2014","DALE","1","$1,010.00","7/28/2013","000-633-755",,"$200.00","10/28/2013","$125,000","$108.51","0.90","2","3","R5","$139,500","92","1,152","$108.51","0.90","Townhouse","1",,"604-615-6598","3.22% 1ST 100K/1.15% BAL L 1/2 BF","HAZELWOOD ESTATES",,"1",,,,,"V2P 5M9",,"UPON ACCEPTED OFFER","BC",,,,
"N230659","Residential Attached","S","79 MALLARD STREET","Kitimat","1955","Townhouse","58","Kitimat (Zone 89)","Kitimat","12/1/2013","SHANNON","1","$1,158.00","9/1/2013","012-003-719",,,"11/3/2013","$126,000","$81.29","0.97","2","3","R2B","$129,900","63","1,550","$81.29","0.97","Townhouse","1",,"250-632-7000","3% ON 1ST $100,000/1.5% ON BALANCE",,,"0","0.00",,,"3","V8C 2K9",,,"BC",,,,
"F1319827","Residential Attached","S","205 33731 MARSHALL ROAD","Central Abbotsford","1994","Apartment/Condo","19","Abbotsford","Abbotsford","11/18/2013","Touchbase Raj","2","$1,364.00","8/20/2013","018-481-876","4","$197.00","10/28/2013","$126,500","$113.55","0.94","2","2","RML","$134,900","69","1,114","$113.55","0.90","Apartment/Condo","1",,"604-596-1800","S-2.5% 1ST 100K/1% BAL","Stephanie Place",,"1","0.00",,,"1","V2S 1L5",,"n/a","BC",,,,
