"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"H1304501","Residential Detached","S","1 45715 ALMA AVENUE","Vedder S Watson-Promontory","9999","Manufactured","999","Sardis","Sardis","6/12/2014","RICK","1","$441.00","12/12/2013","745-715-024",,,"12/31/2013","$20,000","$20.83","0.67","1","2","RMH","$29,900","19","960","$20.83","0.67","Manufactured","1",,"604-792-0077","$2500.00 L 1/2 BF","FIRCREST MOBILE HOME PARK",,"0","0.00",,"$457.00",,"V2R 3M5",,"ESTATE SALE","BC",,,,
"H1304486","Residential Detached","S","2A 63961 FLOOD HOPE ROAD","Hope Silver Creek","1972","Manufactured","41","Hope","Hope","4/1/2014","ANDY/DAVID","1","$112.00","12/9/2013","700-008-080",,,"12/17/2013","$27,500","$35.71","0.92","1","2","RMH","$29,900","8","770","$35.71","0.92","Manufactured","1",,"800-446-5686","4.5% L 1/2 BF","SILVER HOPE MOBILE HOME PARK",,"0","0.00",,"$250.00","2","V0X 1L2",,,"BC",,,,
"F1325519","Residential Detached","S","2 41495 N NICOMEN ROAD","Dewdney Deroche","9999","Manufactured","999","Mission","Mission","11/30/2014","touchbase","1","$0.00","11/7/2013","900-569-239",,,"12/21/2013","$29,000","$26.56","0.97","1","2","MHP","$29,900","44","1,092","$26.56","0.73","Manufactured","1",,,"S-4.6%*","Lakahahmen trailer Park",,"0","0.00",,"$190.00",,"V0M 1G0",,"at time of offer","BC",,,,
"N231144","Land Only","S","CLEARWATER LAKE ROAD","Bella Coola/Hagensborg",,,,"Williams Lake (Zone 27)","Bella Coola","9/30/2014","FREDDY OR LINDA",,"$254.00","9/20/2013","018-249-787",,,"12/18/2013","$34,000",,"0.69",,,"RR2","$49,000","89",,,"0.69","Recreational",,"Allowed Access","604-491-1060","2.5%",,,,"220.00","Yes",,,"V0L 1M0",,,"BC","None",,"None","None"
"N232274","Residential Detached","S","37 8474 BUNCE ROAD","Haldi","1984","Manufactured","29","PG City South (Zone 74)","Prince George","1/31/2014","STEVE","1","$350.00","11/19/2013","800-081-845",,,"12/31/2013","$35,000","$37.88","0.92","1","2","MHP","$37,900","42","924","$37.88","0.88","Manufactured","1",,"250-617-3926","3.5%","HALDI",,"1","0.00",,"$300.00","2","V2N 6P1",,,"BC",,,,
"H1303069","Residential Attached","S","135 1783 AGASSIZ-ROSEDALE HIGHWAY","Agassiz","1977","Apartment/Condo","36","Agassiz","Agassiz","2/1/2014","DOULLA","1","$480.00","8/1/2013","023-569-883","3","$173.00","12/28/2013","$37,000","$62.71","0.93","1","1","RM2","$39,900","149","590","$62.71","0.68","Apartment/Condo","1",,"604-850-4215","3.22% 1ST 100K/1.15% BAL L 1/2 BF",,,"0",,,,,"V0M 1A0",,"FORECLOSURE","BC",,,,
"N230841","Residential Detached","S","1439 THE PLAZA STREET","Prince Rupert - City","9999","House/Single Family","999","Prince Rupert (Zone 52)","Prince Rupert","3/24/2014","NADIA","0","$363.00","9/10/2013","012-638-102",,,"12/23/2013","$38,500","$49.68","0.78","0","0","R2","$49,500","104","775","$49.68","0.70","House/Single Family","0",,"250-600-2334","3% ON THE 1ST $100,000 AND 1.5% ON REMAINDER",,"100","0","50.00",,,,"V8J 1X9",,,"BC",,,,
"N223144","Residential Detached","S","4 2725 DUBOIS ROAD","Williams Lake - Rural North","1971","Manufactured","41","Williams Lake (Zone 27)","Williams Lake","6/30/2014","GEORDIE/CINDY","1","$346.00","10/18/2012","800-071-624",,,"1/2/2014","$39,000","$41.94","0.94","1","2","MHP","$41,400","441","930","$41.94","0.87","Manufactured","1",,"250-398-0600","3.3%","PINE VALLEY MOBILE HOME PARK",,"0","0.00",,"$240.00","2","V2G 5C1",,,"BC",,,,
"N229326","Residential Detached","S","2685 WIGGINS WAY","Hazelton","9999","House/Single Family","999","Smithers And Area (Zone 54)","New Hazelton","6/30/2014","RON LAPADAT","0","$1,157.00","7/5/2013","006-975-691",,,"12/20/2013","$42,000","$23.99","0.77","1","3","R2","$54,500","168","1,751","$23.99","0.60","House/Single Family","1",,"250-847-0335","3.5%",,"120.00","0","60.00",,,"2","V0J 1Y1",,,"BC",,,,
"F1325617","Residential Detached","S","275 1840 160 STREET","King George Corridor","1973","Manufactured","40","South Surrey White Rock","White Rock","5/30/2014","Sharon Lenning","1","$253.00","11/9/2013","900-569-247",,,"12/14/2013","$42,000","$28.00","0.60","2","3","MHP","$69,999","35","1,500","$28.00","0.60","Manufactured","1",,"604-590-2444","S-4%","BREAKAWAY BAYS",,"1","0.00",,"$880.00","2","V4A 4X4",,"EXECUTOR NEVER LIVED IN HOME","BC",,,,
"F1324695","Land Only","S","194 14600 MORRIS VALLEY ROAD","Lake Errock",,,,"Mission","Mission","10/26/2014","DAVID WANSINK",,"$487.00","10/26/2013","023-087-731",,,"12/20/2013","$44,000","$26.67","0.90",,,"REC","$48,900","55",,"$26.67","0.90","Recreational",,"Allowed Access","604-820-0555","S-4%",,"50",,"53.00","No",,,"V0M 1A1",,"LAND ONLY","BC","Community",,"None","Community"
"N230821","Residential Attached","S","406 1501 QUEENSWAY STREET","Millar Addition","1965","Apartment/Condo","48","PG City Central (Zone 72)","Prince George","2/26/2014","KEN GOSS","1","$664.00","9/6/2013","026-576-759","12","$278.15","1/3/2014","$44,100","$67.33","0.88","1","1","RM7","$49,900","119","655","$67.33","0.80","Apartment/Condo","1",,"250-565-7653","3.5%","MILLAR ADDITION/CONNAUGHT HILL","0","0","0.00",,,"1","V2L 1L5",,,"BC",,,,
"N229312","Residential Detached","S","2625 WIGGINS WAY","Hazelton","9999","House/Single Family","999","Smithers And Area (Zone 54)","New Hazelton","6/30/2014","RON","2","$877.00","7/5/2013","006-975-755",,,"12/20/2013","$46,000","$22.12","0.77","2","5","R2","$59,500","168","2,080","$22.12","0.62","House/Single Family","1",,"250-847-0335","3.5%",,"120","0","60.00",,,"2","V0J 1Y1",,,"BC",,,,
"V991562","Residential Detached","S","39 23342 CALVIN CRESCENT","East Central","1972","Manufactured","41","Maple Ridge","Maple Ridge","1/31/2014","SOPHIE'S DESK","1",,"2/11/2013","800-074-256",,,"12/28/2013","$52,000","$48.15","0.89","1","4","CS3","$58,500","320","1,080","$48.15","0.75","Manufactured","1",,"604-826-9000","4.6%**","GARIBALDI VILLAGE",,"0","0.00",,"$537.00","2","V2X 4S3",,,"BC",,,,
"N232447","Residential Attached","S","1740 JAMAICA AVENUE","Prince Rupert - City","1974","1/2 Duplex","39","Prince Rupert (Zone 52)","Prince Rupert","6/4/2014","JEFF CLARKE","1","$950.00","12/4/2013","007-734-646",,,"12/13/2013","$56,000","$43.75","0.95","2","3","R2","$59,000","9","1,280","$43.75","0.95","1/2 Duplex","1",,"250-624-9444","3%",,"100","0","25.00",,,"1","V8J 2Y5",,,"BC",,,,
"N230339","Residential Detached","S","DL 1230 GETHING MINE ROAD","Hudsons Hope","2005","Recreational","8","Fort St. John (Zone 60)","Hudsons Hope","8/31/2014","NICOLE GILLISS","0","$56.00","8/20/2013","016-974-751",,,"12/21/2013","$60,000","$156.25","0.78","0","1","RR","$76,900","123","384","$156.25","0.78","Recreational","1",,"250-783-1076","3%",,,"1","0.00",,,,"V0C 1V0",,,"BC",,,,
"N230937","Land Only","S","3414 THOMAS STREET","Terrace - City",,,,"Terrace (Zone 88)","Terrace","3/18/2014","SHANNON MCALLISTER",,"$617.00","9/13/2013","027-455-734",,,"12/19/2013","$60,000",,"0.97",,,"R1","$62,000","97",,,"0.97","House/Single Family",,"Allowed Access","250-615-8993","2.5% ON THE SALE PRICE PLUS GST","HORSESHOE","0",,"59.00","No",,,"V8G 3G7","Not Known",,"BC","Available",,"None","City/Municipal"
"N226765","Multifamily","S","209 W 5TH AVENUE","Prince Rupert - City","9999","Fourplex","999","Prince Rupert (Zone 52)","Prince Rupert","4/30/2014","MIKE","4","$1,065.00","4/29/2013","014-686-139",,,"12/20/2013","$61,000","$26.78","0.79","4","4","R2","$76,900","235","2,278","$26.78","0.66","Fourplex","4",,"250-624-9444","$2,000",,"100","0","50.00",,,"4","V8J 1T3",,,"BC",,,,
"H1304224","Residential Attached","S","202C 45655 MCINTOSH DRIVE","Chilliwack W Young-Well","1994","Apartment/Condo","19","Chilliwack","Chilliwack","3/1/2014","HANNE","1","$704.00","11/6/2013","017-909-619","3","$101.19","12/13/2013","$65,500","$96.32","0.94","1","1","R5","$69,800","37","680","$96.32","0.94","Apartment/Condo","1",,"604-795-0280","3% L 1/2 BF","MCINTOSH PLACE",,"0",,,,"1","V2P 6V4",,"BUYER HAS NOT LIVED THERE","BC",,,,
"V1023505","Residential Attached","S","220D 2036 LONDON LANE","Whistler Creek","2000","Recreational","13","Whistler","Whistler","12/31/2013","James Collingridge","2","$2,717.00","8/20/2013","024-967-491",,"$364.00","12/31/2013","$66,000","$69.33","0.97","2","2","CC2","$68,000","133","952","$69.33","0.97","Recreational","1",,"604-902-0132","5%","Legends",,"1",,,,"1","V0N 1B2",,,"BC",,,,
"V1028399","Residential Attached","S","325B 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","12","Whistler","Whistler","4/30/2014","STEVE","2","$712.00","9/19/2013","024-967-751","4","$429.28","12/30/2013","$66,500","$69.85","0.95","2","2","CC2","$69,900","102","952","$69.85","0.89","Apartment/Condo","1",,"604-218-1856","3% ON 1ST $100,000","LEGENDS",,"1",,,,"1","V0N 1B2",,,"BC",,,,
"V984315","Residential Attached","S","226C 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","12","Whistler","Whistler","11/10/2014","Denise Brown","2","$2,897.00","1/7/2013","024-967-548",,"$511.00","12/31/2013","$69,000","$69.14","0.92","2","2","CC2","$75,000","358","998","$69.14","0.80","Apartment/Condo","1",,"604-306-8911","3%","Legends - 1/4 share",,"1",,,,"1","V0N 1B2",,,"BC",,,,
"F1325010","Residential Attached","S","109 32119 OLD YALE ROAD","Abbotsford West","1982","Apartment/Condo","31","Abbotsford","Abbotsford","1/30/2014","Von Niessen","1","$778.00","11/1/2013","001-937-758",,"$291.74","12/17/2013","$70,000","$75.43","0.94","1","2","RML","$74,900","46","928","$75.43","0.82","Apartment/Condo","1",,"604-855-0800","S-2.5%","OLD YALE MANOR",,"0",,,,"1","V2T 2C8",,"OWNER NEVER OCCUPIED","BC",,,,
"N227622","Land Only","S","LOT 2 HORSEFLY-QUESNEL LAKE ROAD","Horsefly",,,,"Williams Lake (Zone 27)","Williams Lake","7/15/2014","LINDA BARTSCH",,"$465.00","5/15/2013","028-187-873",,,"12/16/2013","$70,000",,"0.89",,,"RR1","$79,000","215",,,"0.89","House/Single Family",,"Allowed Access","250-620-3440","3.5%","HORSEFLY RIVER","200",,"492.15","Yes",,,"V0L 1L0","Not Known",,"BC","None",,"None","Other"
"N231857","Residential Detached","S","39 1400 WESTERN AVENUE","Williams Lake - City","2004","Manufactured","9","Williams Lake (Zone 27)","Williams Lake","4/30/2014","JILL/JOY","2","$817.00","10/23/2013","800-081-208",,,"12/16/2013","$73,500","$79.55","0.90","2","2","MHP","$82,000","54","924","$79.55","0.90","Manufactured","1",,"250-398-0571","2.6%",,,"0","0.00",,"$320.00",,"V2G 4S6",,,"BC",,,,
"V1027001","Residential Attached","S","210-G4 4653 BLACKCOMB WAY","Benchlands","2000","Apartment/Condo","13","Whistler","Whistler","3/11/2014","Streve Burk","2","$2,168.00","9/12/2013","024-755-931",,,"12/13/2013","$75,400","$78.22","0.97","2","2","TA-13","$77,900","92","964","$78.22","0.97","Apartment/Condo","1",,"604-889-2875","3.5% ON 1ST $100,000 + 1.25% ON BALANCE","Horstman House",,"1",,,,,"V0N 1B4",,"Schedule A overrides PCDS","BC",,,,
"F1326601","Residential Attached","S","207 32040 TIMS AVENUE","Abbotsford West","1980","Apartment/Condo","33","Abbotsford","Abbotsford","6/2/2014","Marie","1","$901.00","12/2/2013","001-814-290","3","$269.00","1/2/2014","$77,000","$78.57","1.00","1","2","RM","$77,000","31","980","$78.57","1.00","Apartment/Condo","1",,"604-309-7501","S-3.22% 1ST 100K/1.15% BAL",,,"0","0.00",,,"1","S7K 2P6",,"never lived in","BC",,,,
"N228913","Residential Detached","S","2708 SPOUT LAKE ROAD","Lac la Hache","9999","Recreational","999","100 Mile House (Zone 10)","Lac La Hache","6/30/2014","RAY CARLSON","0","$771.00","6/25/2013","019-113-757",,,"12/17/2013","$77,500","$133.62","0.86","0","2","R1","$90,000","175","580","$133.62","0.65","Recreational","0",,"250-395-3424","3.4% ON 1ST $100,000/1.5% ON BALANCE",,,"0","0.00",,,,"V0K 1T0",,,"BC",,,,
"H1303992","Residential Detached","S","114 6338 VEDDER ROAD","Sardis East Vedder Rd","1994","Manufactured","19","Sardis","Sardis","1/30/2014","MICHELLE OR BILL","2","$706.00","10/15/2013","796-338-457",,,"12/19/2013","$78,000","$61.61","0.87","2","2","RMH","$89,900","65","1,266","$61.61","0.83","Manufactured","1",,"604-858-7179","3.5% L 1/2 BF","MAPLE MEADOWS",,"0","0.00",,"$375.00",,"V2R 1C6",,"OWNER DOES NOT LIVE HERE","BC",,,,
"F1325613","Residential Attached","S","220 1909 SALTON ROAD","Central Abbotsford","1975","Apartment/Condo","38","Abbotsford","Abbotsford","10/30/2014","Rick Eden","1","$684.00","11/12/2013","000-660-825","3","$291.00","12/18/2013","$80,000","$84.21","0.91","1","2","MF","$87,900","36","950","$84.21","0.91","Apartment/Condo","1",,"604-855-0800","S-3.22% 1ST 100K/1.15% BAL","FOREST VILLAGE-BIRCHWOOD",,"0",,,,"2","V2S 5B6",,"OWNER DOES NOT OCCUPY","BC",,,,
"F1400344","Residential Attached","S","430 1909 SALTON ROAD","Central Abbotsford","1976","Apartment/Condo","38","Abbotsford","Abbotsford","9/30/2014","RICK EDEN","1","$859.00","1/3/2014","001-271-458","4","$278.00","1/3/2014","$85,000","$89.85","0.95","1","2","MF","$89,900","0","946","$89.85","0.95","Apartment/Condo","1",,"604-855-0800","S-3.22% 1ST 100K/1.15% BAL","Forest Village",,"0",,,,"1","V2S 5B6",,"OWNER DOES NOT OCCUPY","BC",,,,
"F1324855","Residential Attached","S","212 32025 TIMS AVENUE","Abbotsford West","1979","Apartment/Condo","34","Abbotsford","Abbotsford","4/30/2014","Nick Van","1","$864.00","10/31/2013","001-748-190","3","$314.11","12/13/2013","$85,000","$79.29","0.95","1","2","RML","$89,700","43","1,072","$79.29","0.95","Apartment/Condo","1",,"604-855-0800","S-3.22% 1ST 100K/1.15% BAL",,,"0",,,,"1","V2T 2H3",,"POA DOESN'T LIVE IN UNIT","BC",,,,
"V1038390","Residential Detached","S","17 5575 MASON ROAD","Sechelt District","1991","Manufactured","22","Sunshine Coast","Sechelt","4/30/2014","GORD","1",,"12/3/2013","800-082-267",,,"12/14/2013","$85,000","$100.00","0.96","1","2","R-3","$89,000","11","850","$100.00","0.96","Manufactured","1",,"604-885-4313","3.255%",,,"1","0.00",,"$335.00",,"V0N 3A8",,,"BC",,,,
"N229108","Residential Detached","S","1288 HLADY ROAD","Quesnel - Rural North","1977","Manufactured with Land","36","Quesnel (Zone 28)","Quesnel","1/31/2014",,"1","$613.00","6/29/2013","007-596-961",,,"12/29/2013","$90,000","$77.99","0.91","1","3","RR1","$99,500","183","1,154","$77.99","0.91","Manufactured with Land","1",,,"3%","N",,"1","0.00",,,,"V2J 6Y1",,,"BC",,,,
"F1301711","Residential Detached","S","35 3300 HORN STREET","Central Abbotsford","1981","Manufactured","32","Abbotsford","Abbotsford","3/31/2014","STEVE","2",,"1/18/2013","900-565-441",,,"12/20/2013","$90,000","$69.44","0.82","2","2","MHP","$109,900","336","1,296","$69.44","0.75","Manufactured","1",,"604-302-3882","S-3% 1ST 100K/1% BAL","GEORGIAN PARK",,"0","0.00",,"$570.00","3","V2S 7Y4",,"UPON OFFER","BC",,,,
"N231924","Land Only","S","N 129TH ROAD","Fort St. John - Rural E 100th",,,,"Fort St. John (Zone 60)","Fort St. John","9/30/2014","SANDY",,"$147.00","10/29/2013","008-561-613",,,"1/2/2014","$92,500",,"0.74",,,"A2","$125,000","65",,,"0.74","Other",,"Road Access","250-793-5705","3.0% ON THE 1ST $100,000/ 1.5% ON THE BALANCE",,,,"0.00","No",,,"V0C 2G0","No",,"BC","None",,"None","None"
"V1024088","Residential Attached","S","202 11957 223RD STREET","West Central","1978","Apartment/Condo","35","Maple Ridge","Maple Ridge","2/28/2014","TARYN OR BRIAN","1","$1,205.00","8/23/2013","000-550-795","3","$317.91","1/2/2014","$92,500","$91.58","0.77","1","2","RM1","$119,900","132","1,010","$91.58","0.69","Apartment/Condo","1",,"778-233-5695","3.255% ON 1ST $100,000/1.1625% ON BAL","ALOUETTE APARTMENTS",,"1",,,,"1","V2X 5Y4",,"ELDERLY CLIENT","BC",,,,
"V1038987","Residential Detached","S","211 TYEE DRIVE","Park Royal","1969","Manufactured","44","West Vancouver","West Vancouver","4/16/2014","Molly","1","$615.00","12/12/2013","800-124-972",,,"12/17/2013","$93,000","$101.09","0.98","1","2","MHP","$95,000","5","920","$101.09","0.98","Manufactured","0",,"604-649-8850","3%","Capilano River Park",,"1","0.00",,"$640.13","2","V7T 1C8",,,"BC",,,,
"V1003477","Residential Attached","S","1 2433 KELLY AVENUE","Central Pt Coquitlam","1973","Apartment/Condo","40","Port Coquitlam","Port Coquitlam","12/31/2013","Angela","1","$653.00","4/23/2013","001-145-886",,"$228.00","12/16/2013","$95,000","$150.79","0.96","1","1","APT","$99,000","237","630","$150.79","0.79","Apartment/Condo","1",,"604-710-1452","3.255% ON THE 1ST $100,000 & 1.1625% ON THE BALANC","Orchard Valley",,"0",,,,"1","V3C 1Y3",,,"BC",,,,
"V1037915","Residential Detached","S","98 201 E CAYER STREET","Maillardville","1998","Manufactured","15","Coquitlam","Coquitlam","3/31/2014","NICK WALKER","2","$570.00","12/2/2013","800-082-121",,,"12/23/2013","$98,050","$92.85","0.93","2","2","MANUF","$105,000","21","1,056","$92.85","0.93","Manufactured","1",,"604-942-0606","8%",,,"1",,,"$646.00",,"V3K 5A9",,,"BC",,,,
"N228345","Residential Detached","S","9716 NAZKO ROAD","Bouchie Lake","9999","House with Acreage","999","Quesnel (Zone 28)","Quesnel","12/31/2013","BILL","0","$461.00","6/10/2013","006-507-514",,,"12/21/2013","$99,000","$68.23","1.00","1","4","RR1","$99,000","194","1,451","$68.23","1.00","House with Acreage","1",,"250-983-9522","3%",,,"0","0.00",,,,"V2J 3H9",,,"BC",,,,
"N228328","Land Only","S","MILE 309 HIGHWAY","Fort Nelson - Rural",,,,"Fort Nelson (Zone 64)","Fort Nelson","12/5/2013","CATHLEEN",,"$768.00","6/5/2013","026-153-815",,,"12/13/2013","$100,000",,"0.50",,,"A-1","$199,000","191",,,"0.54","Other",,"Road Access","250-321-0777","2.75% ON 1ST $100,000/1.5% ON THE BALANCE",,,,"0.00","Yes",,,"V0C 1R0",,,"BC","None",,"None","None"
"N230481","Residential Detached","S","987 AMBROSE AVENUE","Prince Rupert - City","1966","House/Single Family","47","Prince Rupert (Zone 52)","Prince Rupert","2/26/2014","JEFF CLARKE","2","$2,366.00","8/26/2013","010-760-598",,,"12/16/2013","$102,500","$49.56","0.73","2","4","R2","$139,900","112","2,068","$49.56","0.73","House/Single Family","1",,"250-624-9444","3% ON 1ST $100,000/1.5% ON BALANCE",,"100","0","62.50",,,"3","V8J 2C5",,,"BC",,,,
"N226968","Residential Detached","S","226 4TH AVENUE","Burns Lake - Town","9999","Manufactured with Land","999","Burns Lake (Zone 55)","Burns Lake","4/30/2014","DOUG","2","$1,701.00","5/3/2013","009-421-459",,,"12/18/2013","$102,500","$44.76","0.95","2","4","R1","$107,900","229","2,290","$44.76","0.95","Manufactured with Land","2",,"250-692-7288","3% ON THE 1ST $100,000 1.5% ON THE REMAINDER",,"0","0","0.00",,,,"V0J 1E0",,,"BC",,,,
"N231956","Residential Detached","S","8964 OLD SUMMIT LAKE ROAD","Old Summit Lake Road","1973","Manufactured with Land","40","PG City North (Zone 73)","Prince George","1/17/2014","BILL","1","$1,083.00","10/29/2013","013-000-233",,,"12/20/2013","$106,000","$88.33","0.97","1","2","AR2","$109,900","52","1,200","$88.33","0.97","Manufactured with Land","1",,"250-565-4690","2.7%","OLD SUMMIT LAKE RD SOUTH","190","1","170.00",,,,"V2K 5S7",,,"BC",,,,
"V1035407","Residential Attached","S","134 8051 RYAN DRIVE","South Arm","1970","Apartment/Condo","43","Richmond","Richmond","2/28/2014","CAAN","1","$0.00","11/6/2013","800-081-479",,"$375.00","12/18/2013","$106,000","$154.74","0.90","1","1","RES","$118,000","42","685","$154.74","0.90","Apartment/Condo","1",,"604-723-7288","3.255%-1ST $100K/1.1625% BAL",,,"0",,,,"1","V7A 2E4",,"TENANTED","BC",,,,
"F1318287","Residential Detached","S","82 20071 24TH AVENUE","Brookswood Langley","1980","Manufactured","33","Langley","Langley","1/16/2014","Frank Rayner or Barb Patrick","2","$801.00","7/29/2013","900-568-173",,,"12/30/2013","$110,000","$88.14","0.95","2","2","MH1","$115,900","154","1,248","$88.14","0.76","Manufactured","1",,"604-530-0231","S-3.22% 1ST 100K/1.15% BAL","Fernridge Park",,"1","0.00",,"$511.00","2","V2Z 2A1",,,"BC",,,,
"N232658","Land Only","S","118 BILL ROAD","Prince Rupert - City",,,,"Prince Rupert (Zone 52)","Prince Rupert","6/30/2014","JEFF CLARKE",,"$1,259.00","12/31/2013","024-026-352",,,"12/31/2013","$110,000","$21.06","1.00",,,"R2","$110,000","0",,"$21.06","1.00","House/Single Family",,"Road Access","250-624-9444","$2500",,"98.9",,"52.80","No",,,"V8J 4S4",,,"BC","At Lot Line",,"At Lot Line","City/Municipal"
"N224205","Multifamily","S","890-894 OCEANVIEW DRIVE","Port Edward","9999","Duplex","999","Prince Rupert (Zone 52)","Port Edward","3/31/2014","KEITH LAMBOURNE","2","$2,293.00","1/16/2013","007-902-182",,,"12/17/2013","$113,000","$40.36","0.88","2","6","R2","$129,000","335","2,800","$40.36","0.88","Duplex","2",,"250-622-8546","3% ON 1ST $100,000/1.5% ON BALANCE",,,"0","0.00",,,,"V0V 1G0",,,"BC",,,,
