"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N231502","Residential Detached","S","2207 OMINECA AVENUE","Hazelton","9999","House/Single Family","999","Smithers And Area (Zone 54)","New Hazelton","4/1/2014","TINA","2","$0.00","10/7/2013","009-578-382",,,"11/12/2013","$65,000","$32.13","0.72","2","4","R1","$89,900","36","2,023","$32.13","0.72","House/Single Family","1",,"250-847-3144","SEE REALTOR REMARKS",,"66","1","100.00",,,"3","V0J 2J1",,,"BC",,,,
"N230692","Residential Detached","S","1324 GOOSE COUNTRY ROAD","Old Summit Lake Road","1980","Manufactured with Land","33","PG City North (Zone 73)","Prince George","1/14/2014","DARREN","1","$1,222.00","9/3/2013","018-825-451",,,"11/19/2013","$65,000","$66.33","0.68","1","3","AR2","$95,000","77","980","$66.33","0.59","Manufactured with Land","1",,"250-640-5585","2.25% OF THE SALE PRICE",,,"0","0.00",,,,"V2K 5S6",,,"BC",,,,
"F1323638","Residential Attached","S","109 1909 SALTON ROAD","Central Abbotsford","1976","Apartment/Condo","37","Abbotsford","Abbotsford","1/30/2014","Rick Eden","1","$659.00","10/9/2013","001-271-962","3","$204.00","11/21/2013","$65,000","$106.91","0.93","1","1","MF","$69,900","43","608","$106.91","0.93","Apartment/Condo","1",,"604-855-0800","S-3.22% 1ST 100K/1.15% BAL","FOREST RIDGE - ALDER PLACE",,"0",,,,"1","V2S 5B6",,"OWNER DOES NOT OCCUPY","BC",,,,
"N224463","Land Only","S","29 BANYAY STREET","Kitimat",,,,"Kitimat (Zone 89)","Kitimat","1/25/2014","SHARON NICHOLS",,"$326.00","1/25/2013","005-651-824",,,"11/14/2013","$66,000","$11.73","0.96",,,"R1B","$69,000","293",,"$11.73","1.12","House/Single Family",,"Allowed Access","250-279-2146","3% ON 1ST $100,000","WHITESAIL",,,"0.00","Yes",,,"V8C 2P5","No","LAND UNDER 1 ACRE","BC","At Lot Line",,"At Lot Line","City/Municipal"
"H1303428","Residential Attached","S","218 1735 AGASSIZ-ROSEDALE HIGHWAY","Agassiz","1978","Apartment/Condo","35","Agassiz","Agassiz","12/31/2013","ANN WALLIS","1","$555.00","8/31/2013","001-025-082","3","$205.54","11/12/2013","$67,000","$78.09","0.96","1","2","RM2","$69,900","73","858","$78.09","0.96","Apartment/Condo","1",,"604-796-3000","3.5% L 1/2 BF**","WOODSIDE TERRACE","0","0","0.00",,,"1","V0M 1A3",,,"BC",,,,
"F1324344","Residential Attached","S","303 32089 OLD YALE ROAD","Abbotsford West","1978","Apartment/Condo","35","Abbotsford","Abbotsford","4/21/2014","Nell Haygarth","1","$847.00","10/21/2013","000-787-761","3","$176.00","11/15/2013","$69,900","$80.34","0.90","1","1","RML","$77,500","25","870","$80.34","0.90","Apartment/Condo","1",,"604-220-2846","S-$3000","HEATHER RIDGE",,"0",,,,"1","V2T 2C8",,"ESTATE SALE","BC",,,,
"F1324542","Residential Detached","S","41 2315 198TH STREET","Brookswood Langley","1985","Manufactured","28","Langley","Langley","3/31/2014","FRANK RAYNER OR BARB PATRICK","1","$487.00","10/22/2013","900-569-064",,,"11/18/2013","$70,000","$75.76","0.94","1","2","MH-1","$74,900","27","924","$75.76","0.94","Manufactured","1",,"604-530-0231","S-3%","Deer Creek Estates","0","1","0.00",,"$620.00","2","V2Z 1Z1",,"ESTATE SALE","BC",,,,
"F1323444","Residential Attached","S","309 32025 TIMS AVENUE","Abbotsford West","1979","Apartment/Condo","34","Abbotsford","Abbotsford","10/31/2014","TOUCHBASE","1","$844.00","10/4/2013","001-748-289","3","$287.44","11/18/2013","$70,500","$71.94","0.86","1","2","MF","$81,999","45","980","$71.94","0.82","Apartment/Condo","1",,"604-308-1455","S-3.44% 1ST 100K/1.15% BAL","Elmwood Manor",,"0",,,,"1","V2T 2H3",,"SELLER NEVER LIVED THERE","BC",,,,
"V1026697","Residential Attached","S","29 21555 DEWDNEY TRUNK ROAD","West Central","1970","Townhouse","43","Maple Ridge","Maple Ridge","12/5/2013","TOUCHBASE","1","$1,626.00","9/5/2013","000-996-441",,"$242.84","11/12/2013","$71,250","$69.85","0.94","2","2","RM-1","$75,900","68","1,020","$69.85","0.60","Townhouse","1",,"604-513-2300","2.5575%-1ST $100K/0.75% BAL","RICHMOND COURT",,"1",,,,"1","V2X 3G5",,"COURT ORDERED SALE","BC",,,,
"N230634","Residential Detached","S","52 7414 FOREST LAWN STREET","Fort St. John - Rural E 100th","1992","Manufactured","21","Fort St. John (Zone 60)","Fort St. John","4/30/2014","ARLEN BREKKAAS","2","$381.00","9/1/2013","800-079-514",,,"11/12/2013","$74,000","$80.09","0.93","2","2","MHP","$79,900","72","924","$80.09","0.93","Manufactured","1",,"250-785-1234","3%",,,"0","0.00",,"$310.00",,"V1J 4M6",,,"BC",,,,
"N231526","Land Only","S","NAZKO HIGHWAY","Bouchie Lake",,,,"Quesnel (Zone 28)","Quesnel","10/9/2014","BOB GRANHOLM",,"$567.00","10/9/2013","015-006-395",,,"11/19/2013","$77,500",,"0.91",,,"R/A","$85,600","41",,,"0.91","House/Single Family",,"Road Access","250-983-3372","4%",,,,"0.00","Yes",,,"V2J 7G3","Not Known",,"BC","None",,"None","None"
"F1319640","Residential Detached","S","179 3665 244 STREET","Otter District","1980","Manufactured","33","Langley","Langley","2/15/2014","Rosemary","2","$320.00","8/19/2013","900-568-332",,,"11/14/2013","$78,500","$67.09","0.99","2","2","MH-1","$79,500","87","1,170","$67.09","0.94","Manufactured","1",,"604-513-2300","S-3.25%","Langley Grove Estates",,"1","0.00",,"$581.00","2","V2Z 1N1",,,"BC",,,,
"N231708","Residential Detached","S","5002 GLOINNZUN DRIVE","108 Ranch","1998","House with Acreage","15","100 Mile House (Zone 10)","108 Mile Ranch","1/17/2014","BRENDA","1","$1,088.00","10/17/2013","006-543-553",,,"11/21/2013","$80,000","$139.86","0.80","1","1","R1-1","$99,900","35","572","$139.86","0.70","House with Acreage","1",,"250-706-2518","3.4% ON 1ST $100,000 AND 1.5% ON REMAINDER","108 MILE RANCH",,"0","0.00",,,,"V0K 2Z0",,,"BC",,,,
"N231800","Residential Detached","S","314 BURDEN STREET","Central","9999","House/Single Family","999","PG City Central (Zone 72)","Prince George","4/30/2014","SUMMER","1","$1,919.00","10/23/2013","007-496-702",,,"11/13/2013","$85,000","$50.00","0.77","1","2","RS2","$109,900","21","1,700","$50.00","0.77","House/Single Family","1",,"250-679-6789","3% ON 1ST $100,000/1.5% ON BALANCE",,"110","0","60.00",,,"2","V2M 2H3",,,"BC",,,,
"N231425","Residential Detached","S","2040 DUKE AVENUE","Houston - Town","9999","House/Single Family","999","Houston (Zone 53)","Houston","3/31/2014","LIA","1","$1,378.00","10/3/2013","010-596-615",,,"11/22/2013","$90,000","$83.33","0.78","1","3","R-2","$114,900","50","1,080","$83.33","0.78","House/Single Family","1",,"250-845-1147","3% AND 1.5%",,,"0","0.00",,,,"V0J 1Z0",,,"BC",,,,
"N231765","Residential Attached","S","16 GANDER CRESCENT","Kitimat","1956","Townhouse","57","Kitimat (Zone 89)","Kitimat","1/24/2014","Ilona Kenny","1","$1,109.00","10/22/2013","012-074-438",,,"11/21/2013","$91,000","$70.00","0.85","1","3","R1C","$107,000","30","1,300","$70.00","0.85","Townhouse","1",,"250-632-1021","3% ON THE 1ST $100,000 / 1.5% ON THE REMAINDER",,,"0","0.00",,,,"V8C 1P0",,,"BC",,,,
"N229747","Residential Detached","S","932 DOUGLAS STREET","Central","9999","House/Single Family","999","PG City Central (Zone 72)","Prince George","12/31/2013","LR","0","$1,195.00","7/20/2013","004-746-775",,,"11/20/2013","$91,000","$91.00","0.91","0","2","RS2","$99,900","123","1,000","$91.00","0.91","House/Single Family","1",,"250-613-2700","3%",,,"0","0.00",,,"1","V2M 2M7",,,"BC",,,,
"N231642","Land Only","S","5655 GRAVES ROAD","North Blackburn",,,,"PG City South East (Zone 75)","Prince George","10/31/2014","DELORES ST. AMAND",,"$1,174.00","10/15/2013","008-601-666",,,"11/13/2013","$94,500",,"0.88",,,"AF","$108,000","29",,,"0.88","House/Single Family",,"Road Access","250-960-9152","3.5%",,,,"0.00","No",,,"V2N 6E9","Not Known",,"BC","None",,"None","None"
"H1302946","Residential Attached","S","105 45775 SPADINA AVENUE","Chilliwack W Young-Well","1995","Apartment/Condo","18","Chilliwack","Chilliwack","12/19/2013","KELLY","1","$925.00","7/19/2013","018-710-913","3","$206.74","11/13/2013","$95,000","$103.94","0.95","1","1","R5","$99,900","117","914","$103.94","0.95","Apartment/Condo","1",,"604-703-5564","3% 1ST 100K/1% BAL L 1/2 BF","IVY GREEN",,"1",,,,"1","V2P 1T5",,,"BC",,,,
"N232055","Residential Detached","S","205 BLACKSTOCK ROAD","100 Mile House - Town","1971","House/Single Family","42","100 Mile House (Zone 10)","100 Mile House","2/6/2014","GISELA/MICHELLE","1","$2,145.00","11/6/2013","008-805-890",,,"11/13/2013","$98,000","$50.94","0.82","1","3","R1","$119,000","7","1,924","$50.94","0.82","House/Single Family","1",,"250-706-1186","2.15% ON 1ST $150,000/ 1.15% ON BALANCE","BLACKSTOCK","200","0","75.00",,,"4","V0K 2E0",,,"BC",,,,
"F1316064","Residential Attached","S","302 31850 UNION AVENUE","Abbotsford West","1987","Apartment/Condo","26","Abbotsford","Abbotsford","12/27/2013","Lina Mincova","1","$848.00","6/27/2013","005-181-143","3","$250.64","11/20/2013","$99,000","$98.02","0.97","2","2","RML","$102,000","146","1,010","$98.02","0.93","Apartment/Condo","1",,"604-782-0740","S-3.2% 1ST 100K/1.15% BAL","FERNWOOD MANOR",,"0",,,,"1","V2T 4V2",,"UPON OFFER","BC",,,,
"N229028","Land Only","S","13195 PARK FRONT ROAD","Lakeshore",,,,"Fort St. John (Zone 60)","Charlie Lake","12/20/2013","RON RODGERS",,"$769.00","7/4/2013","012-247-723",,,"11/18/2013","$100,000",,"0.74",,,"R2","$136,000","137",,,"0.69","House/Single Family",,"Road Access","250-785-4115","3% ON 1ST $100,000/1.5% ON REM OF PURCHASE PRICE",,,,"0.00","Yes",,,"V0C 1H0","Not Known",,"BC","Lagoon",,"None","Cistern"
"H1304178","Residential Attached","S","110 45555 YALE ROAD","Chilliwack W Young-Well","2008","Apartment/Condo","5","Chilliwack","Chilliwack","2/4/2014","TIBOR","2","$1,036.00","11/4/2013","027-467-708","4","$220.00","11/14/2013","$100,000","$116.96","0.91","2","2","R6","$110,000","10","855","$116.96","0.91","Apartment/Condo","1",,"604-855-0800","2.2% 1ST 100K/1.15% BAL L 1/2 BF","THE VIBE",,"0",,,,,"V2P 0A9",,"COURT ORDER SCHEDULE A","BC",,,,
"V1034071","Residential Attached","S","317 707 EIGHTH STREET","Uptown NW","1977","Apartment/Condo","36","New Westminster","New Westminster","4/30/2014","JAY","1","$660.00","10/29/2013","001-554-531","3","$220.11","11/12/2013","$102,000","$247.57","0.94","1","0","MULTI","$109,000","14","412","$247.57","0.94","Apartment/Condo","1",,"604-230-4882","3.255% ON 1ST 100K/ 1.1624% ON BAL.","DIPLOMAT",,"0",,,,"1","V3M 3S6",,,"BC",,,,
"V1032936","Residential Attached","S","303 1948 COQUITLAM AVENUE","Glenwood PQ","1982","Apartment/Condo","31","Port Coquitlam","Port Coquitlam","10/31/2014","RAYMOND","1","$651.00","10/21/2013","001-961-438","3","$223.00","11/17/2013","$105,500","$200.19","0.91","1","1","APT","$115,900","27","527","$200.19","0.91","Apartment/Condo","1",,"604-327-2378","2.5% ON 1ST 100K/1.1% ON BAL",,,"0",,,,,"V3B 1J3",,,"BC",,,,
"N231916","Residential Detached","S","625 HIGDON STREET","Quesnel - Town","9999","House/Single Family","999","Quesnel (Zone 28)","Quesnel","1/31/2014","WAYNE/BOBBI","2","$1,554.00","10/31/2013","010-201-254",,,"11/21/2013","$106,150","$55.29","1.02","2","4","RS1","$104,390","21","1,920","$55.29","1.02","House/Single Family","1",,"250-992-7202","3% 1ST $100,000/ 1.5% ON REMAINDER",,"114","0","56.00",,,,"V2J 1T2",,,"BC",,,,
"N230767","Land Only","S","2584 CHANCELLOR STREET","Charella/Starlane",,,,"PG City South (Zone 74)","Prince George","9/5/2014","DARCY",,"$1,587.00","9/5/2013","028-904-842",,,"11/19/2013","$113,000",,"0.90",,,"RS2","$125,000","75",,,"0.90","House/Single Family",,"Road Access","250-565-5036","1.5%",,"47.196",,"59.07","Yes",,,"V2N 0C8","No","LAND UNDER 1 ACRE","BC","At Lot Line",,"At Lot Line","City/Municipal"
"N225465","Residential Detached","S","1344 PIGOTT AVENUE","Prince Rupert - City","9999","House/Single Family","999","Prince Rupert (Zone 52)","Prince Rupert","12/31/2013","MIKE MORSE","1","$1,484.00","3/15/2013","012-551-911",,,"11/18/2013","$115,000","$77.49","0.94","1","3","R2","$121,900","248","1,484","$77.49","0.94","House/Single Family","1",,"250-600-6620","3% ON 1ST $100,000/1.5% ON REMAINDER",,"80","0","40.00",,,,"V8J 2C9",,,"BC",,,,
"H1303135","Residential Attached","S","61 45185 WOLFE ROAD","Chilliwack W Young-Well","1978","Townhouse","35","Chilliwack","Chilliwack","12/31/2013","NICOLE","1","$1,209.00","8/6/2013","023-177-799",,"$178.00","11/12/2013","$116,250","$88.07","0.90","1","3","R5","$129,000","98","1,320","$88.07","0.84","Townhouse","1",,"604-793-9900","$3500 L 1/2 BF","TOWNSEND GREEN",,"0",,,,"2","V2P 1V5",,"NEVER LIVED THERE","BC",,,,
"F1316452","Residential Detached","S","245 20071 24TH AVENUE","Brookswood Langley","1988","Manufactured","25","Langley","Langley","12/20/2013","L.R.","2","$1,647.00","7/5/2013","900-567-928",,,"11/22/2013","$117,000","$80.91","0.90","2","2","MH-1","$129,900","140","1,446","$80.91","0.87","Manufactured","1",,"604-597-1664","S-3.22% 1ST 100K/1.15% BAL","Fernridge Park",,"1","0.00",,"$534.00","2","V2Z 2A1",,"AT OFFER","BC",,,,
"H1303528","Residential Attached","S","315 46289 YALE ROAD","Chilliwack E Young-Yale","2008","Apartment/Condo","5","Chilliwack","Chilliwack","12/31/2013","DEEP DHILLLON","2","$957.00","9/9/2013","027-587-703",,"$231.00","11/18/2013","$118,900","$134.96","0.92","2","2","R6","$129,999","70","881","$134.96","0.79","Apartment/Condo","1",,"604-832-0480","3.22% 1ST 100K/1.15% BAL L 1/2 BF","NEWMARK",,"0",,,,,"V2P 0B9",,"OWNER NEVER LIVED IN","BC",,,,
"F1324700","Residential Detached","S","53 2270 196TH STREET","Brookswood Langley","2009","Manufactured","4","Langley","Langley","2/28/2014","REID","2","$660.00","10/26/2013","900-569-107",,,"11/20/2013","$120,000","$116.73","0.96","2","2","RM1","$124,900","25","1,028","$116.73","0.96","Manufactured","1",,"604-533-3491","S-3.22% 1ST 100K/1.15% BAL*","Pineridge Mobile Home Park",,"0","0.00",,"$460.00","2","V2Z 1N6",,,"BC",,,,
"V1017439","Residential Attached","S","303 1490 PORTAGE ROAD","Pemberton","2004","Apartment/Condo","9","Pemberton","Pemberton","12/31/2013","DANIELLE MENZEL","1","$1,302.00","7/7/2013","025-965-166",,"$75.00","11/16/2013","$120,000","$221.40","0.95","1","1","C2","$127,000","132","542","$221.40","0.95","Apartment/Condo","1",,"604-698-5128","3% ON 1ST $100,000/1.5% ON BAL**PHYSICAL INTRODUCT","PEMBERTON VALLEY LODGE",,"1",,,,"1","V0N 2L1",,,"BC",,,,
"N229558","Residential Detached","S","105 MOBERLY CRESCENT","Mackenzie -Town","1973","House/Single Family","40","Mackenzie (Zone 69)","Mackenzie","12/31/2013","LYNDA","1","$1,360.00","7/22/2013","010-181-474",,,"11/21/2013","$123,000","$66.63","0.95","1","4","R1","$128,900","122","1,846","$66.63","0.95","House/Single Family","1",,"250-997-6773","FLAT FEE $1500.00",,"0","0","0.00",,,"2","V0J 2C0",,,"BC",,,,
"H1300708","Residential Detached","S","96 9055 ASHWELL ROAD","Chilliwack W Young-Well","1990","Manufactured","23","Chilliwack","Chilliwack","1/31/2014","RON OR BOB","1","$886.00","2/20/2013","700-008-644",,,"11/13/2013","$123,750","$96.23","0.95","1","2","RSV3","$129,900","266","1,286","$96.23","0.77","Manufactured","1",,"604-858-7179","3.5% 1ST 100K/1.25% BAL 1/2 BF","RAINBOW ESTATES",,"0","0.00",,"$180.00","4","V2P 7S6",,,"BC",,,,
"N231291","Land Only","S","11023 105TH AVENUE","Fort St. John - City NW",,,,"Fort St. John (Zone 60)","Fort St. John","1/3/2014","KEVIN",,"$0.00","9/30/2013","029-142-199",,,"11/15/2013","$125,000",,"0.93",,,"R1","$135,000","46",,,"0.93","House/Single Family",,"Road Access","250-785-8051","3% ON THE 1ST $100,000 & 1.5% ON THE BALANCE.","SUNSET RIDGE","114.64",,"60.02","Yes",,,"V1J 0J3","Not Known",,"BC","At Lot Line",,"At Lot Line","City/Municipal"
"N231314","Land Only","S","10612 109A STREET","Fort St. John - City NW",,,,"Fort St. John (Zone 60)","Fort St. John","1/3/2014","KEVIN",,"$0.00","9/30/2013","029-142-423",,,"11/15/2013","$125,000",,"0.93",,,"R1","$135,000","46",,,"0.93","House/Single Family",,"Road Access","250-785-8051","3% ON THE 1ST $100,000 & 1.5% ON THE BALANCE.","SUNSET RIDGE","124.64",,"59.04","Yes",,,"V1J 0J3","Not Known",,"BC","At Lot Line",,"At Lot Line","City/Municipal"
"N228404","Residential Detached","S","524 BARNARD STREET","Williams Lake - City","9999","House/Single Family","999","Williams Lake (Zone 27)","Williams Lake","2/28/2014","JANETTE","1","$1,679.00","6/11/2013","013-676-491",,,"11/14/2013","$125,000","$68.31","0.96","1","2","R1","$130,000","156","1,830","$68.31","0.84","House/Single Family","1",,"250-267-4371","2.8% ON THE 1ST $100,000/ 1.2% ON THE BALANCE",,"132.00","0","70.00",,,"6","V2G 1G4",,,"BC",,,,
"V1028604","Residential Attached","S","203 605 COMO LAKE AVENUE","Coquitlam West","1970","Apartment/Condo","43","Coquitlam","Coquitlam","12/31/2013","MARGE","1","$1,130.00","9/18/2013","001-059-203","3","$178.95","11/18/2013","$125,000","$178.57","1.00","1","1","APT","$124,800","61","700","$178.57","0.91","Apartment/Condo","1",,"604-838-2675","3.255% ON 1ST $100,000/1.1625% ON BAL",,,"0",,,,"1","V3J 3M5",,"OLDER GENTLEMAN","BC",,,,
