"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"V1034168","Residential Attached","S","310B 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","12","Whistler","Whistler","3/30/2014","FRONT DESK","1","$1,200.00","10/28/2013","800-081-232",,"$380.00","12/2/2013","$51,000","$74.78","0.93","1","1","CC2","$55,000","35","682","$74.78","0.93","Apartment/Condo","1",,"604-938-9999","2%","LEGENDS",,"1",,,,"1","V0N 1B2",,,"BC",,,,
"V1038832","Residential Attached","S","202 5911 MINORU BOULEVARD","Brighouse","1999","Other","14","Richmond","Richmond","6/30/2014","KASANDRA","1","$1,116.00","12/11/2013","024-509-736",,"$154.16","12/12/2013","$55,000","$115.30","0.92","1","0","CDT-1","$59,900","1","477","$115.30","0.92","Other","0",,"604-273-6649","3.255% OF TOTAL SALE",,,"0",,,,,"V6X 4C7",,,"BC",,,,
"N232447","Residential Attached","S","1740 JAMAICA AVENUE","Prince Rupert - City","1974","1/2 Duplex","39","Prince Rupert (Zone 52)","Prince Rupert","6/4/2014","JEFF CLARKE","1","$950.00","12/4/2013","007-734-646",,,"12/13/2013","$56,000","$43.75","0.95","2","3","R2","$59,000","9","1,280","$43.75","0.95","1/2 Duplex","1",,"250-624-9444","3%",,"100","0","25.00",,,"1","V8J 2Y5",,,"BC",,,,
"N228298","Residential Attached","S","2370 VICTORIA STREET","VLA","1975","1/2 Duplex","38","PG City Central (Zone 72)","Prince George","6/30/2014","LEAH","1","$903.00","6/10/2013","014-034-981",,,"12/11/2013","$58,000","$26.36","0.89","1","4","URT4","$64,900","184","2,200","$26.36","0.83","1/2 Duplex","1",,"250-961-0153","3%","VLA",,"0","0.00",,,"2","V2J 4Z5",,,"BC",,,,
"N232164","Residential Detached","S","75 1561 KITSUL ROAD","McLeese Lake","2007","Manufactured","6","Williams Lake (Zone 27)","McLeese Lake","5/31/2014","COURT OR PAULINE","1","$497.00","11/15/2013","800-081-681",,,"12/1/2013","$60,000","$63.97","0.92","2","2","R-5","$64,900","16","938","$63.97","0.92","Manufactured","1",,"250-392-5959","3.0%",,,"0","0.00",,"$225.00","2","V0L 1P0",,,"BC",,,,
"V1010561","Residential Attached","S","229 D 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","12","Whistler","Whistler","4/30/2014","AMBER MANN","2",,"5/31/2013","025-173-618",,"$454.00","12/3/2013","$64,000","$70.18","0.90","2","2","CC2","$71,000","186","912","$70.18","0.81","Apartment/Condo","1",,"604-905-2802","3.5%","LEGENDS",,"1",,,,"1","V0N 1B2",,,"BC",,,,
"N231791","Land Only","S","LOT 14 CATHERINE DRIVE","Miworth",,,,"PG Rural West (Zone 77)","Prince George","10/31/2014","ANGELA",,"$448.00","10/17/2013","004-678-982",,,"12/5/2013","$65,000",,"1.00",,,"RR1","$64,900","49",,,"1.00","House/Single Family",,"Road Access","250-565-7505","3","WEST CRANBROOK HILL ESTATES",,,"0.00","No",,,"V2M 7B5",,,"BC","None",,"None","Well - Drilled"
"N231200","Land Only","S","6425 CRANBROOK HILL ROAD","Cranbrook Hill",,,,"PG City West (Zone 71)","Prince George","1/31/2014","TIM",,"$1,000.00","9/19/2013","009-887-814",,,"12/12/2013","$65,000",,"0.93",,,"AR-2","$69,900","84",,,"0.81","Other",,"Lane Access","250-640-8899","3% OF SALE PRICE",,"0",,"0.00","Yes",,,"V2M 7C7","Not Known",,"BC","Unknown",,"None","None"
"N231853","Residential Detached","S","316 W 5TH AVENUE","Prince Rupert - City","1935","House with Acreage","78","Prince Rupert (Zone 52)","Prince Rupert","3/14/2014","MIKE MORSE","1","$1,463.00","10/28/2013","014-695-162",,,"12/8/2013","$65,000","$37.02","0.87","1","3","R2","$75,000","41","1,756","$37.02","0.87","House with Acreage","1",,"250-600-6620","3% ON 1ST $100,000/1.5% ON REMAINDER",,"100","0","25.00",,,"1","V8J 1T5",,,"BC",,,,
"H1304224","Residential Attached","S","202C 45655 MCINTOSH DRIVE","Chilliwack W Young-Well","1994","Apartment/Condo","19","Chilliwack","Chilliwack","3/1/2014","HANNE","1","$704.00","11/6/2013","017-909-619","3","$101.19","12/13/2013","$65,500","$96.32","0.94","1","1","R5","$69,800","37","680","$96.32","0.94","Apartment/Condo","1",,"604-795-0280","3% L 1/2 BF","MCINTOSH PLACE",,"0",,,,"1","V2P 6V4",,"BUYER HAS NOT LIVED THERE","BC",,,,
"N227629","Land Only","S","308 BLACKSTOCK ROAD","100 Mile House - Town",,,,"100 Mile House (Zone 10)","100 Mile House","10/31/2014","MEL OR ADAM",,"$0.00","5/15/2013","029-001-102",,,"12/11/2013","$68,000",,"0.85",,,"ER 2","$79,900","210",,,"0.85","House/Single Family",,"Road Access","250-395-3424","3.4%","BLACKSTOCK ESTATES","78.70",,"96.43","Yes",,,"V0K 2E1",,"LAND UNDER 1 ACRE","BC","At Lot Line",,"At Lot Line","City/Municipal"
"N231628","Multifamily","S","1192 WEST FRASER ROAD","Quesnel Rural - South","9999","Fourplex","999","Quesnel (Zone 28)","Quesnel","12/30/2013","LESLIE OR CLAUDIA","4","$1,733.00","10/11/2013","010-297-065",,,"12/8/2013","$68,500","$18.30","1.25","4","8","R2","$54,900","58","3,744","$18.30","1.06","Fourplex","4",,"250-992-7202","2.5%",,,"0","0.00",,,"10","V2J 1J2",,,"BC",,,,
"F1318121","Residential Detached","S","62 8254 134 STREET","Queen Mary Park Surrey","1980","Manufactured","33","Surrey","Surrey","1/29/2014","TOUCHBASE RAY","2","$336.00","7/29/2013","900-568-166",,,"12/8/2013","$70,000","$60.76","0.88","2","2","MHP","$79,800","132","1,152","$60.76","0.78","Manufactured","1",,"604-581-3838","S-4%","WESTWOOD ESTATES","80","0","40.00",,"$619.00","2","V3W 6M2",,"ESTATE SALE","BC",,,,
"V1035737","Residential Attached","S","304 11957 223RD STREET","West Central","1976","Apartment/Condo","37","Maple Ridge","Maple Ridge","3/31/2014","JOHN JOHNSON","1","$1,052.00","11/8/2013","001-326-589","3","$237.01","12/4/2013","$70,000","$93.33","0.83","1","1","STRATA","$84,500","26","750","$93.33","0.83","Apartment/Condo","1",,"604-727-5531","3.255% ON 1ST $100,000./ & 1.1625% ON BALANCE","THE ALOUETTE",,"0",,,,"1","V2X 5Y4",,"EXECUTOR NEVER LIVED THERE","BC",,,,
"F1324645","Residential Detached","S","10 13650 80TH AVENUE","Bear Creek Green Timbers","1984","Manufactured","29","Surrey","Surrey","3/25/2014","STACEY HAYES","2","$473.00","10/25/2013","900-569-094",,,"12/5/2013","$70,000","$70.99","0.94","2","2","MHP","$74,900","41","986","$70.99","0.94","Manufactured","1",,"778-222-4703","S-4.5%","Leeside",,"1","0.00",,"$550.00",,"V3W 6J8",,"ESTATE SALE","BC",,,,
"F1323589","Residential Detached","S","205 3665 244 STREET","Otter District","1981","Manufactured","32","Langley","Langley","4/11/2014","Chris","2","$311.00","10/11/2013","900-568-867",,,"12/2/2013","$72,000","$62.50","0.91","2","2","MHP","$79,500","52","1,152","$62.50","0.85","Manufactured","1",,"604-916-8314","S-3.22% 1ST 100K/1.15% BAL","Langley Grove",,"1","0.00",,"$541.00","3","V2Z 1N1",,"Owner did not live in mobile","BC",,,,
"V1035680","Residential Attached","S","105 11957 223RD STREET","West Central","1976","Apartment/Condo","37","Maple Ridge","Maple Ridge","4/30/2014","DEBBIE","1","$1,054.00","11/8/2013","001-326-449",,"$244.25","12/3/2013","$75,000","$96.65","0.91","1","1","APT","$82,900","25","776","$96.65","0.91","Apartment/Condo","1",,"604-312-3705","3.255% ON 1ST $100,000","ALOUETTE APARTMENTS",,"0",,,,"1","V2X 5Y4",,"NEVER LIVED IN SUITE","BC",,,,
"V1022425","Residential Detached","S","8 1681 COLUMBIA STREET","Lynnmour","1980","Other","33","North Vancouver","North Vancouver","7/24/2014","JACQUIE","1","$300.00","8/13/2013","800-079-011",,,"12/12/2013","$75,000","$66.67","0.75","1","1","FLOAT","$99,900","121","1,125","$66.67","0.75","Other","1",,"604-908-1206","3.8%","LYNNWOOD MARINA","0","1","0.00",,,"1","V7J 1A5",,,"BC",,,,
"V1027001","Residential Attached","S","210-G4 4653 BLACKCOMB WAY","Benchlands","2000","Apartment/Condo","13","Whistler","Whistler","3/11/2014","Streve Burk","2","$2,168.00","9/12/2013","024-755-931",,,"12/13/2013","$75,400","$78.22","0.97","2","2","TA-13","$77,900","92","964","$78.22","0.97","Apartment/Condo","1",,"604-889-2875","3.5% ON 1ST $100,000 + 1.25% ON BALANCE","Horstman House",,"1",,,,,"V0N 1B4",,"Schedule A overrides PCDS","BC",,,,
"N232299","Land Only","S","48 WOZNEY STREET","Kitimat",,,,"Kitimat (Zone 89)","Kitimat","2/19/2014","SHANNON DOS SANTOS",,"$707.00","11/20/2013","027-975-142",,,"12/3/2013","$80,000","$9.23","0.97",,,"R1A","$82,900","13",,"$9.23","0.97","House/Single Family",,"Road Access","250-639-7005","3% ON 1ST $100,000",,,,"0.00","No",,,"V8C 2S2",,,"BC","At Lot Line",,"At Lot Line","City/Municipal"
"V1038390","Residential Detached","S","17 5575 MASON ROAD","Sechelt District","1991","Manufactured","22","Sunshine Coast","Sechelt","4/30/2014","GORD","1",,"12/3/2013","800-082-267",,,"12/14/2013","$85,000","$100.00","0.96","1","2","R-3","$89,000","11","850","$100.00","0.96","Manufactured","1",,"604-885-4313","3.255%",,,"1","0.00",,"$335.00",,"V0N 3A8",,,"BC",,,,
"F1324855","Residential Attached","S","212 32025 TIMS AVENUE","Abbotsford West","1979","Apartment/Condo","34","Abbotsford","Abbotsford","4/30/2014","Nick Van","1","$864.00","10/31/2013","001-748-190","3","$314.11","12/13/2013","$85,000","$79.29","0.95","1","2","RML","$89,700","43","1,072","$79.29","0.95","Apartment/Condo","1",,"604-855-0800","S-3.22% 1ST 100K/1.15% BAL",,,"0",,,,"1","V2T 2H3",,"POA DOESN'T LIVE IN UNIT","BC",,,,
"V1028598","Land Only","S","LOT 9 UPLAND ROAD","Sechelt District",,,,"Sunshine Coast","Sechelt","3/19/2014","DEB MOWBRAY",,"$1,202.00","9/19/2013","024-953-318",,,"12/2/2013","$85,800","$3.99","0.90",,,"R3","$95,000","74",,"$3.99","0.90","House/Single Family",,"Road Access","604-740-6608","3.25% ON 1ST $100,000 & 1.16% ON BALANCE","TUWANEK","135' IRR",,"131.00","Yes",,,"V0N 3A2","No",,"BC","Septic",,"Nearby","City/Municipal"
"N232347","Residential Attached","S","D62 2131 UPLAND STREET","VLA","9999","Townhouse","999","PG City Central (Zone 72)","Prince George","5/26/2014","DAMIAN","1","$766.00","11/26/2013","018-434-169","2","$133.67","12/1/2013","$87,500","$54.01","0.97","2","3","RM3","$89,900","5","1,620","$54.01","0.97","Townhouse","1",,"250-981-1891","3% OF THE SALE PRICE.","VLA",,"0","0.00",,,"1","V2L 2V8",,,"BC",,,,
"H1304373","Residential Attached","S","1212 45650 MCINTOSH DRIVE","Chilliwack W Young-Well","1976","Apartment/Condo","37","Chilliwack","Chilliwack","6/30/2014","PARVIZ","1","$833.00","11/25/2013","001-511-483",,"$168.00","12/11/2013","$92,000","$94.85","0.93","1","2","R6","$99,000","16","970","$94.85","0.93","Apartment/Condo","1",,"604-795-2955","3% L 1/2 BF","PHOENIXDALE",,"0",,,,,"V2P 6Y5",,,"BC",,,,
"F1314407","Residential Attached","S","215 31850 UNION AVENUE","Abbotsford West","1986","Apartment/Condo","27","Abbotsford","Abbotsford","12/31/2013","Steve","1","$762.00","6/14/2013","005-181-054",,"$222.22","12/1/2013","$93,000","$105.20","0.93","1","2","RML","$99,900","170","884","$105.20","0.93","Apartment/Condo","1",,"604-302-3882","S-3.22% 1ST 100K/1.15% BAL","FERNWOOD MANOR",,"0","0.00",,,"1","V2T 4V2",,"Upon offer","BC",,,,
"N224124","Land Only","S","LOT 13 LOLLAND ROAD","Beaverley",,,,"PG Rural West (Zone 77)","Prince George","12/31/2013",,,"$256.00","1/10/2013","027-006-603",,,"12/4/2013","$93,000",,"0.98",,,"RR2","$94,900","328",,,"0.98","House/Single Family",,"Allowed Access",,"3% ON 1ST $100,000/1.5% ON BALANCE","BEAVERLY/LOLLAND",,,"0.00","Yes",,,"V2N 6L6",,,"BC","None",,"None","None"
"N221193","Land Only","S","PCL 1 SALMON VALLEY ESTATES","Hobby Ranches",,,,"PG Rural North (Zone 76)","Prince George","12/31/2013","JONI",,"$74.00","8/1/2012","014-998-441",,,"12/3/2013","$95,000",,"0.95",,,"RU3","$99,900","489",,,"0.95","Other",,"Allowed Access","250-562-3600","3.5%","SALMON VALLEY ESTATES",,,"0.00","Yes",,,"V2K 5T2",,,"BC","None",,"None","None"
"H1303644","Residential Detached","S","73 46511 CHILLIWACK LAKE ROAD","Chilliwack River Valley","1979","Manufactured with Land","34","Sardis","Sardis","12/12/2013","RON","1","$1,157.00","9/13/2013","001-419-692",,"$130.00","12/12/2013","$95,000","$105.20","0.86","1","2","RMH","$109,900","90","903","$105.20","0.86","Manufactured with Land","1",,"604-858-7179","2.5% 1ST 100K/1% BAL L 1/2 BF","BAKER TRAIL VILLAGE","86.98/.09 acres","1","40.00",,"$130.00","2","V2R 3S5",,"SELLER HAS NOT LIVED THERE","BC",,,,
"V1003782","Residential Attached","S","409B 2020 LONDON LANE","Whistler Creek","2008","Apartment/Condo","5","Whistler","Whistler","3/31/2014","RAY LONGMUIR","2","$3,683.00","4/25/2013","027-506-304",,"$706.00","12/10/2013","$95,000","$88.29","0.96","2","2","CC2","$99,500","229","1,076","$88.29","0.96","Apartment/Condo","1",,"604-905-8464","3.5%","EVOLUTION AT WHISTLER CREEK",,"3",,,,"2","V0N 1B2",,,"BC",,,,
"F1323926","Residential Attached","S","123 31955 OLD YALE ROAD","Abbotsford West","1987","Apartment/Condo","26","Abbotsford","Abbotsford","5/30/2014","JOANNE","1","$818.00","10/16/2013","001-204-220","3","$202.95","12/7/2013","$95,000","$118.75","0.88","1","2","RMH","$107,500","52","800","$118.75","0.88","Apartment/Condo","1",,"604-807-4290","S-3% 1ST 100K/1% BAL","Evergreen Village",,"0","0.00",,,,"V2T 4N1",,,"BC",,,,
"V1037794","Residential Detached","S","212 HIAWATHA DRIVE","Park Royal","1966","Manufactured","47","West Vancouver","West Vancouver","3/31/2014","John","2",,"12/1/2013","900-124-981",,,"12/11/2013","$96,000","$87.27","0.91","2","2","MHP","$105,000","10","1,100","$87.27","0.91","Manufactured","1",,"604-209-2309","3%",,,"1","0.00",,"$694.47","2","V7M 1K2",,,"BC",,,,
"N228328","Land Only","S","MILE 309 HIGHWAY","Fort Nelson - Rural",,,,"Fort Nelson (Zone 64)","Fort Nelson","12/5/2013","CATHLEEN",,"$768.00","6/5/2013","026-153-815",,,"12/13/2013","$100,000",,"0.50",,,"A-1","$199,000","191",,,"0.54","Other",,"Road Access","250-321-0777","2.75% ON 1ST $100,000/1.5% ON THE BALANCE",,,,"0.00","Yes",,,"V0C 1R0",,,"BC","None",,"None","None"
"N197277","Land Only","S","LOT 9 POWDER KING ESTATES","Mackenzie - Rural",,,,"Mackenzie (Zone 69)","Mackenzie","12/31/2013","LOUISE SKAVLEBO",,"$647.00","12/27/2009","027-234-282",,,"12/6/2013","$107,500","$12.15","0.94",,,"CD2","$115,000","1440",,"$12.15","0.80","House/Single Family",,"Allowed Access","250-997-6773","2.6% ON 1ST $100,000/1.25% ON REMAINING BALANCE","POWDER KING ESTATES",,,"0.00","Yes",,,"V0J 2C0","Not Known",,"BC","At Lot Line",,"At Lot Line","Community"
"V1032790","Residential Attached","S","451 4050 WHISTLER WAY","Whistler Village","1985","Apartment/Condo","28","Whistler","Whistler","3/14/2014","HOME OWNER RELATIONS","1","$1,854.00","10/16/2013","013-204-394","5","$331.00","12/6/2013","$110,000","$297.30","0.93","1","1","CC1","$117,900","51","370","$297.30","0.09","Apartment/Condo","0",,"604-932-1982","2.5% ON THE 1ST $100,000 /1% ON THE BALANCE","HILTON",,"1",,,,,"V0N 1B4",,"COURT ORDERED SALE","BC",,,,
"H1302775","Land Only","S","337 CHESTNUT AVENUE","Harrison Hot Springs",,,,"Harrison Hot Springs","Harrison Hot Springs","12/31/2013","Ann Wallace",,"$1,016.00","7/8/2013","003-194-167",,,"12/9/2013","$113,750","$16.55","0.91",,,"R-1","$125,000","154",,"$16.55","0.91","House/Single Family",,"Road Access","604-796-3000","3% 1ST 100K/1.25% BAL L 1/2 BF",,"125",,"55.00","No",,,"V0M 1K0","No",,"BC","At Lot Line",,"At Lot Line","City/Municipal"
"N231604","Residential Detached","S","2242 OMENICA AVENUE","Hazelton","9999","House/Single Family","999","Smithers And Area (Zone 54)","New Hazelton","8/31/2014","RON LAPADAT","1","$1,219.00","10/10/2013","028-335-431",,,"12/14/2013","$115,000","$43.40","0.96","2","3","C-1","$119,500","65","2,650","$43.40","0.96","House/Single Family","1",,"250-847-0335","3.5% ON 1ST $100,000/1.5% ON BALANCE",,"120","0","165.00",,,"3","V0J 2J1",,,"BC",,,,
"N231204","Residential Detached","S","1713 4TH AVENUE","Crescents","9999","House/Single Family","999","PG City Central (Zone 72)","Prince George","12/23/2013","ROGER KOLLNER/DEVIN HARTIGAN","1","$1,690.00","9/25/2013","012-950-238",,,"12/9/2013","$115,115","$69.26","1.10","1","3","RS2","$104,900","75","1,662","$69.26","1.00","House/Single Family","1",,"250-565-5024","2.5%","DOWNTOWN",,"0","0.00",,,"2","V6P 6G5",,,"BC",,,,
"H1302235","Residential Attached","S","14 7455 HURON STREET","Sardis West Vedder Rd","1986","Townhouse","27","Sardis","Chilliwack","2/28/2014","Don Spice","1","$1,129.00","6/3/2013","004-116-968","2","$182.00","12/12/2013","$119,000","$106.25","0.95","1","2","R5","$124,900","192","1,120","$106.25","0.85","Townhouse","1",,"604-858-7179","3% 1ST 100K/1.25% BAL L 1/2 BF",,,"1","0.00",,,"1","V2R 2R9",,,"BC",,,,
"V1023199","Residential Attached","S","117 99 BEGIN STREET","Maillardville","1990","Apartment/Condo","23","Coquitlam","Coquitlam","2/14/2014","Touchbase","0","$1,127.00","8/15/2013","014-557-347",,"$186.00","12/9/2013","$121,000","$190.55","0.94","0","1","APT","$129,000","116","635","$190.55","0.81","Apartment/Condo","1",,,"2.75% ON FIRST $100,000 & 0.75% ON THE BALANCE","LE CHATEAU",,"1",,,,,"V3K 6R5",,"SOLD AS IS WHERE IS","BC",,,,
"F1326290","Residential Attached","S","106 15369 THRIFT AVENUE","White Rock","1973","Apartment/Condo","40","South Surrey White Rock","White Rock","5/31/2014","MICHAEL IRELAND","1","$1,031.00","11/21/2013","001-137-638",,"$176.67","12/7/2013","$122,000","$234.62","0.98","1","0","R-4","$124,900","16","520","$234.62","0.98","Apartment/Condo","1",,"604-541-4888","S-3.22% 1ST 100K/1.15% BAL*",,,"0",,,,"1","V4B 2L6",,,"BC",,,,
"V1036439","Residential Attached","S","181 8160 WILLIAMS ROAD","South Arm","1974","Apartment/Condo","39","Richmond","Richmond","5/18/2014","Ellen","1",,"11/18/2013","800-081-706","3","$484.24","12/5/2013","$123,000","$139.77","0.86","1","2","APT","$143,800","17","880","$139.77","0.86","Apartment/Condo","1",,"604-831-0128","3.255% ON 1ST $100,000/1.1625% ON BAL",,,"0","0.00",,,"1","V7A 1G5",,,"BC",,,,
